GISJOIN,STATE,STATEFP,STATENH,COUNTY,COUNTYFP,COUNTYNH,B80AA1990,B80AA2000,B80AA2010,B80AB1990,B80AB2000,B80AB2010,B80AC1990,B80AC2000,B80AC2010
G2700010,Minnesota,27,270,Aitkin County,1,10,1693,2914,3412,2609,2752,2717,824,968,1170
G2700030,Minnesota,27,270,Anoka County,3,30,56052,74296,80481,10926,14480,18777,15466,17688,21969
G2700050,Minnesota,27,270,Becker County,5,50,4215,5519,6364,3935,4009,3997,2327,2310,2863
G2700070,Minnesota,27,270,Beltrami County,7,70,4826,6417,7149,3854,4258,4708,3190,3653,4989
G2700090,Minnesota,27,270,Benton County,9,90,4670,6130,7556,2661,2642,2818,3604,4270,4705
G2700110,Minnesota,27,270,Big Stone County,11,110,786,945,859,1207,1079,989,470,355,445
G2700130,Minnesota,27,270,Blue Earth County,13,130,7240,8994,10972,5088,4994,4979,6949,7074,8494
G2700150,Minnesota,27,270,Brown County,15,150,3824,4650,4930,4155,3838,3582,2342,2122,2270
G2700170,Minnesota,27,270,Carlton County,17,170,4609,6162,7446,4189,3730,3365,2044,2155,2727
G2700190,Minnesota,27,270,Carver County,19,190,9723,16489,22082,3394,3838,4764,3484,4024,6045
G2700210,Minnesota,27,270,Cass County,21,210,2933,5136,5914,3949,4230,4040,1420,1535,1994
G2700230,Minnesota,27,270,Chippewa County,23,230,1831,2303,2284,2124,1800,1516,1290,1255,1441
G2700250,Minnesota,27,270,Chisago County,25,250,6158,9629,13242,2806,2953,3390,1587,1867,2838
G2700270,Minnesota,27,270,Clay County,27,270,7885,9115,11073,4063,4262,4432,5542,5299,6774
G2700290,Minnesota,27,270,Clearwater County,29,290,1165,1390,1564,1335,1327,1264,564,612,699
G2700310,Minnesota,27,270,Cook County,31,310,538,920,1023,712,918,845,382,511,626
G2700330,Minnesota,27,270,Cottonwood County,33,330,1677,1920,1998,2248,2033,1759,1135,962,1100
G2700350,Minnesota,27,270,Crow Wing County,35,350,6866,10946,13220,6322,6773,6615,4016,4518,6198
G2700370,Minnesota,27,270,Dakota County,37,370,60804,86245,95233,11829,16304,21075,25695,28530,35752
G2700390,Minnesota,27,270,Dodge County,39,390,2857,3774,4561,1625,1642,1615,1056,1024,1284
G2700410,Minnesota,27,270,Douglas County,41,410,4490,6260,7626,3659,3984,3980,2839,3033,3683
G2700430,Minnesota,27,270,Faribault County,43,430,2282,2648,2720,3053,2715,2258,1437,1282,1258
G2700450,Minnesota,27,270,Fillmore County,45,450,2878,3597,4336,3231,3044,2490,1713,1575,1719
G2700470,Minnesota,27,270,Freeborn County,47,470,5375,5955,6030,4618,4553,4059,3036,2848,3088
G2700490,Minnesota,27,270,Goodhue County,49,490,6971,8892,9839,4651,4509,4640,3576,3567,4251
G2700510,Minnesota,27,270,Grant County,51,510,754,1033,1172,1198,1049,901,502,453,528
G2700530,Minnesota,27,270,Hennepin County,53,530,204156,238143,239686,61460,63692,66435,153450,154336,169792
G2700550,Minnesota,27,270,Houston County,55,550,2892,3645,3816,2559,2542,2589,1393,1451,1444
G2700570,Minnesota,27,270,Hubbard County,57,570,2272,3544,4240,2532,2655,2776,977,1240,1645
G2700590,Minnesota,27,270,Isanti County,59,590,5029,7223,8974,2292,2354,2605,1489,1606,2393
G2700610,Minnesota,27,270,Itasca County,61,610,6072,8139,8771,6783,6605,6318,2606,3021,3684
G2700630,Minnesota,27,270,Jackson County,63,630,1509,1749,1873,1968,1854,1593,1083,955,963
G2700650,Minnesota,27,270,Kanabec County,65,650,2228,2969,3556,1697,1871,1695,828,889,1162
G2700670,Minnesota,27,270,Kandiyohi County,67,670,6325,7791,8131,4093,4235,4141,3880,3884,4460
G2700690,Minnesota,27,270,Kittson County,69,690,679,760,711,1181,1033,927,414,372,348
G2700710,Minnesota,27,270,Koochiching County,71,710,2032,2556,2560,2663,2300,1991,1330,1182,1323
G2700730,Minnesota,27,270,Lac qui Parle County,73,730,1117,1200,1220,1648,1475,1336,740,633,599
G2700750,Minnesota,27,270,Lake County,75,750,1554,2108,2313,1962,1794,1580,726,744,932
G2700770,Minnesota,27,270,Lake of the Woods County,77,770,595,898,799,737,727,680,244,280,305
G2700790,Minnesota,27,270,Le Sueur County,79,790,3930,5047,6188,3016,2936,2723,1522,1612,1847
G2700810,Minnesota,27,270,Lincoln County,81,810,847,1028,1056,1314,1106,1007,543,523,511
G2700830,Minnesota,27,270,Lyon County,83,830,3261,3953,4303,2946,2690,2496,2866,3072,3428
G2700870,Minnesota,27,270,Mahnomen County,87,870,675,708,647,758,814,807,372,448,565
