dat_yer,dst_num,dst_tye,dst_nam,grd,cou_num,ecu_num,ami_mal,ami_fem,api_mal,api_fem,his_mal,his_fem,blk_mal,blk_fem,wht_mal,wht_fem,tot_mal,tot_fem,tot_mny,tot_tot,eco_dev
00-01,0001,01,AITKIN,01,01,03,2,2,0,0,0,0,0,0,44,50,46,52,4,98,03
00-01,0001,01,AITKIN,02,01,03,0,1,0,1,1,0,2,0,45,43,48,45,5,93,03
00-01,0001,01,AITKIN,03,01,03,0,1,0,1,0,0,1,0,47,35,48,37,3,85,03
00-01,0001,01,AITKIN,04,01,03,0,0,0,0,0,0,0,0,52,45,52,45,0,97,03
00-01,0001,01,AITKIN,05,01,03,1,1,0,0,0,1,0,1,56,42,57,45,4,102,03
00-01,0001,01,AITKIN,06,01,03,0,0,0,0,1,0,0,0,47,43,48,43,1,91,03
00-01,0001,01,AITKIN,07,01,03,0,1,1,0,1,0,0,0,54,41,56,42,3,98,03
00-01,0001,01,AITKIN,08,01,03,2,1,0,0,1,2,0,0,54,59,57,62,6,119,03
00-01,0001,01,AITKIN,09,01,03,2,1,1,1,0,2,0,1,55,43,58,48,8,106,03
00-01,0001,01,AITKIN,10,01,03,0,1,2,1,0,0,2,1,60,63,64,66,7,130,03
00-01,0001,01,AITKIN,11,01,03,2,3,0,0,0,2,0,0,63,60,65,65,7,130,03
00-01,0001,01,AITKIN,12,01,03,0,0,1,2,0,1,0,0,69,45,70,48,4,118,03
00-01,0001,01,AITKIN,KG,01,03,3,0,1,0,0,0,0,1,39,48,43,49,5,92,03
00-01,0001,01,AITKIN,PK,01,03,0,0,0,0,0,0,0,0,7,3,7,3,0,10,03
00-01,0001,03,MINNEAPOLIS,01,27,11,84,87,277,285,292,222,812,772,555,468,2020,1834,2831,3854,11
00-01,0001,03,MINNEAPOLIS,02,27,11,104,94,305,265,210,208,867,854,537,486,2023,1907,2907,3930,11
00-01,0001,03,MINNEAPOLIS,03,27,11,101,102,314,306,236,206,955,863,557,435,2163,1912,3083,4075,11
00-01,0001,03,MINNEAPOLIS,04,27,11,109,107,317,292,177,181,940,878,536,502,2079,1960,3001,4039,11
00-01,0001,03,MINNEAPOLIS,05,27,11,96,103,322,302,204,174,943,871,508,517,2073,1967,3015,4040,11
00-01,0001,03,MINNEAPOLIS,06,27,11,102,91,270,286,144,131,901,830,465,475,1882,1813,2755,3695,11
00-01,0001,03,MINNEAPOLIS,07,27,11,87,72,276,264,181,101,855,816,442,454,1841,1707,2652,3548,11
00-01,0001,03,MINNEAPOLIS,08,27,11,81,72,265,243,136,113,824,678,513,429,1819,1535,2412,3354,11
00-01,0001,03,MINNEAPOLIS,09,27,11,88,77,272,288,178,155,934,868,525,482,1997,1870,2860,3867,11
00-01,0001,03,MINNEAPOLIS,10,27,11,81,83,246,250,177,125,929,955,562,564,1995,1977,2846,3972,11
00-01,0001,03,MINNEAPOLIS,11,27,11,36,56,198,250,116,67,613,672,504,460,1467,1505,2008,2972,11
00-01,0001,03,MINNEAPOLIS,12,27,11,43,45,219,227,79,64,515,573,490,487,1346,1396,1765,2742,11
00-01,0001,03,MINNEAPOLIS,KG,27,11,86,77,299,309,280,264,933,900,595,566,2193,2116,3148,4309,11
00-01,0001,03,MINNEAPOLIS,PK,27,11,13,7,8,6,34,16,118,56,113,66,286,151,258,437,11
00-01,0002,01,HILL CITY,01,01,03,0,0,0,0,0,1,0,0,11,8,11,9,1,20,03
00-01,0002,01,HILL CITY,02,01,03,0,0,0,0,0,0,0,0,10,11,10,11,0,21,03
00-01,0002,01,HILL CITY,03,01,03,1,0,0,0,0,1,0,0,17,12,18,13,2,31,03
00-01,0002,01,HILL CITY,04,01,03,1,0,0,0,0,1,0,0,13,10,14,11,2,25,03
00-01,0002,01,HILL CITY,05,01,03,0,0,0,0,0,0,0,0,19,8,19,8,0,27,03
00-01,0002,01,HILL CITY,06,01,03,0,0,0,0,0,0,0,0,5,16,5,16,0,21,03
00-01,0002,01,HILL CITY,07,01,03,0,1,0,0,0,0,0,0,21,12,21,13,1,34,03
00-01,0002,01,HILL CITY,08,01,03,0,1,0,0,2,0,0,0,19,17,21,18,3,39,03
00-01,0002,01,HILL CITY,09,01,03,1,1,0,0,0,1,0,0,13,20,14,22,3,36,03
00-01,0002,01,HILL CITY,10,01,03,1,1,0,0,0,0,0,0,14,17,15,18,2,33,03
00-01,0002,01,HILL CITY,11,01,03,0,1,0,0,0,1,0,0,12,14,12,16,2,28,03
00-01,0002,01,HILL CITY,12,01,03,0,3,0,0,0,0,0,0,15,15,15,18,3,33,03
00-01,0002,01,HILL CITY,KG,01,03,0,0,0,0,0,0,0,0,11,11,11,11,0,22,03
00-01,0002,01,HILL CITY,PK,01,03,0,0,0,0,0,0,0,0,3,3,3,3,0,6,03
00-01,0004,01,MCGREGOR,01,01,03,3,2,0,0,0,0,0,0,10,18,13,20,5,33,03
00-01,0004,01,MCGREGOR,02,01,03,1,0,0,0,0,0,0,0,13,15,14,15,1,29,03
00-01,0004,01,MCGREGOR,03,01,03,2,8,0,0,0,0,0,1,14,15,16,24,11,40,03
00-01,0004,01,MCGREGOR,04,01,03,4,6,0,0,0,0,0,0,21,17,25,23,10,48,03
00-01,0004,01,MCGREGOR,05,01,03,2,1,0,1,0,0,0,0,21,12,23,14,4,37,03
00-01,0004,01,MCGREGOR,06,01,03,2,6,0,0,0,0,0,0,15,14,17,20,8,37,03
00-01,0004,01,MCGREGOR,07,01,03,4,3,0,0,1,0,0,0,30,14,35,17,8,52,03
00-01,0004,01,MCGREGOR,08,01,03,3,7,0,1,0,0,0,1,21,19,24,28,12,52,03
00-01,0004,01,MCGREGOR,09,01,03,0,0,1,0,0,0,0,0,29,14,30,14,1,44,03
00-01,0004,01,MCGREGOR,10,01,03,3,1,0,0,0,0,0,0,18,20,21,21,4,42,03
00-01,0004,01,MCGREGOR,11,01,03,1,0,0,1,0,0,0,1,20,20,21,22,3,43,03
00-01,0004,01,MCGREGOR,12,01,03,0,1,0,0,0,0,0,0,21,22,21,23,1,44,03
00-01,0004,01,MCGREGOR,KG,01,03,8,1,0,0,0,0,0,0,16,17,24,18,9,42,03
00-01,0004,01,MCGREGOR,PK,01,03,2,0,0,0,0,0,0,0,1,0,3,0,2,3,03
00-01,0006,03,SOUTH ST. PAUL,01,19,11,1,0,2,1,7,12,3,7,122,119,135,139,33,274,11
00-01,0006,03,SOUTH ST. PAUL,02,19,11,2,1,0,1,15,11,5,4,100,96,122,113,39,235,11
00-01,0006,03,SOUTH ST. PAUL,03,19,11,1,2,1,2,9,10,3,2,118,101,132,117,30,249,11
00-01,0006,03,SOUTH ST. PAUL,04,19,11,1,0,0,2,14,10,8,3,96,102,119,117,38,236,11
00-01,0006,03,SOUTH ST. PAUL,05,19,11,1,1,0,1,11,11,3,4,121,98,136,115,32,251,11
00-01,0006,03,SOUTH ST. PAUL,06,19,11,0,1,0,1,11,11,6,3,104,108,121,124,33,245,11
00-01,0006,03,SOUTH ST. PAUL,07,19,11,2,2,0,3,12,8,2,2,112,121,128,136,31,264,11
00-01,0006,03,SOUTH ST. PAUL,08,19,11,0,1,1,0,8,15,1,2,135,132,145,150,28,295,11
00-01,0006,03,SOUTH ST. PAUL,09,19,11,0,1,3,4,7,8,1,4,166,136,177,153,28,330,11
00-01,0006,03,SOUTH ST. PAUL,10,19,11,0,0,0,3,4,9,4,2,125,154,133,168,22,301,11
00-01,0006,03,SOUTH ST. PAUL,11,19,11,1,1,4,3,4,9,1,1,146,130,156,144,24,300,11
00-01,0006,03,SOUTH ST. PAUL,12,19,11,0,2,1,7,8,7,1,2,139,137,149,155,28,304,11
00-01,0006,03,SOUTH ST. PAUL,KG,19,11,0,0,2,1,11,5,2,1,93,89,108,96,22,204,11
00-01,0006,03,SOUTH ST. PAUL,PK,19,11,1,0,0,1,4,2,1,0,29,7,35,10,9,45,11
00-01,0011,01,ANOKA-HENNEPIN,01,02,11,18,14,58,39,17,18,63,58,1435,1349,1591,1478,285,3069,11
00-01,0011,01,ANOKA-HENNEPIN,02,02,11,13,10,42,44,24,31,59,57,1409,1381,1547,1523,280,3070,11
00-01,0011,01,ANOKA-HENNEPIN,03,02,11,12,16,38,41,24,20,55,58,1485,1386,1614,1521,264,3135,11
00-01,0011,01,ANOKA-HENNEPIN,04,02,11,14,12,58,42,21,20,52,63,1475,1430,1620,1567,282,3187,11
00-01,0011,01,ANOKA-HENNEPIN,05,02,11,20,19,56,53,19,21,50,66,1515,1508,1660,1667,304,3327,11
00-01,0011,01,ANOKA-HENNEPIN,06,02,11,18,13,63,51,30,22,55,55,1492,1385,1658,1526,307,3184,11
00-01,0011,01,ANOKA-HENNEPIN,07,02,11,27,25,45,66,16,23,50,54,1440,1405,1578,1573,306,3151,11
00-01,0011,01,ANOKA-HENNEPIN,08,02,11,26,13,62,42,18,28,50,44,1469,1427,1625,1554,283,3179,11
00-01,0011,01,ANOKA-HENNEPIN,09,02,11,20,22,54,56,19,20,46,43,1483,1443,1622,1584,280,3206,11
00-01,0011,01,ANOKA-HENNEPIN,10,02,11,29,18,57,57,19,24,47,48,1510,1443,1662,1590,299,3252,11
00-01,0011,01,ANOKA-HENNEPIN,11,02,11,29,32,40,51,20,26,37,41,1336,1394,1462,1544,276,3006,11
00-01,0011,01,ANOKA-HENNEPIN,12,02,11,15,19,68,65,14,29,34,25,1534,1358,1665,1496,269,3161,11
00-01,0011,01,ANOKA-HENNEPIN,KG,02,11,10,10,32,45,20,20,55,50,1361,1244,1478,1369,242,2847,11
00-01,0011,01,ANOKA-HENNEPIN,PK,02,11,2,6,2,5,3,7,11,4,349,151,367,173,40,540,11
00-01,0012,01,CENTENNIAL,01,02,11,0,0,3,4,3,4,2,3,271,254,279,265,19,544,11
00-01,0012,01,CENTENNIAL,02,02,11,0,0,4,1,2,3,0,2,277,258,283,264,12,547,11
00-01,0012,01,CENTENNIAL,03,02,11,1,1,0,1,0,1,1,1,285,257,287,261,6,548,11
00-01,0012,01,CENTENNIAL,04,02,11,2,0,2,2,1,2,1,2,301,255,307,261,12,568,11
00-01,0012,01,CENTENNIAL,05,02,11,2,4,6,7,1,3,3,4,265,259,277,277,30,554,11
00-01,0012,01,CENTENNIAL,06,02,11,4,3,2,1,1,3,2,2,276,277,285,286,18,571,11
00-01,0012,01,CENTENNIAL,07,02,11,3,7,5,3,5,2,4,1,259,264,276,277,30,553,11
00-01,0012,01,CENTENNIAL,08,02,11,5,5,4,1,2,1,4,3,257,236,272,246,25,518,11
00-01,0012,01,CENTENNIAL,09,02,11,5,10,8,6,5,6,5,5,265,271,288,298,50,586,11
00-01,0012,01,CENTENNIAL,10,02,11,3,5,7,7,3,2,3,2,282,237,298,253,32,551,11
00-01,0012,01,CENTENNIAL,11,02,11,5,6,3,4,1,5,3,1,217,219,229,235,28,464,11
00-01,0012,01,CENTENNIAL,12,02,11,4,2,7,3,3,3,0,3,241,189,255,200,25,455,11
00-01,0012,01,CENTENNIAL,KG,02,11,1,1,5,4,4,5,4,1,229,233,243,244,25,487,11
00-01,0013,01,COLUMBIA HEIGHTS,01,02,11,4,7,8,6,8,12,8,11,78,86,106,122,64,228,11
00-01,0013,01,COLUMBIA HEIGHTS,02,02,11,4,5,11,2,8,4,8,12,96,74,127,97,54,224,11
00-01,0013,01,COLUMBIA HEIGHTS,03,02,11,5,4,5,7,5,7,10,12,72,77,97,107,55,204,11
00-01,0013,01,COLUMBIA HEIGHTS,04,02,11,6,6,6,4,10,4,19,11,95,101,136,126,66,262,11
00-01,0013,01,COLUMBIA HEIGHTS,05,02,11,5,2,6,13,4,4,10,15,82,87,107,121,59,228,11
00-01,0013,01,COLUMBIA HEIGHTS,06,02,11,11,1,8,10,3,5,13,14,67,88,102,118,65,220,11
00-01,0013,01,COLUMBIA HEIGHTS,07,02,11,5,3,5,13,4,3,8,13,95,79,117,111,54,228,11
00-01,0013,01,COLUMBIA HEIGHTS,08,02,11,4,7,6,5,3,9,6,7,90,92,109,120,47,229,11
00-01,0013,01,COLUMBIA HEIGHTS,09,02,11,3,5,6,9,6,2,12,18,91,93,118,127,61,245,11
00-01,0013,01,COLUMBIA HEIGHTS,10,02,11,8,2,6,6,6,2,7,20,82,80,109,110,57,219,11
00-01,0013,01,COLUMBIA HEIGHTS,11,02,11,6,0,5,6,8,4,11,13,93,89,123,112,53,235,11
