DataYear,DistrictCountyNumber,DistrictCountyName,districtNumber,districtType,DistrictName,schoolNumber,SchoolName,ECSUNumber,EconomicDevelopmentRegion,Grade,AMI_Male,AMI_Female,API_Male,API_Female,HIS_Male,HIS_Female,BLK_Male,BLK_Female,WHT_Male,WHT_Female,TotalMale,TotalFemale,TotalMinority,TotalStudents,SchoolLocationCountyNumber,SchoolLocationCountyName,SchoolClassification
06-07,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03 ,EC,0,0,0,0,1,0,0,0,10,4,11,4,1,15,  , ,  
06-07,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03 ,KG,0,0,0,0,0,0,1,2,50,45,51,47,3,98,  , ,  
06-07,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03 ,01,0,0,1,0,1,0,0,2,40,39,42,41,4,83,  , ,  
06-07,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03 ,02,1,2,0,1,0,1,2,3,51,39,54,46,10,100,  , ,  
06-07,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03 ,03,0,0,0,0,0,0,1,0,61,49,62,49,1,111,  , ,  
06-07,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03 ,04,1,0,1,1,0,0,0,1,42,40,44,42,4,86,  , ,  
06-07,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03 ,05,0,1,0,0,0,0,1,0,48,49,49,50,2,99,  , ,  
06-07,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03 ,06,3,0,0,1,0,0,0,0,49,49,52,50,4,102,  , ,  
06-07,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03 ,07,0,2,1,0,1,1,0,0,43,51,45,54,5,99,  , ,  
06-07,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03 ,08,1,1,0,1,0,0,3,1,48,49,52,52,7,104,  , ,  
06-07,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03 ,09,1,1,0,1,0,1,1,0,48,41,50,44,5,94,  , ,  
06-07,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03 ,10,0,1,1,1,1,0,1,0,58,49,61,51,5,112,  , ,  
06-07,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03 ,11,0,0,0,0,0,1,0,1,60,62,60,64,2,124,  , ,  
06-07,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03 ,12,1,0,4,3,1,0,0,0,52,47,58,50,9,108,  , ,  
06-07,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03 ,All Grades,8,8,8,9,5,4,10,10,660,613,691,644,62,1335,  , ,  
06-07,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11 ,EC,28,8,13,13,93,34,198,86,146,77,478,218,473,696,  , ,  
06-07,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11 ,KG,73,68,100,111,339,344,569,540,499,465,1580,1528,2144,3108,  , ,  
06-07,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11 ,01,45,81,118,123,315,306,551,568,478,448,1507,1526,2107,3033,  , ,  
06-07,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11 ,02,57,56,112,128,288,289,558,514,407,415,1422,1402,2002,2824,  , ,  
06-07,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11 ,03,63,61,105,118,262,258,487,548,423,394,1340,1379,1902,2719,  , ,  
06-07,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11 ,04,74,62,129,110,250,226,505,505,378,359,1336,1262,1861,2598,  , ,  
06-07,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11 ,05,54,53,115,120,216,204,491,471,394,364,1270,1212,1724,2482,  , ,  
06-07,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11 ,06,44,49,118,123,219,187,506,500,341,330,1228,1189,1746,2417,  , ,  
06-07,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11 ,07,51,58,141,155,218,191,523,508,346,294,1279,1206,1845,2485,  , ,  
06-07,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11 ,08,69,59,137,142,174,170,589,547,338,308,1307,1226,1887,2533,  , ,  
06-07,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11 ,09,57,56,152,160,224,211,726,723,383,362,1542,1512,2309,3054,  , ,  
06-07,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11 ,10,65,79,173,173,230,225,714,671,428,402,1610,1550,2330,3160,  , ,  
06-07,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11 ,11,55,47,164,182,161,143,577,653,447,426,1404,1451,1982,2855,  , ,  
06-07,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11 ,12,50,67,146,174,136,137,691,780,478,410,1501,1568,2181,3069,  , ,  
06-07,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11 ,All Grades,785,804,1723,1832,3125,2925,7685,7614,5486,5054,18804,18229,26493,37033,  , ,  
06-07,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,03 ,EC,0,0,0,0,0,0,0,0,3,1,3,1,0,4,  , ,  
06-07,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,03 ,KG,0,2,0,0,0,0,0,0,7,9,7,11,2,18,  , ,  
06-07,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,03 ,01,0,0,0,0,0,0,0,0,10,8,10,8,0,18,  , ,  
06-07,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,03 ,02,1,0,0,0,0,0,0,0,11,8,12,8,1,20,  , ,  
06-07,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,03 ,03,0,0,0,0,0,0,0,0,8,13,8,13,0,21,  , ,  
06-07,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,03 ,04,0,0,0,0,0,0,0,0,16,17,16,17,0,33,  , ,  
06-07,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,03 ,05,1,0,0,0,0,0,0,0,11,6,12,6,1,18,  , ,  
06-07,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,03 ,06,0,0,0,0,0,0,0,0,12,10,12,10,0,22,  , ,  
06-07,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,03 ,07,0,0,0,0,0,0,0,0,16,9,16,9,0,25,  , ,  
06-07,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,03 ,08,1,0,0,0,0,1,0,0,14,14,15,15,2,30,  , ,  
06-07,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,03 ,09,1,0,0,0,0,0,0,0,20,12,21,12,1,33,  , ,  
