DataYear,DistrictCountyNumber,DistrictCountyName,DistrictNumber,DistrictType,DistrictName,SchoolNumber,SchoolName,ECSUNumber,EconomicDevelopmentRegion,Grade,AMI_Male,AMI_Female,API_Male,API_Female,HIS_Male,HIS_Female,BLK_Male,BLK_Female,WHT_Male,WHT_Female,TotalMale,TotalFemale,TotalMinority,TotalStudents,SchoolLocationCountyNumber,SchoolLocationCountyName,SchoolClassification
07-08,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03 ,EC,0,0,0,0,1,0,0,0,13,8,14,8,1,22,  , ,  
07-08,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03 ,KG,1,1,0,0,1,0,1,0,33,40,36,41,4,77,  , ,  
07-08,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03 ,01,0,0,1,0,0,0,1,1,48,46,50,47,3,97,  , ,  
07-08,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03 ,02,0,0,1,0,1,0,0,2,42,38,44,40,4,84,  , ,  
07-08,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03 ,03,1,1,0,1,0,1,2,2,53,38,56,43,8,99,  , ,  
07-08,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03 ,04,0,0,0,0,0,0,1,0,60,46,61,46,1,107,  , ,  
07-08,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03 ,05,0,0,2,1,0,0,0,1,42,42,44,44,4,88,  , ,  
07-08,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03 ,06,0,2,0,0,0,0,1,0,45,50,46,52,3,98,  , ,  
07-08,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03 ,07,3,0,0,1,0,0,0,0,48,50,51,51,4,102,  , ,  
07-08,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03 ,08,1,2,1,0,2,1,0,0,46,52,50,55,7,105,  , ,  
07-08,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03 ,09,1,1,0,1,0,1,3,1,45,49,49,53,8,102,  , ,  
07-08,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03 ,10,1,1,1,1,1,1,1,0,46,39,50,42,7,92,  , ,  
07-08,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03 ,11,0,1,1,0,1,0,1,0,62,51,65,52,4,117,  , ,  
07-08,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03 ,12,0,0,0,0,0,1,0,1,59,57,59,59,2,118,  , ,  
07-08,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03 ,All Grades,8,9,7,5,7,5,11,8,642,606,675,633,60,1308,  , ,  
07-08,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11 ,EC,22,6,16,10,103,43,178,82,155,70,474,211,460,685,  , ,  
07-08,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11 ,KG,60,79,81,113,375,328,533,506,479,485,1528,1511,2075,3039,  , ,  
07-08,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11 ,01,69,74,88,106,328,313,534,501,473,444,1492,1438,2013,2930,  , ,  
