Data Year,District County Number,District County Name,District Number,District Type,District Name,School Number,School Name,ECSU Number,Eco Dev Rgn,Test Name,Test Date,Grade,Subject,Report Order,Report Category,Report Description,Filtered,Count Tested,Count Passed,Count Not Passed,Percent Passed,Percent Not Passed,Average Score,VESS Average Score,CSPSS Average Score,LSS Average Score,Standard Deviation,Std. Error of Mean,Confidence Interval,Count Absent,Count Invalid,Count Medical Exempt,Count Not Complete,Count PSO,Count Refused,Count Wrong Grade,October 1 Grade Enrollment,October 1 District Enrollment,Filter Threshold,Public School,School County Number,School County Name,School Classification
8-Jul,1,Aitkin                                       ,1,1,AITKIN PUBLIC SCHOOL DISTRICT      ,0,All Schools                        ,3,3,GRAD,20080414,10,R,1,All Categories,All Students,N,90,65,25,72.2,27.8,57,8,19.5,5.2,11.8,1.2,54.6-59.4,1,0,0,0,0,0,1,92,1286,9,Y,1,Aitkin                                       ,0
8-Jul,27,Hennepin                                     ,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,0,All Schools                        ,11,11,GRAD,20080414,10,R,1,All Categories,All Students,N,2417,1271,1146,52.6,47.4,49.1,6.6,16.7,4.1,15.1,0.3,48.5-49.7,37,4,2,33,0,3,10,2721,34314,9,Y,27,Hennepin                                     ,0
8-Jul,1,Aitkin                                       ,2,1,HILL CITY PUBLIC SCHOOL DISTRICT   ,0,All Schools                        ,3,3,GRAD,20080414,10,R,1,All Categories,All Students,N,28,24,4,85.7,14.3,55.7,8.3,19.9,5.1,7.2,1.4,53.1-58.3,0,0,0,0,0,0,0,30,312,9,Y,1,Aitkin                                       ,0
8-Jul,1,Aitkin                                       ,4,1,MCGREGOR PUBLIC SCHOOL DISTRICT    ,0,All Schools                        ,3,3,GRAD,20080414,10,R,1,All Categories,All Students,N,29,14,15,48.3,51.7,48.9,6.9,16.9,4.1,12.9,2.4,44.3-53.5,0,0,0,0,0,0,0,31,366,9,Y,1,Aitkin                                       ,0
8-Jul,19,Dakota                                       ,6,3,SOUTH ST. PAUL PUBLIC SCHOOL DIST. ,0,All Schools                        ,11,11,GRAD,20080414,10,R,1,All Categories,All Students,N,257,187,70,72.8,27.2,54.7,7.8,18.8,4.7,12.7,0.8,53.2-56.2,1,1,0,0,0,0,0,270,3255,9,Y,19,Dakota                                       ,0
8-Jul,2,Anoka                                        ,11,1,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,0,All Schools                        ,11,11,GRAD,20080414,10,R,1,All Categories,All Students,N,3207,2565,642,80,20,56.5,8,19.6,5,11.5,0.2,56.1-56.9,6,5,4,10,0,0,0,3383,40015,9,Y,2,Anoka                                        ,0
8-Jul,2,Anoka                                        ,12,1,CENTENNIAL PUBLIC SCHOOL DISTRICT  ,0,All Schools                        ,11,11,GRAD,20080414,10,R,1,All Categories,All Students,N,558,468,90,83.9,16.1,58.1,8.3,20.1,5.2,11,0.5,57.2-59.0,0,0,0,1,0,0,0,572,6832,9,Y,2,Anoka                                        ,0
8-Jul,2,Anoka                                        ,13,1,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,0,All Schools                        ,11,11,GRAD,20080414,10,R,1,All Categories,All Students,N,203,119,84,58.6,41.4,51.5,6.9,18,4.5,12,0.8,49.9-53.1,0,0,0,2,0,1,0,240,2929,9,Y,2,Anoka                                        ,0
8-Jul,2,Anoka                                        ,14,1,FRIDLEY PUBLIC SCHOOL DISTRICT     ,0,All Schools                        ,11,11,GRAD,20080414,10,R,1,All Categories,All Students,N,253,171,82,67.6,32.4,54.3,7.6,18.8,4.7,12.6,0.8,52.8-55.8,3,0,0,1,0,0,2,261,2693,9,Y,2,Anoka                                        ,0
8-Jul,2,Anoka                                        ,15,1,ST. FRANCIS PUBLIC SCHOOL DISTRICT ,0,All Schools                        ,11,11,GRAD,20080414,10,R,1,All Categories,All Students,N,456,343,113,75.2,24.8,55.3,7.9,19.1,4.9,11.6,0.5,54.2-56.4,4,0,0,2,0,0,2,535,5787,9,Y,2,Anoka                                        ,0
