Data Year,District County Number,District County Name,District Number,District Type,District Name,School Number,School Name,ECSU Number,Eco Dev Rgn,Test Name,Test Date,Grade,Subject,Report Order,Report Category,Report Description,Filtered,Count Tested,Count Passed,Count Not Passed,Percent Passed,Percent Not Passed,Average Score,GNS Average Score,GPFA Average Score,GDSP Average Score,GSGM Average Score,Standard Deviation,Std. Error of Mean,Confidence Interval,Count Absent,Count Invalid,Count Medical Exempt,Count Not Complete,Count PSO,Count Refused,Count Wrong Grade,October 1 Grade Enrollment,October 1 District Enrollment,Filter Threshold,Public School,School County Number,School County Name,School Classification
9-Aug,1,Aitkin,1,1,AITKIN PUBLIC SCHOOL DISTRICT,0,All Schools,3,3,GRAD,20090413,11,M,1,All Categories,All Students,N,89,48,41,53.9,46.1,51.2,5.2,10.6,6.6,5.5,13.1,1.4,48.5-53.9,3,0,0,0,0,0,0,97,1265,9,Y,1,Aitkin,0
9-Aug,27,Hennepin,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.,0,All Schools,11,11,GRAD,20090413,11,M,1,All Categories,All Students,N,2011,794,1217,39.5,60.5,45,4.6,9.1,5.7,4.7,15.7,0.3,44.3-45.7,33,4,1,44,0,2,6,2608,33886,9,Y,27,Hennepin,0
9-Aug,1,Aitkin,2,1,HILL CITY PUBLIC SCHOOL DISTRICT,0,All Schools,3,3,GRAD,20090413,11,M,1,All Categories,All Students,N,25,13,12,52,48,48.9,5,9,6.1,6.7,10.2,2,44.9-52.9,0,0,0,3,0,0,0,30,288,9,Y,1,Aitkin,0
9-Aug,1,Aitkin,4,1,MCGREGOR PUBLIC SCHOOL DISTRICT,0,All Schools,3,3,GRAD,20090413,11,M,1,All Categories,All Students,N,25,6,19,24,76,38.6,4.1,7.6,5.1,3.8,10.8,2.2,34.3-42.9,0,0,0,0,0,0,0,29,392,9,Y,1,Aitkin,0
9-Aug,19,Dakota,6,3,SOUTH ST. PAUL PUBLIC SCHOOL DIST.,0,All Schools,11,11,GRAD,20090413,11,M,1,All Categories,All Students,N,236,129,107,54.7,45.3,49.6,5.1,10,6.7,5.2,13.1,0.9,47.9-51.3,2,0,0,1,0,0,0,262,3274,9,Y,19,Dakota,0
9-Aug,2,Anoka,11,1,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,0,All Schools,11,11,GRAD,20090413,11,M,1,All Categories,All Students,N,3116,1707,1409,54.8,45.2,50.4,5.3,10.2,6.6,5.5,12,0.2,50.0-50.8,7,3,2,6,0,0,1,3257,39435,9,Y,2,Anoka,0
9-Aug,2,Anoka,12,1,CENTENNIAL PUBLIC SCHOOL DISTRICT,0,All Schools,11,11,GRAD,20090413,11,M,1,All Categories,All Students,N,555,426,129,76.8,23.2,57.4,5.5,11.8,7.5,6.4,12.8,0.5,56.3-58.5,2,1,1,1,0,0,0,582,6747,9,Y,2,Anoka,0
9-Aug,2,Anoka,13,1,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,0,All Schools,11,11,GRAD,20090413,11,M,1,All Categories,All Students,N,160,69,91,43.1,56.9,47.4,5.1,10,5.9,4.9,11.7,0.9,45.6-49.2,1,0,0,2,0,0,0,212,2831,9,Y,2,Anoka,0
9-Aug,2,Anoka,14,1,FRIDLEY PUBLIC SCHOOL DISTRICT,0,All Schools,11,11,GRAD,20090413,11,M,1,All Categories,All Students,N,209,108,101,51.7,48.3,48,4.9,10.2,6.3,4.9,13.7,1,46.1-49.9,3,0,0,3,0,0,1,224,2693,9,Y,2,Anoka,0
9-Aug,2,Anoka,15,1,ST. FRANCIS PUBLIC SCHOOL DISTRICT,0,All Schools,11,11,GRAD,20090413,11,M,1,All Categories,All Students,N,419,242,177,57.8,42.2,50.6,5.3,10.7,6.7,5.2,11.8,0.6,49.5-51.7,7,0,0,0,0,0,1,505,5589,9,Y,2,Anoka,0
9-Aug,2,Anoka,16,1,SPRING LAKE PARK PUBLIC SCHOOLS,0,All Schools,11,11,GRAD,20090413,11,M,1,All Categories,All Students,N,297,164,133,55.2,44.8,50.7,5.2,10.4,6.7,5.3,13.5,0.8,49.2-52.2,0,0,0,0,0,0,0,352,4607,9,Y,2,Anoka,0
9-Aug,3,Becker,22,1,DETROIT LAKES PUBLIC SCHOOL DIST.,0,All Schools,4,4,GRAD,20090413,11,M,1,All Categories,All Students,N,208,128,80,61.5,38.5,51.6,5.3,10.6,6.7,5.8,12.5,0.9,49.9-53.3,4,0,0,0,0,0,0,219,2697,9,Y,3,Becker,0
