DataYear,DistrictCountyNumber,DistrictCountyName,districtNumber,districtType,DistrictName,schoolNumber,SchoolName,ECSUNumber,EconomicDevelopmentRegion,Grade,AMI_Male,AMI_Female,API_Male,API_Female,HIS_Male,HIS_Female,BLK_Male,BLK_Female,WHT_Male,WHT_Female,Total_Male,Total_Female,TotalMinority,TotalStudents,Entity,MinMaxGrade,SchoolLocationCountyNumber,SchoolLocationCountyName,SchoolClassification
09-10,01,Aitkin,0001,01,AITKIN PUBLIC SCHOOL DISTRICT,000,,03,03,EC,0,0,0,0,0,1,2,0,12,7,14,8,3,22,District,EC-12,,,
09-10,01,Aitkin,0001,01,AITKIN PUBLIC SCHOOL DISTRICT,000,,03,03,KG,0,0,0,1,1,0,0,0,53,49,54,50,2,104,District,EC-12,,,
09-10,01,Aitkin,0001,01,AITKIN PUBLIC SCHOOL DISTRICT,000,,03,03,01,1,0,0,0,0,0,1,0,57,50,59,50,2,109,District,EC-12,,,
09-10,01,Aitkin,0001,01,AITKIN PUBLIC SCHOOL DISTRICT,000,,03,03,02,1,0,0,1,1,0,0,0,34,41,36,42,3,78,District,EC-12,,,
09-10,01,Aitkin,0001,01,AITKIN PUBLIC SCHOOL DISTRICT,000,,03,03,03,0,0,0,0,1,1,1,2,45,45,47,48,5,95,District,EC-12,,,
09-10,01,Aitkin,0001,01,AITKIN PUBLIC SCHOOL DISTRICT,000,,03,03,04,0,0,1,0,0,0,0,2,43,43,44,45,3,89,District,EC-12,,,
09-10,01,Aitkin,0001,01,AITKIN PUBLIC SCHOOL DISTRICT,000,,03,03,05,0,1,0,0,0,1,2,3,48,40,50,45,7,95,District,EC-12,,,
09-10,01,Aitkin,0001,01,AITKIN PUBLIC SCHOOL DISTRICT,000,,03,03,06,0,0,0,0,0,0,1,0,57,49,58,49,1,107,District,EC-12,,,
09-10,01,Aitkin,0001,01,AITKIN PUBLIC SCHOOL DISTRICT,000,,03,03,07,0,0,0,1,1,0,0,1,42,42,43,44,3,87,District,EC-12,,,
09-10,01,Aitkin,0001,01,AITKIN PUBLIC SCHOOL DISTRICT,000,,03,03,08,1,1,0,0,0,1,1,1,44,56,46,59,5,105,District,EC-12,,,
