dataYear,DistrictCountyNumber,DistrictCountyName,districtNumber,districtType,districtName,schoolNumber,schoolName,ECSUNumber,EcoDevRgn,testname,testDate,grade,subject,reportOrder,reportCategory,ReportDescription,filtered,countTested,countPassed,countNotPassed,percentPassed,percentNotPassed,averageScore,VESSAverageScore,CPSSAverageScore,LSSAverageScore,stddev,StdErrorOfMean,ConfidenceInterval,CountAbsent,CountInvalid,CountMedExempt,CountNotComplete,CountPSO,CountRefused,CountWrongGrade,gradeEnrollment,k12Enrollment,filterThreshold,publicSchoolIndicator,SchoolCountyNumber,SchoolCountyName,schoolClassification
10-Sep,2,,14,31,Nonpublic School                   ,6,AL-AMAL SCHOOL                     ,,11,GRAD,20100413,10,R,1,All Categories,All Students,N,19,19,0,100,0,65.1,7.5,22.9,5.6,8.1,1.9,61.4-68.8,0,0,0,0,0,0,0,19,366,9,N,2,Anoka                                        ,0
10-Sep,7,,77,31,Nonpublic School                   ,17,LOYOLA CATHOLIC SCHOOL             ,,9,GRAD,20100413,10,R,1,All Categories,All Students,N,44,38,6,86.4,13.6,60.1,7,21.4,4.7,10.2,1.5,57.1-63.1,0,0,0,0,0,0,0,46,578,9,N,7,Blue Earth                                   ,0
10-Sep,8,,84,31,Nonpublic School                   ,2,ST. MARY'S H.S.                    ,,9,GRAD,20100413,10,R,1,All Categories,All Students,N,33,30,3,90.9,9.1,62.6,7.2,21.9,4.9,11.6,2,58.6-66.6,0,0,0,0,0,0,0,33,210,9,N,8,Brown                                        ,0
10-Sep,27,,283,31,Nonpublic School                   ,19,BAIS YAAKOV HIGH SCHOOL            ,,11,GRAD,20100413,10,R,1,All Categories,All Students,Y,6,,,,,,,,,,,,,,,,,,,6,23,9,N,27,Hennepin                                     ,0
10-Sep,85,,861,31,Nonpublic School                   ,26,HOPE LUTHERAN HIGH SCHOOL          ,,10,GRAD,20100413,10,R,1,All Categories,All Students,Y,9,,,,,,,,,,,,,,,,,,,9,38,9,N,85,Winona                                       ,0
10-Sep,85,,861,31,Nonpublic School                   ,31,COTTER SENIOR HIGH                 ,,10,GRAD,20100413,10,R,1,All Categories,All Students,N,51,46,5,90.2,9.8,59.8,6.8,21.4,4.9,9.4,1.3,57.2-62.4,0,0,0,0,0,0,0,74,301,9,N,85,Winona                                       ,0
10-Sep,9,Carlton                                      ,1094,34,Nonpublic School                   ,30,FOND DU LAC OJIBWE SCHOOL          ,3,3,GRAD,20100413,10,R,1,All Categories,All Students,N,15,4,11,26.7,73.3,43.7,4.9,14.9,2.6,13.4,3.5,36.9-50.5,0,0,0,0,0,0,0,,,9,N,9,Carlton                                      ,40
10-Sep,11,Cass                                         ,1115,34,Nonpublic School                   ,10,BUG-O-NAY-GE-SHIG                  ,5,5,GRAD,20100413,10,R,1,All Categories,All Students,N,20,11,9,55,45,47.3,5.4,16,3.5,12.8,2.9,41.7-52.9,0,0,0,0,0,0,0,,,9,N,11,Cass                                         ,40
10-Sep,3,Becker                                       ,1435,34,Nonpublic School                   ,10,CIRCLE OF LIFE                     ,1,4,GRAD,20100413,10,R,1,All Categories,All Students,Y,5,,,,,,,,,,,,,,,,,,,,,9,N,3,Becker                                       ,40
10-Sep,48,Mille Lacs                                   ,1480,34,Nonpublic School                   ,10,NAY-AH-SHING                       ,7,07E,GRAD,20100413,10,R,1,All Categories,All Students,Y,7,,,,,,,,,,,,,,,,,,,,,9,N,48,Mille Lacs                                   ,40
