DataYear,DistrictCountyNumber,DistrictCountyName,districtNumber,districtType,DistrictName,schoolNumber,SchoolName,ECSUNumber,EconomicDevelopmentRegion,Grade,AMI_Male,AMI_Female,API_Male,API_Female,HIS_Male,HIS_Female,BLK_Male,BLK_Female,WHT_Male,WHT_Female,TotalMale,TotalFemale,TotalMinority,TotalStudents,Entity,MinMaxGrade,SchoolLocationCountyNumber,SchoolLocationCountyName,SchoolClassification
11-12,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,3,EC        ,0,0,0,0,0,0,0,0,19,10,19,10,0,29,District,EC-12,  , ,  
11-12,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,3,KG        ,1,1,0,0,1,1,1,1,36,38,39,41,6,80,District,EC-12,  , ,  
11-12,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,3,01        ,0,0,0,1,1,1,1,0,51,38,53,40,4,93,District,EC-12,  , ,  
11-12,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,3,02        ,0,0,0,2,1,0,1,0,56,49,58,51,4,109,District,EC-12,  , ,  
11-12,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,3,03        ,1,0,0,0,0,1,1,0,54,52,56,53,3,109,District,EC-12,  , ,  
11-12,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,3,04        ,1,0,0,1,0,0,0,0,32,38,33,39,2,72,District,EC-12,  , ,  
11-12,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,3,05        ,1,0,0,0,1,1,1,2,42,41,45,44,6,89,District,EC-12,  , ,  
11-12,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,3,06        ,0,0,1,0,0,0,0,2,39,43,40,45,3,85,District,EC-12,  , ,  
11-12,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,3,07        ,0,1,0,0,0,1,1,3,49,45,50,50,6,100,District,EC-12,  , ,  
11-12,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,3,08        ,0,0,0,0,0,0,1,0,57,54,58,54,1,112,District,EC-12,  , ,  
11-12,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,3,09        ,0,0,0,1,1,0,1,1,43,40,45,42,4,87,District,EC-12,  , ,  
11-12,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,3,10        ,1,2,0,0,0,1,1,1,42,54,44,58,6,102,District,EC-12,  , ,  
