DataYear,DistrictCouNum,DistrictCountyName,districtNumber,districtType,DistrictName,schoolNumber,SchoolName,ECSUNumber,EconomicDevelopmentRegion,Grade,K12Enr,FreeK12,RedK12,LEPIdentifiedK12,LEPServedK12,SPEK12,HMLK12,EC12Enr,FreeEC12,RedEC12,LEPIdentifiedEC12,LEPServedEC12,SPEEC12,HMLEC12,SchoolLocationCountyNumber,SchoolLocationCountyName,MinMaxGrade,SchoolClassification
16-17,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,EC,,,,,,,,22,11,,,,22,,, ,EC-12,
16-17,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,KG,74,34,,,,10,,74,34,,,,10,,, ,EC-12,
16-17,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,01,84,46,,,,16,,84,46,,,,16,,, ,EC-12,
16-17,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,02,72,34,,,,15,,72,34,,,,15,,, ,EC-12,
16-17,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,03,97,46,,1,,14,,97,46,,1,,14,,, ,EC-12,
16-17,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,04,92,47,,,,15,,92,47,,,,15,,, ,EC-12,
16-17,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,05,80,38,,,,5,,80,38,,,,5,,, ,EC-12,
16-17,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,06,98,48,,1,,12,,98,48,,1,,12,,, ,EC-12,
16-17,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,07,107,39,,,,14,,107,39,,,,14,,, ,EC-12,
16-17,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,08,107,46,,,,12,,107,46,,,,12,,, ,EC-12,
16-17,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,09,66,21,,,,11,,66,21,,,,11,,, ,EC-12,
16-17,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,10,89,35,,,,11,,89,35,,,,11,,, ,EC-12,
16-17,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,11,82,30,,,,5,,82,30,,,,5,,, ,EC-12,
16-17,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,12,96,29,,,,17,,96,29,,,,17,,, ,EC-12,
16-17,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,All Grades,1144,493,,2,,157,,1166,504,,2,,179,,, ,EC-12,
16-17,27,Hennepin                                     ,0001,03,Minneapolis Public School District ,000, ,11,11,EC,,,,,,,,837,504,36,236,6,837,28,, ,EC-12,
16-17,27,Hennepin                                     ,0001,03,Minneapolis Public School District ,000, ,11,11,PK,,,,,,,,167,138,10,53,53,,8,, ,EC-12,
16-17,27,Hennepin                                     ,0001,03,Minneapolis Public School District ,000, ,11,11,KG,2943,1524,170,696,692,276,86,2943,1524,170,696,692,276,86,, ,EC-12,
16-17,27,Hennepin                                     ,0001,03,Minneapolis Public School District ,000, ,11,11,01,2952,1549,180,673,670,313,111,2952,1549,180,673,670,313,111,, ,EC-12,
16-17,27,Hennepin                                     ,0001,03,Minneapolis Public School District ,000, ,11,11,02,3018,1677,166,724,723,363,193,3018,1677,166,724,723,363,193,, ,EC-12,
16-17,27,Hennepin                                     ,0001,03,Minneapolis Public School District ,000, ,11,11,03,3026,1683,163,776,773,377,186,3026,1683,163,776,773,377,186,, ,EC-12,
