GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,BTBGA,NAME_E,AH40E001,NAME_M,AH40M001
G2700010,2013-2017,,,Minnesota,27,Aitkin County,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Aitkin County, Minnesota",1980,"Aitkin County, Minnesota",1
G2700030,2013-2017,,,Minnesota,27,Anoka County,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Anoka County, Minnesota",1984,"Anoka County, Minnesota",1
G2700050,2013-2017,,,Minnesota,27,Becker County,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Becker County, Minnesota",1976,"Becker County, Minnesota",1
G2700070,2013-2017,,,Minnesota,27,Beltrami County,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Beltrami County, Minnesota",1982,"Beltrami County, Minnesota",2
G2700090,2013-2017,,,Minnesota,27,Benton County,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Benton County, Minnesota",1982,"Benton County, Minnesota",1
G2700110,2013-2017,,,Minnesota,27,Big Stone County,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Big Stone County, Minnesota",1958,"Big Stone County, Minnesota",3
G2700130,2013-2017,,,Minnesota,27,Blue Earth County,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Blue Earth County, Minnesota",1974,"Blue Earth County, Minnesota",2
G2700150,2013-2017,,,Minnesota,27,Brown County,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Brown County, Minnesota",1961,"Brown County, Minnesota",2
G2700170,2013-2017,,,Minnesota,27,Carlton County,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Carlton County, Minnesota",1973,"Carlton County, Minnesota",2
G2700190,2013-2017,,,Minnesota,27,Carver County,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Carver County, Minnesota",1993,"Carver County, Minnesota",1
