DataYear,DistrictCountyNumber,DistrictCountyName,districtNumber,districtType,DistrictName,schoolNumber,SchoolName,ECSUNumber,EconomicDevelopmentRegion,Grade,AMI_Male,AMI_Female,ASI_Male,ASI_Female,BLK_Male,BLK_Female,HIS_Male,HIS_Female,HPI_Male,HPI_Female,MLT_Male,MLT_Female,WHT_Male,WHT_Female,TotalMale,TotalFemale,TotalMinority,TotalStudents,Entity,MinMaxGrade,SchoolLocationCountyNumber,SchoolLocationCountyName,SchoolClassification
17-18,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,EC,0,0,0,0,0,0,0,0,0,0,0,1,6,7,6,8,1,14,District,EC-12,, ,
17-18,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,KG,1,0,1,0,0,1,0,0,0,0,0,3,53,34,55,38,6,93,District,EC-12,, ,
17-18,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,01,2,0,0,1,0,0,1,0,0,0,2,1,38,32,43,34,7,77,District,EC-12,, ,
17-18,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,02,0,0,1,0,1,1,1,0,0,0,1,1,52,30,56,32,6,88,District,EC-12,, ,
17-18,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,03,1,0,0,0,0,0,0,0,0,0,2,0,43,29,46,29,3,75,District,EC-12,, ,
17-18,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,04,0,0,0,2,0,1,1,1,0,0,0,1,46,47,47,52,6,99,District,EC-12,, ,
17-18,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,05,0,0,0,0,0,1,2,0,0,0,3,1,48,42,53,44,7,97,District,EC-12,, ,
17-18,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,06,0,1,0,0,0,1,1,0,0,0,1,2,33,42,35,46,6,81,District,EC-12,, ,
17-18,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,07,0,0,0,0,1,0,0,2,0,0,2,2,55,38,58,42,7,100,District,EC-12,, ,
17-18,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,08,0,0,0,0,0,0,1,0,0,0,1,2,52,51,54,53,4,107,District,EC-12,, ,
