countyName,countyFIPS,familySize,numberAdults,numberWorkers,numberChildren,adultAge,year,yearlyCost,hourlyWage
Blue Earth,013,4,2,1.5,2,19-50,2018,58476,18.74
Blue Earth,013,2,1,1,1,19-50,2018,40932,19.68
Blue Earth,013,1,1,1,0,51+,2018,28032,13.48
Blue Earth,013,4,2,2,2,19-50,2018,64044,15.4
Blue Earth,013,6,2,2,4,19-50,2018,71028,17.07
Blue Earth,013,5,2,1.5,3,19-50,2018,61248,19.63
Blue Earth,013,2,2,2,0,51+,2018,36780,8.84
Blue Earth,013,2,2,2,0,19-50,2018,36264,8.72
Blue Earth,013,1,1,1,0,19-50,2018,27804,13.37
Blue Earth,013,5,1,1,4,19-50,2018,63504,30.53
Blue Earth,013,3,2,1,1,19-50,2018,41868,20.13
Blue Earth,013,2,2,1,0,51+,2018,35916,17.27
Blue Earth,013,3,2,2,1,19-50,2018,50268,12.08
Blue Earth,013,3,2,1.5,1,19-50,2018,46152,14.79
Blue Earth,013,2,2,1.5,0,19-50,2018,36264,11.62
Blue Earth,013,4,1,1,3,19-50,2018,60612,29.14
Blue Earth,013,5,2,1,3,19-50,2018,54420,26.16
Blue Earth,013,4,2,1,2,19-50,2018,51648,24.83
Blue Earth,013,6,2,1.5,4,19-50,2018,65448,20.98
Blue Earth,013,2,2,1.5,0,51+,2018,36780,11.79
Blue Earth,013,3,1,1,2,19-50,2018,56952,27.38
Blue Earth,013,2,2,1,0,19-50,2018,35412,17.02
Blue Earth,013,5,2,2,3,19-50,2018,66924,16.09
Blue Earth,013,6,2,1,4,19-50,2018,58572,28.16
Dodge,039,4,2,2,2,19-50,2018,70116,16.85
Dodge,039,6,2,1,4,19-50,2018,61836,29.73
Dodge,039,2,2,1.5,0,51+,2018,39084,12.53
Dodge,039,1,1,1,0,19-50,2018,29880,14.37
Dodge,039,6,2,1.5,4,19-50,2018,69972,22.43
Dodge,039,4,2,1,2,19-50,2018,55056,26.47
Dodge,039,2,2,1.5,0,19-50,2018,38580,12.37
Dodge,039,5,1,1,4,19-50,2018,69300,33.32
Dodge,039,3,2,1,1,19-50,2018,45504,21.88
Dodge,039,2,1,1,1,19-50,2018,45924,22.08
Dodge,039,2,2,1,0,51+,2018,38112,18.32
Dodge,039,3,2,2,1,19-50,2018,55764,13.4
Dodge,039,1,1,1,0,51+,2018,30132,14.49
Dodge,039,3,2,1.5,1,19-50,2018,50868,16.3
Dodge,039,2,2,2,0,19-50,2018,38580,9.27
Dodge,039,2,2,1,0,19-50,2018,37632,18.09
Dodge,039,2,2,2,0,51+,2018,39084,9.4
Becker,005,2,2,1.5,0,51+,2018,37632,12.06
Becker,005,2,2,2,0,19-50,2018,37116,8.92
Becker,005,1,1,1,0,19-50,2018,28284,13.6
Becker,005,3,2,1,1,19-50,2018,42468,20.42
Becker,005,2,1,1,1,19-50,2018,41100,19.76
Becker,005,5,2,1.5,3,19-50,2018,59988,19.23
Becker,005,3,2,1.5,1,19-50,2018,46800,15
Becker,005,2,2,2,0,51+,2018,37632,9.05
Becker,005,5,1,1,4,19-50,2018,62112,29.86
Becker,005,1,1,1,0,51+,2018,28500,13.7
Becker,005,3,1,1,2,19-50,2018,55248,26.56
Becker,005,5,2,2,3,19-50,2018,65784,15.81
Becker,005,2,2,1.5,0,19-50,2018,37116,11.9
Becker,005,6,2,1,4,19-50,2018,57780,27.78
Becker,005,2,2,1,0,19-50,2018,36240,17.42
Becker,005,4,2,1.5,2,19-50,2018,57180,18.33
Becker,005,3,2,2,1,19-50,2018,51048,12.27
Aitkin,001,1,1,1,0,19-50,2018,29508,14.19
Aitkin,001,3,2,2,1,19-50,2018,60156,14.46
Aitkin,001,5,1,1,4,19-50,2018,74856,35.99
Aitkin,001,4,2,1,2,19-50,2018,52824,25.4
Aitkin,001,2,2,2,0,19-50,2018,38232,9.19
Aitkin,001,6,2,1,4,19-50,2018,60072,28.88
Aitkin,001,4,2,2,2,19-50,2018,75648,18.18
Aitkin,001,4,2,1.5,2,19-50,2018,64356,20.63
Aitkin,001,2,2,1,0,19-50,2018,37308,17.94
Aitkin,001,5,2,1,3,19-50,2018,55728,26.79
Aitkin,001,3,2,1,1,19-50,2018,44892,21.58
Aitkin,001,2,2,2,0,51+,2018,38760,9.32
Aitkin,001,1,1,1,0,51+,2018,29796,14.32
Aitkin,001,5,2,2,3,19-50,2018,78576,18.89
Aitkin,001,2,2,1,0,51+,2018,37812,18.18
Aitkin,001,2,2,1.5,0,51+,2018,38760,12.42
Aitkin,001,5,2,1.5,3,19-50,2018,67296,21.57
Aitkin,001,3,1,1,2,19-50,2018,67980,32.68
Aitkin,001,2,2,1.5,0,19-50,2018,38232,12.25
Aitkin,001,6,2,2,4,19-50,2018,82944,19.94
Aitkin,001,3,2,1.5,1,19-50,2018,52848,16.94
Aitkin,001,4,1,1,3,19-50,2018,71940,34.59
Aitkin,001,2,1,1,1,19-50,2018,49956,24.02
Aitkin,001,6,2,1.5,4,19-50,2018,71640,22.96
Crow Wing,035,2,1,1,1,19-50,2018,45024,21.65
Crow Wing,035,4,2,2,2,19-50,2018,69444,16.69
Crow Wing,035,6,2,1,4,19-50,2018,58740,28.24
Crow Wing,035,3,2,1,1,19-50,2018,43836,21.07
Crow Wing,035,2,2,1,0,51+,2018,36816,17.7
Crow Wing,035,1,1,1,0,51+,2018,28728,13.81
Crow Wing,035,6,2,1.5,4,19-50,2018,67812,21.73
Crow Wing,035,5,2,2,3,19-50,2018,72336,17.39
Crow Wing,035,4,2,1,2,19-50,2018,51660,24.84
Crow Wing,035,2,2,1.5,0,51+,2018,37728,12.09
Crow Wing,035,2,2,2,0,51+,2018,37728,9.07
Crow Wing,035,4,1,1,3,19-50,2018,65784,31.63
Crow Wing,035,3,2,2,1,19-50,2018,54816,13.18
Crow Wing,035,3,1,1,2,19-50,2018,61992,29.8
Crow Wing,035,2,2,2,0,19-50,2018,37212,8.95
Crow Wing,035,3,2,1.5,1,19-50,2018,49464,15.85
Crow Wing,035,2,2,1,0,19-50,2018,36336,17.47
Clearwater,029,3,1,1,2,19-50,2018,55740,26.8
Clearwater,029,1,1,1,0,19-50,2018,28668,13.78
Clearwater,029,3,2,2,1,19-50,2018,51372,12.35
Clearwater,029,2,2,1.5,0,19-50,2018,37548,12.03
Clearwater,029,5,2,2,3,19-50,2018,66624,16.02
Clearwater,029,4,2,1,2,19-50,2018,52476,25.23
Clearwater,029,2,1,1,1,19-50,2018,41064,19.74
Clearwater,029,5,2,1.5,3,19-50,2018,61608,19.75
Clearwater,029,6,2,2,4,19-50,2018,71016,17.07
Clearwater,029,4,2,2,2,19-50,2018,63636,15.3
Clearwater,029,4,2,1.5,2,19-50,2018,58704,18.82
Clearwater,029,2,2,1,0,19-50,2018,36660,17.63
Clearwater,029,2,2,2,0,51+,2018,38064,9.15
Clearwater,029,1,1,1,0,51+,2018,28896,13.89
Clearwater,029,2,2,1.5,0,51+,2018,38064,12.2
Clearwater,029,6,2,1,4,19-50,2018,59796,28.75
Clearwater,029,3,2,1,1,19-50,2018,43908,21.11
Clearwater,029,2,2,2,0,19-50,2018,37548,9.03
Clearwater,029,3,2,1.5,1,19-50,2018,47844,15.33
Clearwater,029,4,1,1,3,19-50,2018,59700,28.7
Clearwater,029,2,2,1,0,51+,2018,37152,17.86
Clearwater,029,5,1,1,4,19-50,2018,62712,30.15
Clearwater,029,5,2,1,3,19-50,2018,55416,26.64
Clearwater,029,6,2,1.5,4,19-50,2018,66084,21.18
Fillmore,045,4,2,2,2,19-50,2018,64836,15.59
Fillmore,045,5,2,2,3,19-50,2018,67812,16.3
Fillmore,045,6,2,1.5,4,19-50,2018,65976,21.15
Fillmore,045,3,2,1.5,1,19-50,2018,47232,15.14
Fillmore,045,6,2,2,4,19-50,2018,72120,17.34
Fillmore,045,4,1,1,3,19-50,2018,61056,29.35
Fillmore,045,1,1,1,0,51+,2018,28140,13.53
Fillmore,045,2,1,1,1,19-50,2018,41472,19.94
Fillmore,045,2,2,1,0,51+,2018,36348,17.48
Fillmore,045,5,2,1.5,3,19-50,2018,61596,19.74
Fillmore,045,3,2,2,1,19-50,2018,51564,12.4
Fillmore,045,2,2,1.5,0,19-50,2018,36720,11.77
Fillmore,045,2,2,1,0,19-50,2018,35868,17.24
Fillmore,045,5,2,1,3,19-50,2018,54528,26.22
Fillmore,045,3,2,1,1,19-50,2018,42888,20.62
Fillmore,045,2,2,2,0,19-50,2018,36720,8.83
Fillmore,045,4,2,1.5,2,19-50,2018,58812,18.85
Beltrami,007,1,1,1,0,19-50,2018,27576,13.26
Beltrami,007,2,2,1.5,0,19-50,2018,36276,11.63
Beltrami,007,5,1,1,4,19-50,2018,63072,30.32
Beltrami,007,2,2,1,0,19-50,2018,35436,17.04
Beltrami,007,2,2,1.5,0,51+,2018,36780,11.79
Beltrami,007,5,2,2,3,19-50,2018,66696,16.03
Beltrami,007,2,1,1,1,19-50,2018,41592,20
Beltrami,007,4,2,1.5,2,19-50,2018,57756,18.51
Beltrami,007,3,2,1.5,1,19-50,2018,47016,15.07
Beltrami,007,5,2,1.5,3,19-50,2018,60660,19.44
Beltrami,007,3,1,1,2,19-50,2018,56388,27.11
Beltrami,007,3,2,2,1,19-50,2018,51372,12.35
Beltrami,007,2,2,2,0,51+,2018,36780,8.84
Beltrami,007,4,2,2,2,19-50,2018,63780,15.33
Beltrami,007,3,2,1,1,19-50,2018,42612,20.49
Beltrami,007,6,2,2,4,19-50,2018,70932,17.05
Beltrami,007,5,2,1,3,19-50,2018,53652,25.79
Beltrami,007,4,2,1,2,19-50,2018,50784,24.42
Beltrami,007,2,2,2,0,19-50,2018,36276,8.72
Beltrami,007,6,2,1.5,4,19-50,2018,64968,20.82
Beltrami,007,4,1,1,3,19-50,2018,60120,28.9
Beltrami,007,1,1,1,0,51+,2018,27852,13.39
Beltrami,007,6,2,1,4,19-50,2018,57996,27.88
Beltrami,007,2,2,1,0,51+,2018,35916,17.27
Benton,009,1,1,1,0,51+,2018,29340,14.11
Benton,009,6,2,1,4,19-50,2018,60324,29
Benton,009,5,1,1,4,19-50,2018,67056,32.24
Benton,009,4,1,1,3,19-50,2018,64188,30.86
Benton,009,2,2,1,0,51+,2018,37404,17.98
Benton,009,6,2,1.5,4,19-50,2018,68064,21.82
Benton,009,2,2,2,0,19-50,2018,37824,9.09
Benton,009,4,2,1,2,19-50,2018,53520,25.73
Benton,009,5,2,1.5,3,19-50,2018,63924,20.49
Benton,009,3,2,1,1,19-50,2018,43380,20.86
Benton,009,6,2,2,4,19-50,2018,74820,17.99
Benton,009,5,2,1,3,19-50,2018,56244,27.04
Benton,009,4,2,2,2,19-50,2018,67896,16.32
Benton,009,2,2,1.5,0,51+,2018,38340,12.29
Benton,009,2,1,1,1,19-50,2018,43428,20.88
Benton,009,2,2,2,0,51+,2018,38340,9.22
