Area,Family Size,Number of Adults,Number of Workers,Number of Children,Age of Adults,Yearly Cost,Hourly Wage,Child Care,Food,Health Care,Housing,Transport,Other,Taxes
Big Stone County                ,5,1,1,4,19-50,62896,30.24,617,1204,428,958,924,632,478
Big Stone County                ,6,2,2,4,19-50,69369,16.68,617,1468,443,958,960,709,626
Big Stone County                ,6,2,1,4,19-50,57659,27.72,0,1468,443,958,960,709,267
Big Stone County                ,2,2,2,0,51+,35969,8.65,0,588,356,596,699,346,412
Big Stone County                ,5,2,2,3,19-50,65041,15.63,617,1205,435,958,924,632,649
Big Stone County                ,2,2,2,0,19-50,35210,8.46,0,613,276,596,699,353,397
Big Stone County                ,1,1,1,0,19-50,27623,13.28,0,334,134,576,659,266,333
Big Stone County                ,2,2,1.5,0,51+,35969,11.53,0,588,356,596,699,346,412
Big Stone County                ,5,2,1.5,3,19-50,59911,19.2,309,1205,435,958,924,632,530
Big Stone County                ,5,2,1,3,19-50,53097,25.53,0,1205,435,958,924,632,271
Big Stone County                ,4,2,1.5,2,19-50,56337,18.06,309,995,426,958,871,571,565
Big Stone County                ,3,2,1,1,19-50,40448,19.45,0,763,417,698,818,427,248
Big Stone County                ,4,1,1,3,19-50,59423,28.57,617,990,419,958,871,569,528
Big Stone County                ,3,2,1.5,1,19-50,45127,14.46,199,763,417,698,818,427,439
Big Stone County                ,2,2,1,0,51+,35141,16.89,0,588,356,596,699,346,343
Big Stone County                ,1,1,1,0,51+,27986,13.45,0,321,174,576,659,262,340
Big Stone County                ,2,1,1,1,19-50,39007,18.75,398,493,269,698,699,348,346
Big Stone County                ,2,2,1.5,0,19-50,35210,11.29,0,613,276,596,699,353,397
Big Stone County                ,6,2,1.5,4,19-50,64314,20.61,309,1468,443,958,960,709,513
Big Stone County                ,2,2,1,0,19-50,34401,16.54,0,613,276,596,699,353,330
Big Stone County                ,4,2,1,2,19-50,49440,23.77,0,995,426,958,871,571,299
Big Stone County                ,3,1,1,2,19-50,55511,26.69,617,753,411,958,818,500,569
Big Stone County                ,4,2,2,2,19-50,61537,14.79,617,995,426,958,871,571,690
Big Stone County                ,3,2,2,1,19-50,48515,11.66,398,763,417,698,818,427,522
Carlton County                  ,2,1,1,1,19-50,42738,20.55,512,482,269,790,705,372,431
Carlton County                  ,5,2,1,3,19-50,54075,26,0,1179,435,1026,933,644,289
Carlton County                  ,4,2,1,2,19-50,50567,24.31,0,974,426,1026,879,584,325
Carlton County                  ,3,2,2,1,19-50,52166,12.54,512,746,417,790,825,449,608
Carlton County                  ,1,1,1,0,19-50,28144,13.53,0,327,134,607,664,273,340
Carlton County                  ,4,2,2,2,19-50,65466,15.74,798,974,426,1026,879,584,768
Carlton County                  ,2,2,1,0,51+,35383,17.01,0,575,356,618,705,349,346
Carlton County                  ,2,2,2,0,51+,36225,8.71,0,575,356,618,705,349,416
Carlton County                  ,5,1,1,4,19-50,66662,32.05,798,1177,428,1026,933,644,549
Carlton County                  ,4,1,1,3,19-50,63317,30.44,798,968,419,1026,879,583,603
Carlton County                  ,4,2,1.5,2,19-50,59155,18.96,399,974,426,1026,879,584,642
Carlton County                  ,2,2,2,0,19-50,35465,8.53,0,600,276,618,705,356,400
Carlton County                  ,1,1,1,0,51+,28507,13.71,0,314,174,607,664,269,348
Carlton County                  ,3,1,1,2,19-50,59484,28.6,798,736,411,1026,825,515,646
Carlton County                  ,6,2,1,4,19-50,58435,28.09,0,1436,443,1026,969,720,276
Carlton County                  ,6,2,2,4,19-50,73104,17.57,798,1436,443,1026,969,720,700
Carlton County                  ,3,2,1,1,19-50,42222,20.3,0,746,417,790,825,449,291
Minnesota                       ,2,1,1,1,19-50,55344,26.61,1008,493,278,980,741,430,682
Minnesota                       ,3,2,2,1,19-50,65748,15.8,1008,763,459,980,869,510,890
Minnesota                       ,2,2,2,0,19-50,39408,9.47,0,613,284,772,741,405,469
Minnesota                       ,4,2,1,2,19-50,59364,28.54,0,995,467,1362,927,689,507
Minnesota                       ,2,2,1.5,0,51+,40176,12.88,0,588,365,772,741,398,484
Minnesota                       ,2,2,1,0,19-50,38436,18.48,0,613,284,772,741,405,388
Minnesota                       ,4,2,2,2,19-50,88296,21.23,1646,995,467,1362,927,689,1272
Minnesota                       ,3,2,1.5,1,19-50,57624,18.47,504,763,459,980,869,510,717
Minnesota                       ,1,1,1,0,51+,32028,15.4,0,321,176,754,696,314,408
Minnesota                       ,2,2,2,0,51+,40176,9.66,0,588,365,772,741,398,484
Minnesota                       ,4,2,1.5,2,19-50,74904,24.01,823,995,467,1362,927,689,979
Minnesota                       ,1,1,1,0,19-50,31656,15.22,0,334,136,754,696,318,400
Minnesota                       ,5,2,1,3,19-50,62892,30.24,0,1205,476,1362,986,750,462
Minnesota                       ,2,2,1,0,51+,39192,18.84,0,588,365,772,741,398,402
Minnesota                       ,5,1,1,4,19-50,90684,43.6,1646,1203,469,1362,986,750,1141
Minnesota                       ,5,2,1.5,3,19-50,78480,25.15,823,1205,476,1362,986,750,938
Minnesota                       ,4,1,1,3,19-50,86940,41.8,1646,989,461,1362,927,687,1173
Minnesota                       ,5,2,2,3,19-50,92016,22.12,1646,1205,476,1362,986,750,1243
Minnesota                       ,3,1,1,2,19-50,82740,39.78,1646,752,452,1362,869,618,1196
Minnesota                       ,3,2,1,1,19-50,47940,23.05,0,763,459,980,869,510,414
Minnesota                       ,2,2,1.5,0,19-50,39408,12.63,0,613,284,772,741,405,469
Minnesota                       ,6,2,1,4,19-50,67320,32.37,0,1468,485,1362,1024,827,444
Minnesota                       ,6,2,1.5,4,19-50,82836,26.55,823,1468,485,1362,1024,827,914
Minnesota                       ,6,2,2,4,19-50,96564,23.21,1646,1468,485,1362,1024,827,1235
Becker County                   ,3,2,1,1,19-50,42421,20.39,0,749,417,699,943,423,304
