countyName,countyFIPS,familySize,numberAdults,numberWorkers,numberChildren,adultAge,year,hourlyWage
Blue Earth,13,4,2,1.5,2,19-50,2018,18.74
Blue Earth,13,2,1,1,1,19-50,2018,19.68
Blue Earth,13,1,1,1,0,51+,2018,13.48
Blue Earth,13,4,2,2,2,19-50,2018,15.4
Blue Earth,13,6,2,2,4,19-50,2018,17.07
Blue Earth,13,5,2,1.5,3,19-50,2018,19.63
Blue Earth,13,2,2,2,0,51+,2018,8.84
Blue Earth,13,2,2,2,0,19-50,2018,8.72
Blue Earth,13,1,1,1,0,19-50,2018,13.37
Blue Earth,13,5,1,1,4,19-50,2018,30.53
Blue Earth,13,3,2,1,1,19-50,2018,20.13
Blue Earth,13,2,2,1,0,51+,2018,17.27
Blue Earth,13,3,2,2,1,19-50,2018,12.08
Blue Earth,13,3,2,1.5,1,19-50,2018,14.79
Blue Earth,13,2,2,1.5,0,19-50,2018,11.62
Blue Earth,13,4,1,1,3,19-50,2018,29.14
Blue Earth,13,5,2,1,3,19-50,2018,26.16
Blue Earth,13,4,2,1,2,19-50,2018,24.83
Blue Earth,13,6,2,1.5,4,19-50,2018,20.98
Blue Earth,13,2,2,1.5,0,51+,2018,11.79
Blue Earth,13,3,1,1,2,19-50,2018,27.38
Blue Earth,13,2,2,1,0,19-50,2018,17.02
Blue Earth,13,5,2,2,3,19-50,2018,16.09
Blue Earth,13,6,2,1,4,19-50,2018,28.16
Dodge,39,4,2,2,2,19-50,2018,16.85
Dodge,39,6,2,1,4,19-50,2018,29.73
Dodge,39,2,2,1.5,0,51+,2018,12.53
Dodge,39,1,1,1,0,19-50,2018,14.37
Dodge,39,6,2,1.5,4,19-50,2018,22.43
Dodge,39,4,2,1,2,19-50,2018,26.47
Dodge,39,2,2,1.5,0,19-50,2018,12.37
Dodge,39,5,1,1,4,19-50,2018,33.32
Dodge,39,3,2,1,1,19-50,2018,21.88
Dodge,39,2,1,1,1,19-50,2018,22.08
Dodge,39,2,2,1,0,51+,2018,18.32
Dodge,39,3,2,2,1,19-50,2018,13.4
Dodge,39,1,1,1,0,51+,2018,14.49
Dodge,39,3,2,1.5,1,19-50,2018,16.3
Dodge,39,2,2,2,0,19-50,2018,9.27
Dodge,39,2,2,1,0,19-50,2018,18.09
Dodge,39,2,2,2,0,51+,2018,9.4
Becker,5,2,2,1.5,0,51+,2018,12.06
Becker,5,2,2,2,0,19-50,2018,8.92
Becker,5,1,1,1,0,19-50,2018,13.6
Becker,5,3,2,1,1,19-50,2018,20.42
Becker,5,2,1,1,1,19-50,2018,19.76
Becker,5,5,2,1.5,3,19-50,2018,19.23
Becker,5,3,2,1.5,1,19-50,2018,15
Becker,5,2,2,2,0,51+,2018,9.05
Becker,5,5,1,1,4,19-50,2018,29.86
Becker,5,1,1,1,0,51+,2018,13.7
Becker,5,3,1,1,2,19-50,2018,26.56
Becker,5,5,2,2,3,19-50,2018,15.81
Becker,5,2,2,1.5,0,19-50,2018,11.9
Becker,5,6,2,1,4,19-50,2018,27.78
Becker,5,2,2,1,0,19-50,2018,17.42
Becker,5,4,2,1.5,2,19-50,2018,18.33
Becker,5,3,2,2,1,19-50,2018,12.27
Aitkin,1,1,1,1,0,19-50,2018,14.19
Aitkin,1,3,2,2,1,19-50,2018,14.46
Aitkin,1,5,1,1,4,19-50,2018,35.99
Aitkin,1,4,2,1,2,19-50,2018,25.4
Aitkin,1,2,2,2,0,19-50,2018,9.19
Aitkin,1,6,2,1,4,19-50,2018,28.88
Aitkin,1,4,2,2,2,19-50,2018,18.18
