countyName,countyFIPS
Aitkin,1
Anoka,3
Becker,5
Beltrami,7
Benton,9
Big Stone,11
Blue Earth,13
Brown,15
Carlton,17
Carver,19
Cass,21
Chippewa,23
Chisago,25
Clay,27
Clearwater,29
Cook,31
Cottonwood,33
Crow Wing,35
Dakota,37
Dodge,39
Douglas,41
Faribault,43
Fillmore,45
Freeborn,47
Goodhue,49
Grant,51
Hennepin,53
Houston,55
Hubbard,57
Isanti,59
Itasca,61
Jackson,63
Kanabec,65
Kandiyohi,67
Kittson,69
Koochiching,71
Lac Qui Parle,73
Lake,75
Lake Of The Woods,77
Le Sueur,79
Lincoln,81
Lyon,83
Mahnomen,87
Marshall,89
Martin,91
McLeod,85
Meeker,93
Mille Lacs,95
Morrison,97
Mower,99
Murray,101
Nicollet,103
Nobles,105
Norman,107
Olmsted,109
Otter Tail,111
Pennington,113
Pine,115
Pipestone,117
Polk,119
Pope,121
Ramsey,123
Red Lake,125
Redwood,127
Renville,129
Rice,131
Rock,133
Roseau,135
Scott,139
Sherburne,141
Sibley,143
St Louis,137
Stearns,145
Steele,147
Stevens,149
Swift,151
Todd,153
Traverse,155
Wabasha,157
Wadena,159
Waseca,161
Washington,163
Watonwan,165
Wilkin,167
Winona,169
Wright,171
Yellow Medicine,173
