countyName,countyFIPS,familySize,numberAdults,numberWorkers,numberChildren,adultAge,year,yearlyCost
Blue Earth,013,4,2,1.5,2,19-50,2018,58476
Blue Earth,013,2,1,1,1,19-50,2018,40932
Blue Earth,013,1,1,1,0,51+,2018,28032
Blue Earth,013,4,2,2,2,19-50,2018,64044
Blue Earth,013,6,2,2,4,19-50,2018,71028
Blue Earth,013,5,2,1.5,3,19-50,2018,61248
Blue Earth,013,2,2,2,0,51+,2018,36780
Blue Earth,013,2,2,2,0,19-50,2018,36264
Blue Earth,013,1,1,1,0,19-50,2018,27804
Blue Earth,013,5,1,1,4,19-50,2018,63504
Blue Earth,013,3,2,1,1,19-50,2018,41868
Blue Earth,013,2,2,1,0,51+,2018,35916
Blue Earth,013,3,2,2,1,19-50,2018,50268
Blue Earth,013,3,2,1.5,1,19-50,2018,46152
Blue Earth,013,2,2,1.5,0,19-50,2018,36264
Blue Earth,013,4,1,1,3,19-50,2018,60612
Blue Earth,013,5,2,1,3,19-50,2018,54420
Blue Earth,013,4,2,1,2,19-50,2018,51648
Blue Earth,013,6,2,1.5,4,19-50,2018,65448
Blue Earth,013,2,2,1.5,0,51+,2018,36780
Blue Earth,013,3,1,1,2,19-50,2018,56952
Blue Earth,013,2,2,1,0,19-50,2018,35412
Blue Earth,013,5,2,2,3,19-50,2018,66924
Blue Earth,013,6,2,1,4,19-50,2018,58572
Dodge,039,4,2,2,2,19-50,2018,70116
Dodge,039,6,2,1,4,19-50,2018,61836
Dodge,039,2,2,1.5,0,51+,2018,39084
Dodge,039,1,1,1,0,19-50,2018,29880
Dodge,039,6,2,1.5,4,19-50,2018,69972
Dodge,039,4,2,1,2,19-50,2018,55056
Dodge,039,2,2,1.5,0,19-50,2018,38580
Dodge,039,5,1,1,4,19-50,2018,69300
Dodge,039,3,2,1,1,19-50,2018,45504
Dodge,039,2,1,1,1,19-50,2018,45924
Dodge,039,2,2,1,0,51+,2018,38112
Dodge,039,3,2,2,1,19-50,2018,55764
Dodge,039,1,1,1,0,51+,2018,30132
Dodge,039,3,2,1.5,1,19-50,2018,50868
Dodge,039,2,2,2,0,19-50,2018,38580
Dodge,039,2,2,1,0,19-50,2018,37632
Dodge,039,2,2,2,0,51+,2018,39084
Becker,005,2,2,1.5,0,51+,2018,37632
Becker,005,2,2,2,0,19-50,2018,37116
Becker,005,1,1,1,0,19-50,2018,28284
Becker,005,3,2,1,1,19-50,2018,42468
Becker,005,2,1,1,1,19-50,2018,41100
Becker,005,5,2,1.5,3,19-50,2018,59988
Becker,005,3,2,1.5,1,19-50,2018,46800
Becker,005,2,2,2,0,51+,2018,37632
Becker,005,5,1,1,4,19-50,2018,62112
Becker,005,1,1,1,0,51+,2018,28500
Becker,005,3,1,1,2,19-50,2018,55248
Becker,005,5,2,2,3,19-50,2018,65784
Becker,005,2,2,1.5,0,19-50,2018,37116
Becker,005,6,2,1,4,19-50,2018,57780
Becker,005,2,2,1,0,19-50,2018,36240
Becker,005,4,2,1.5,2,19-50,2018,57180
Becker,005,3,2,2,1,19-50,2018,51048
Aitkin,001,1,1,1,0,19-50,2018,29508
Aitkin,001,3,2,2,1,19-50,2018,60156
Aitkin,001,5,1,1,4,19-50,2018,74856
Aitkin,001,4,2,1,2,19-50,2018,52824
Aitkin,001,2,2,2,0,19-50,2018,38232
Aitkin,001,6,2,1,4,19-50,2018,60072
Aitkin,001,4,2,2,2,19-50,2018,75648
Aitkin,001,4,2,1.5,2,19-50,2018,64356
Aitkin,001,2,2,1,0,19-50,2018,37308
Aitkin,001,5,2,1,3,19-50,2018,55728
Aitkin,001,3,2,1,1,19-50,2018,44892
Aitkin,001,2,2,2,0,51+,2018,38760
Aitkin,001,1,1,1,0,51+,2018,29796
Aitkin,001,5,2,2,3,19-50,2018,78576
Aitkin,001,2,2,1,0,51+,2018,37812
Aitkin,001,2,2,1.5,0,51+,2018,38760
Aitkin,001,5,2,1.5,3,19-50,2018,67296
Aitkin,001,3,1,1,2,19-50,2018,67980
Aitkin,001,2,2,1.5,0,19-50,2018,38232
Aitkin,001,6,2,2,4,19-50,2018,82944
Aitkin,001,3,2,1.5,1,19-50,2018,52848
Aitkin,001,4,1,1,3,19-50,2018,71940
Aitkin,001,2,1,1,1,19-50,2018,49956
Aitkin,001,6,2,1.5,4,19-50,2018,71640
Crow Wing,035,2,1,1,1,19-50,2018,45024
Crow Wing,035,4,2,2,2,19-50,2018,69444
Crow Wing,035,6,2,1,4,19-50,2018,58740
Crow Wing,035,3,2,1,1,19-50,2018,43836
Crow Wing,035,2,2,1,0,51+,2018,36816
Crow Wing,035,1,1,1,0,51+,2018,28728
Crow Wing,035,6,2,1.5,4,19-50,2018,67812
Crow Wing,035,5,2,2,3,19-50,2018,72336
Crow Wing,035,4,2,1,2,19-50,2018,51660
Crow Wing,035,2,2,1.5,0,51+,2018,37728
Crow Wing,035,2,2,2,0,51+,2018,37728
Crow Wing,035,4,1,1,3,19-50,2018,65784
Crow Wing,035,3,2,2,1,19-50,2018,54816
