Analysis Level,District Name,ACT Dist Code,HS Name,ACT HS Code,Grad Year,N,Avg Eng,Avg Math,Avg Reading,Avg Sci,Avg Comp,CRB % Eng,CRB % Math,CRB % Reading,CRB % Sci,CRB % All Four
School ,ADA-BORUP SCHOOL DISTRICT 2854 ,247550,ADA-BORUP HIGH SCHOOL ,240000,2008,30,22.3,22.1,20.7,22.2,22,83,60,43,43,27
School ,ADA-BORUP SCHOOL DISTRICT 2854 ,247550,ADA-BORUP HIGH SCHOOL ,240000,2009,26,21.2,22.8,22.6,23.2,22.5,88,62,58,46,27
School ,ADA-BORUP SCHOOL DISTRICT 2854 ,247550,ADA-BORUP HIGH SCHOOL ,240000,2010,33,22.2,22.4,23.4,22.2,22.7,82,55,67,36,30
School ,ADA-BORUP SCHOOL DISTRICT 2854 ,247550,ADA-BORUP HIGH SCHOOL ,240000,2011,31,23.3,22,22.8,23.4,23.1,90,58,71,52,39
School ,ADA-BORUP SCHOOL DISTRICT 2854 ,247550,ADA-BORUP HIGH SCHOOL ,240000,2012,35,22.3,22.7,23.1,22.5,22.8,77,60,69,46,46
School ,SOUTHLAND SCHOOL DISTRICT 500 ,247524,SOUTHLAND SENIOR HIGH SCHOOL ,240005,2008,38,20,22.3,20.8,21.2,21.2,66,61,53,32,24
School ,SOUTHLAND SCHOOL DISTRICT 500 ,247524,SOUTHLAND SENIOR HIGH SCHOOL ,240005,2009,25,20.9,22,21.6,22.2,21.8,80,56,56,36,24
School ,SOUTHLAND SCHOOL DISTRICT 500 ,247524,SOUTHLAND SENIOR HIGH SCHOOL ,240005,2010,52,19,21.7,20.1,21.3,20.7,56,58,46,25,23
School ,SOUTHLAND SCHOOL DISTRICT 500 ,247524,SOUTHLAND SENIOR HIGH SCHOOL ,240005,2011,40,19.5,21.2,20.5,21.3,20.8,73,50,58,38,28
School ,SOUTHLAND SCHOOL DISTRICT 500 ,247524,SOUTHLAND SENIOR HIGH SCHOOL ,240005,2012,38,20.5,22.7,22.1,22.6,22.2,79,68,63,42,37
School ,ADRIAN IND SCHOOL DISTRICT 511 ,247544,ADRIAN HIGH SCHOOL ,240010,2008,36,20,20.2,20.3,21.7,20.7,67,28,44,25,17
School ,ADRIAN IND SCHOOL DISTRICT 511 ,247544,ADRIAN HIGH SCHOOL ,240010,2009,36,20.3,20.9,21.4,21.9,21.3,72,42,61,33,28
School ,ADRIAN IND SCHOOL DISTRICT 511 ,247544,ADRIAN HIGH SCHOOL ,240010,2010,41,21,23,22.2,22,22.3,80,61,56,27,22
School ,ADRIAN IND SCHOOL DISTRICT 511 ,247544,ADRIAN HIGH SCHOOL ,240010,2011,26,22.2,24.3,21.5,23.1,22.8,77,88,62,46,42
School ,ADRIAN IND SCHOOL DISTRICT 511 ,247544,ADRIAN HIGH SCHOOL ,240010,2012,35,20.6,21.5,21.5,20.4,21.1,77,51,54,17,11
School ,AITKIN IND SCHOOL DISTRICT 1 ,247002,AITKIN HIGH SCHOOL ,240020,2008,48,21.8,21.8,23.6,22.4,22.5,81,42,65,42,27
School ,AITKIN IND SCHOOL DISTRICT 1 ,247002,AITKIN HIGH SCHOOL ,240020,2009,55,21.7,22,23,22.1,22.3,73,44,65,36,25
School ,AITKIN IND SCHOOL DISTRICT 1 ,247002,AITKIN HIGH SCHOOL ,240020,2010,47,22.2,24,22.6,23.7,23.3,72,66,57,45,38
School ,AITKIN IND SCHOOL DISTRICT 1 ,247002,AITKIN HIGH SCHOOL ,240020,2011,50,22.1,24.7,23.1,22.8,23.3,84,78,60,44,38
School ,AITKIN IND SCHOOL DISTRICT 1 ,247002,AITKIN HIGH SCHOOL ,240020,2012,37,22.2,24.5,23.9,22.7,23.4,81,73,70,41,41
School ,ALBANY AREA SCH DISTRICT 745 ,247788,ALBANY AREA HIGH SCHOOL ,240030,2008,82,21.9,21.9,22.3,22.1,22.2,87,51,61,41,27
School ,ALBANY AREA SCH DISTRICT 745 ,247788,ALBANY AREA HIGH SCHOOL ,240030,2009,70,21.4,22.7,22.6,22.1,22.3,74,57,59,27,19
School ,ALBANY AREA SCH DISTRICT 745 ,247788,ALBANY AREA HIGH SCHOOL ,240030,2010,66,20.8,23.1,22,22,22.2,70,70,56,39,36
School ,ALBANY AREA SCH DISTRICT 745 ,247788,ALBANY AREA HIGH SCHOOL ,240030,2011,86,22.7,23.8,23,23.5,23.4,84,76,65,49,41
School ,ALBANY AREA SCH DISTRICT 745 ,247788,ALBANY AREA HIGH SCHOOL ,240030,2012,73,21.8,23.5,22.1,22.7,22.7,84,70,59,40,33
School ,CHOKIO-ALBERTA IND SD 771 ,247822,CHOKIO-ALBERTA HIGH SCHOOL ,240035,2008,11,19.1,23.2,20.8,22.1,21.5,73,64,55,27,27
School ,CHOKIO-ALBERTA IND SD 771 ,247822,CHOKIO-ALBERTA HIGH SCHOOL ,240035,2009,12,21.1,22.1,21.8,21.8,21.8,92,58,50,8,8
School ,CHOKIO-ALBERTA IND SD 771 ,247822,CHOKIO-ALBERTA HIGH SCHOOL ,240035,2010,8,,,,,,,,,,
School ,CHOKIO-ALBERTA IND SD 771 ,247822,CHOKIO-ALBERTA HIGH SCHOOL ,240035,2011,11,20.8,24.2,21.9,22.5,22.5,91,91,55,55,45
School ,CHOKIO-ALBERTA IND SD 771 ,247822,CHOKIO-ALBERTA HIGH SCHOOL ,240035,2012,8,,,,,,,,,,
School ,ALBERT LEA AREA SCHOOLS ,247246,ALBERT LEA SENIOR HIGH SCHOOL ,240040,2008,151,21.4,22.6,22.7,22.2,22.3,78,57,63,34,28
School ,ALBERT LEA AREA SCHOOLS ,247246,ALBERT LEA SENIOR HIGH SCHOOL ,240040,2009,116,21.1,22.1,22.8,22.2,22.2,76,50,66,31,24
School ,ALBERT LEA AREA SCHOOLS ,247246,ALBERT LEA SENIOR HIGH SCHOOL ,240040,2010,160,21.2,22.2,22.3,22.1,22.1,74,55,59,39,30
School ,ALBERT LEA AREA SCHOOLS ,247246,ALBERT LEA SENIOR HIGH SCHOOL ,240040,2011,117,20.1,22.6,21.7,21.5,21.6,71,64,55,32,22
School ,ALBERT LEA AREA SCHOOLS ,247246,ALBERT LEA SENIOR HIGH SCHOOL ,240040,2012,114,21.7,23.2,22.7,22.2,22.6,75,66,68,40,37
