districtNumber,districtType,districtName,year,percentTakers
0001,01,AITKIN PUBLIC SCHOOL DISTRICT,2018,0.34297520661157027
0002,01,HILL CITY PUBLIC SCHOOL DISTRICT,2018,0.27419354838709675
0004,01,MCGREGOR PUBLIC SCHOOL DISTRICT,2018,0.35802469135802467
0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST.,2018,0.29653401797175866
0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,2018,0.2885899040467251
0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT,2018,0.29473039215686275
0013,01,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,2018,0.25925925925925924
0014,01,FRIDLEY PUBLIC SCHOOL DISTRICT,2018,0.25166444740346205
0015,01,ST. FRANCIS PUBLIC SCHOOL DISTRICT,2018,0.2695729537366548
0016,01,SPRING LAKE PARK PUBLIC SCHOOLS,2018,0.31329113924050633
0022,01,DETROIT LAKES PUBLIC SCHOOL DIST.,2018,0.29239766081871343
0023,01,FRAZEE-VERGAS PUBLIC SCHOOL DIST.,2018,0.28365384615384615
0031,01,BEMIDJI PUBLIC SCHOOL DISTRICT,2018,0.2508620689655172
0032,01,BLACKDUCK PUBLIC SCHOOL DISTRICT,2018,0.2571428571428571
0036,01,KELLIHER PUBLIC SCHOOL DISTRICT,2018,0.21568627450980393
0038,01,RED LAKE PUBLIC SCHOOL DISTRICT,2018,0.16260162601626016
0047,01,SAUK RAPIDS-RICE PUBLIC SCHOOLS,2018,0.30373360242179614
0051,01,FOLEY PUBLIC SCHOOL DISTRICT,2018,0.29436325678496866
0075,01,ST. CLAIR PUBLIC SCHOOL DISTRICT,2018,0.32142857142857145
0077,01,MANKATO PUBLIC SCHOOL DISTRICT,2018,0.28649535265172227
0081,01,COMFREY PUBLIC SCHOOL DISTRICT,2018,0.23076923076923078
0084,01,SLEEPY EYE PUBLIC SCHOOL DISTRICT,2018,0.272
0085,01,SPRINGFIELD PUBLIC SCHOOL DISTRICT,2018,0.34328358208955223
0088,01,NEW ULM PUBLIC SCHOOL DISTRICT,2018,0.2310838445807771
0091,01,BARNUM PUBLIC SCHOOL DISTRICT,2018,0.29651162790697677
0093,01,CARLTON PUBLIC SCHOOL DISTRICT,2018,0.2672413793103448
0094,01,CLOQUET PUBLIC SCHOOL DISTRICT,2018,0.2071917808219178
0095,01,CROMWELL-WRIGHT PUBLIC SCHOOLS,2018,0.23684210526315788
0097,01,MOOSE LAKE PUBLIC SCHOOL DISTRICT,2018,0.1836734693877551
0099,01,ESKO PUBLIC SCHOOL DISTRICT,2018,0.2977941176470588
0100,01,WRENSHALL PUBLIC SCHOOL DISTRICT,2018,0.25882352941176473
0108,01,CENTRAL PUBLIC SCHOOL DISTRICT,2018,0.38095238095238093
0110,01,WACONIA PUBLIC SCHOOL DISTRICT,2018,0.27447023208879917
0111,01,WATERTOWN-MAYER PUBLIC SCHOOL DIST.,2018,0.27559055118110237
0112,01,EASTERN CARVER COUNTY PUBLIC SCHOOL,2018,0.3098820658804392
0113,01,WALKER-HACKENSACK-AKELEY SCHL. DIST,2018,0.21839080459770116
0115,01,CASS LAKE-BENA PUBLIC SCHOOLS,2018,0.19480519480519481
0116,01,PILLAGER PUBLIC SCHOOL DISTRICT,2018,0.2422907488986784
0118,01,NORTHLAND COMMUNITY SCHOOLS,2018,0.30434782608695654
0129,01,MONTEVIDEO PUBLIC SCHOOL DISTRICT,2018,0.3487544483985765
0138,01,NORTH BRANCH PUBLIC SCHOOLS,2018,0.30952380952380953
0139,01,RUSH CITY PUBLIC SCHOOL DISTRICT,2018,0.3193717277486911
0146,01,BARNESVILLE PUBLIC SCHOOL DIST.,2018,0.281767955801105
0150,01,HAWLEY PUBLIC SCHOOL DISTRICT,2018,0.29245283018867924
0152,01,MOORHEAD PUBLIC SCHOOL DISTRICT,2018,0.28113879003558717
0162,01,BAGLEY PUBLIC SCHOOL DISTRICT,2018,0.31336405529953915
0166,01,COOK COUNTY PUBLIC SCHOOLS,2018,0.3221476510067114
0173,01,MOUNTAIN LAKE PUBLIC SCHOOLS,2018,0.2540983606557377
0177,01,WINDOM PUBLIC SCHOOL DISTRICT,2018,0.27601809954751133
0181,01,BRAINERD PUBLIC SCHOOL DISTRICT,2018,0.21308290155440415
0182,01,CROSBY-IRONTON PUBLIC SCHOOL DIST.,2018,0.3048780487804878
0186,01,PEQUOT LAKES PUBLIC SCHOOLS,2018,0.27680798004987534
0191,01,BURNSVILLE PUBLIC SCHOOL DISTRICT,2018,0.2906145783706527
0192,01,FARMINGTON PUBLIC SCHOOL DISTRICT,2018,0.28110896196002577
0194,01,LAKEVILLE PUBLIC SCHOOL DISTRICT,2018,0.32483847810480976
0195,01,RANDOLPH PUBLIC SCHOOL DISTRICT,2018,0.3157894736842105
