districtName,actCode,year,score
Ada-Borup School District 2854,247550,2018,21.4
Adrian Ind School District 511,247544,2018,21.3
Aitkin Ind School District 1,247002,2018,19.8
Albany Area Sch District 745,247788,2018,20.6
Albert Lea Area Schools,247246,2018,19
Alden-Conger Ind Sch Dist 242,247248,2018,19.9
Alexandria Ind School Dist 206,247200,2018,21.1
Annandale Ind School Dist 876,247906,2018,21.7
Anoka-Hennepin Ind Sch Dist 11,247008,2018,20.4
Ashby Ind School District 261,247270,2018,19.2
Atwater-Cosmos-Grove City Sd,247358,2018,20.5
Austin Ind School District 492,247518,2018,18.9
Badger Ind School District 676,247716,2018,21.3
Bagley Ind School District 162,247146,2018,18.8
Barnesville Ind Sch Dist 146,247132,2018,20.5
Barnum Ind School District 91,247076,2018,20.9
Battle Lake Ind Sch Dist 542,247572,2018,20.2
Becker Ind School District 726,247770,2018,20.8
Belgrade-Brootn-Elrosa Sd 2364,247790,2018,19
Belle Plaine Ind Sch Dist 716,247760,2018,20.5
Bemidji Ind School District 31,247030,2018,21.5
Benson Ind School District 777,247826,2018,17.4
Bertha-Hewitt Ind Sch Dist 786,247830,2018,17.9
Big Lake Ind School Dist 727,247772,2018,20.1
Blackduck Ind School Dist 32,247032,2018,18.7
Blooming Prairie Ind Sd 756,247810,2018,20.5
Bloomington Pub Sch Dist 271,247280,2018,21.5
Blue Earth Area Ind Sd 2860,247210,2018,19.8
Bold School District,247682,2018,20.8
Braham Ind School District 314,247332,2018,19.5
Brainerd Ind School Dist 181,247162,2018,22.4
Brandon-Evansville Isd 2908,247202,2018,21.2
Breckenridge Ind Sch Dist 846,247892,2018,20.8
Brooklyn Center Ind Sd 286,247282,2018,16.7
Browerville Ind Sch Dist 787,247832,2018,19.4
Buffalo Hanover Montrose Sd,247908,2018,21.2
Buffalo Lake-Hector Isd 2159,247692,2018,19.9
Burnsville-Eagan-Savage Sd 191,247170,2018,20.3
Butterfield-Odin Ind Sd 836,247886,2018,20.6
Byron Ind School District 531,247562,2018,22.9
Caledonia Ind School Dist 299,247316,2018,21
Cambridge-Isanti Sch Dist 911,247334,2018,19.9
Campbell-Tintah Ind Sd 852,247894,2018,15.8
Canby Ind School District 891,247922,2018,19.7
Cannon Falls Ind Sch Dist 252,247256,2018,21.7
Carlton Ind School District 93,247078,2018,20.6
Cass Lake-Bena Ind Sd 115,247106,2018,14
Cedar Mountain Sch Dist 2754,247672,2018,19.2
Centennial Ind School Dist 12,247010,2018,21.6
Central School District 108,247094,2018,21.1
Chatfield Pub School Dist 227,247570,2018,20.1
Chisago Lakes Isd 2144,247124,2018,21.8
Chisholm Ind School Dist 695,247728,2018,18.3
Chokio-Alberta Ind Sd 771,247822,2018,NA
Clearbrook-Gonvick Sd 2311,247148,2018,18.5
Cleveland Public Sch Dist 391,247396,2018,20.9
Climax-Shelly Ind Sch Dist 592,247618,2018,17.2
Clnton-Gracevl-Brdsley Sd 2888,247046,2018,19.2
Cloquet Ind School District 94,247080,2018,21.6
Columbia Heights Isd 13,247012,2018,17
Comfrey Ind School District 81,247064,2018,NA
Cook Co Sch Dist 166,247152,2018,20.9
Cromwell-Wright Ind Sd 95,247082,2018,18.4
Crookston Ind School Dist 593,247620,2018,18.8
Crosby-Ironton School Dist 182,247164,2018,20.5
Dassel-Cokato Ind Sch Dist 466,247486,2018,20.7
Dawson-Boyd Isd 378,247388,2018,21.1
