dat_yer,dst_num,dst_tye,dst_nam,dst_cou,sch_num,sch_nam,sch_cou,enr_k12,fre_k12,rpc_k12,lep_k12,spe_k12,enr_pk12,fre_pk12,rpc_pk12,lep_pk12,spe_pk12,eco_dev
03-04,0001,01,AITKIN,01,001,AITKIN SEC.,01,634,114,86,1,68,634,114,86,1,68,03
03-04,0001,01,AITKIN,01,002,RIPPLESIDE EL.,01,633,152,93,0,77,647,155,93,0,91,03
03-04,0001,01,AITKIN,01,003,PALISADE EL.,01,32,11,11,0,4,32,11,11,0,4,03
03-04,0001,01,AITKIN,01,006,AITKIN ALP,01,9,1,0,0,1,9,1,0,0,1,03
03-04,0001,03,MINNEAPOLIS,27,023,SPECIAL ED - SPEECH ONLY,27,0,0,0,0,0,71,8,2,0,71,11
03-04,0001,03,MINNEAPOLIS,27,103,ARMATAGE EL.,27,386,111,15,27,72,386,111,15,27,72,11
03-04,0001,03,MINNEAPOLIS,27,104,LAKE HARRIET LOWER,27,312,13,3,6,25,312,13,3,6,25,11
03-04,0001,03,MINNEAPOLIS,27,105,BANCROFT EL.,27,456,306,70,190,48,456,306,70,190,48,11
03-04,0001,03,MINNEAPOLIS,27,106,BARTON OPEN EL.,27,642,114,31,64,52,642,114,31,64,52,11
03-04,0001,03,MINNEAPOLIS,27,107,BETHUNE EL.,27,306,263,27,72,39,334,283,29,72,67,11
03-04,0001,03,MINNEAPOLIS,27,110,BURROUGHS EL.,27,492,107,11,100,25,492,107,11,100,25,11
03-04,0001,03,MINNEAPOLIS,27,114,COOPER EL.,27,190,136,13,69,29,190,136,13,69,29,11
03-04,0001,03,MINNEAPOLIS,27,118,ERICSSON EL.,27,240,140,29,60,45,240,140,29,60,45,11
03-04,0001,03,MINNEAPOLIS,27,119,FIELD EL.,27,502,144,34,52,49,502,144,34,52,49,11
03-04,0001,03,MINNEAPOLIS,27,121,LAKE HARRIET UPPER,27,528,55,15,15,69,528,55,15,15,69,11
03-04,0001,03,MINNEAPOLIS,27,123,HALE EL.,27,569,95,17,50,33,569,95,17,50,33,11
03-04,0001,03,MINNEAPOLIS,27,124,PARK VIEW MONTESSORI EL.,27,301,174,41,8,38,309,181,41,8,46,11
03-04,0001,03,MINNEAPOLIS,27,126,HAMILTON EL.,27,262,199,27,60,41,262,199,27,60,41,11
03-04,0001,03,MINNEAPOLIS,27,129,LINCOLN EL.,27,624,525,64,141,77,624,525,64,141,77,11
03-04,0001,03,MINNEAPOLIS,27,130,HIAWATHA EL.,27,238,130,16,58,34,238,130,16,58,34,11
03-04,0001,03,MINNEAPOLIS,27,131,HOLLAND EL.,27,237,202,20,79,40,237,202,20,79,40,11
03-04,0001,03,MINNEAPOLIS,27,132,HOWE EL.,27,171,94,13,13,23,171,94,13,13,23,11
03-04,0001,03,MINNEAPOLIS,27,134,KEEWAYDIN EL.,27,257,78,29,20,39,257,78,29,20,39,11
03-04,0001,03,MINNEAPOLIS,27,135,KENNY EL.,27,349,112,18,36,25,365,118,18,36,41,11
03-04,0001,03,MINNEAPOLIS,27,136,KENWOOD EL.,27,275,80,17,37,28,275,80,17,37,28,11
03-04,0001,03,MINNEAPOLIS,27,139,LONGFELLOW EL.,27,257,203,13,61,23,284,215,16,61,50,11
03-04,0001,03,MINNEAPOLIS,27,140,LORING EL.,27,307,192,35,73,29,307,192,35,73,29,11
03-04,0001,03,MINNEAPOLIS,27,143,MCKNIGHT EEC,27,52,24,1,0,0,52,24,1,0,0,11
03-04,0001,03,MINNEAPOLIS,27,144,LYNDALE EL.,27,342,282,21,168,48,342,282,21,168,48,11
03-04,0001,03,MINNEAPOLIS,27,151,JENNY LIND EL.,27,531,290,102,176,70,531,290,102,176,70,11
03-04,0001,03,MINNEAPOLIS,27,152,NORTHROP EL.,27,272,156,22,94,23,272,156,22,94,23,11
03-04,0001,03,MINNEAPOLIS,27,155,PILLSBURY EL.,27,403,249,25,109,43,418,261,25,109,58,11
03-04,0001,03,MINNEAPOLIS,27,156,PRATT EL.,27,81,40,1,22,7,81,40,1,22,7,11
03-04,0001,03,MINNEAPOLIS,27,158,PUTNAM EL.,27,230,180,22,79,24,230,180,22,79,24,11
03-04,0001,03,MINNEAPOLIS,27,160,SEWARD EL.,27,689,228,70,118,52,704,238,71,118,67,11
03-04,0001,03,MINNEAPOLIS,27,161,SHERIDAN EL.,27,715,455,82,188,102,715,455,82,188,102,11
03-04,0001,03,MINNEAPOLIS,27,162,SHINGLE CREEK EL.,27,394,285,53,118,33,394,285,53,118,33,11
03-04,0001,03,MINNEAPOLIS,27,164,TUTTLE EL.,27,270,192,32,66,23,270,192,32,66,23,11
03-04,0001,03,MINNEAPOLIS,27,165,WAITE PARK EL.,27,285,116,25,26,25,285,116,25,26,25,11
03-04,0001,03,MINNEAPOLIS,27,166,WEBSTER OPEN EL.,27,642,513,47,291,53,642,513,47,291,53,11
03-04,0001,03,MINNEAPOLIS,27,167,WENONAH EL.,27,268,147,41,80,38,268,147,41,80,38,11
03-04,0001,03,MINNEAPOLIS,27,169,WILLARD EL.,27,318,268,30,76,32,318,268,30,76,32,11
03-04,0001,03,MINNEAPOLIS,27,170,WINDOM OPEN EL.,27,400,295,32,170,42,400,295,32,170,42,11
03-04,0001,03,MINNEAPOLIS,27,175,RAMSEY FINE ARTS EL.,27,884,401,91,215,99,884,401,91,215,99,11
03-04,0001,03,MINNEAPOLIS,27,179,JEFFERSON EL.,27,583,452,47,254,71,589,454,47,254,77,11
03-04,0001,03,MINNEAPOLIS,27,180,DOWLING EL.,27,418,122,44,34,71,418,122,44,34,71,11
