dat_yer,dst_num,dst_tye,dst_nam,dst_cou,sch_num,sch_nam,sch_cou,enr_k12,fre_k12,rpc_k12,lep_k12,spe_k12,enr_pk12,fre_pk12,rpc_pk12,lep_pk12,spe_pk12,eco_dev
04-05,0001,01,AITKIN,01,001,AITKIN SEC.,01,631,140,89,1,70,631,140,89,1,70,03
04-05,0001,01,AITKIN,01,002,RIPPLESIDE EL.,01,645,176,83,1,81,659,177,84,1,95,03
04-05,0001,01,AITKIN,01,003,PALISADE EL.,01,36,20,8,0,1,36,20,8,0,1,03
04-05,0001,01,AITKIN,01,006,AITKIN ALP,01,12,2,0,0,0,12,2,0,0,0,03
04-05,0001,03,MINNEAPOLIS,27,023,SPECIAL ED - SPEECH ONLY,27,0,0,0,0,0,65,12,0,0,65,11
04-05,0001,03,MINNEAPOLIS,27,103,ARMATAGE EL.,27,384,113,20,39,77,384,113,20,39,77,11
04-05,0001,03,MINNEAPOLIS,27,104,LAKE HARRIET LOWER,27,312,15,5,3,24,312,15,5,3,24,11
04-05,0001,03,MINNEAPOLIS,27,105,BANCROFT EL.,27,404,306,42,199,54,406,306,42,199,56,11
04-05,0001,03,MINNEAPOLIS,27,106,BARTON OPEN EL.,27,668,127,19,68,61,668,127,19,68,61,11
04-05,0001,03,MINNEAPOLIS,27,107,BETHUNE EL.,27,239,208,20,53,25,278,236,22,53,64,11
04-05,0001,03,MINNEAPOLIS,27,110,BURROUGHS EL.,27,596,128,11,123,34,596,128,11,123,34,11
04-05,0001,03,MINNEAPOLIS,27,114,COOPER EL.,27,181,125,15,57,32,181,125,15,57,32,11
04-05,0001,03,MINNEAPOLIS,27,118,ERICSSON EL.,27,209,119,25,43,45,209,119,25,43,45,11
04-05,0001,03,MINNEAPOLIS,27,119,FIELD EL.,27,481,121,25,39,41,481,121,25,39,41,11
04-05,0001,03,MINNEAPOLIS,27,121,LAKE HARRIET UPPER,27,573,53,11,10,75,573,53,11,10,75,11
04-05,0001,03,MINNEAPOLIS,27,123,HALE EL.,27,580,96,16,38,35,580,96,16,38,35,11
04-05,0001,03,MINNEAPOLIS,27,124,PARK VIEW MONTESSORI EL.,27,278,169,35,5,32,278,169,35,5,32,11
