DataYear,DistrictCouNum,DistrictCountyName,districtNumber,districtType,DistrictName,schoolNumber,SchoolName,ECSUNumber,EconomicDevelopmentRegion,Grade,K12Enr,FreeK12,RedK12,LEPIdentifiedK12,LEPServedK12,SPEK12,EC12Enr,Free-EC12,Red-EC12,LEPIdentifiedEC12,LEPServedEC12,SPE-EC12,SchoolLocationCountyNumber,SchoolLocationCountyName,MinMaxGrade,SchoolClassification
10-11,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03 ,EC        ,NULL,NULL,NULL,NULL,NULL,NULL,29,11,2,NULL,NULL,29,  , ,EC-12,  
10-11,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03 ,KG        ,95,44,10,NULL,NULL,10,95,44,10,NULL,NULL,10,  , ,EC-12,  
10-11,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03 ,01        ,107,40,9,NULL,NULL,14,107,40,9,NULL,NULL,14,  , ,EC-12,  
10-11,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03 ,02        ,105,40,15,NULL,NULL,12,105,40,15,NULL,NULL,12,  , ,EC-12,  
10-11,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03 ,03        ,72,25,6,NULL,NULL,8,72,25,6,NULL,NULL,8,  , ,EC-12,  
10-11,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03 ,04        ,93,34,7,NULL,NULL,10,93,34,7,NULL,NULL,10,  , ,EC-12,  
10-11,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03 ,05        ,87,25,11,1,1,5,87,25,11,1,1,5,  , ,EC-12,  
10-11,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03 ,06        ,101,30,9,NULL,NULL,14,101,30,9,NULL,NULL,14,  , ,EC-12,  
10-11,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03 ,07        ,118,30,14,NULL,NULL,14,118,30,14,NULL,NULL,14,  , ,EC-12,  
10-11,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03 ,08        ,86,24,12,NULL,NULL,9,86,24,12,NULL,NULL,9,  , ,EC-12,  
10-11,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03 ,09        ,106,36,13,NULL,NULL,16,106,36,13,NULL,NULL,16,  , ,EC-12,  
10-11,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03 ,10        ,101,23,20,NULL,NULL,13,101,23,20,NULL,NULL,13,  , ,EC-12,  
10-11,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03 ,11        ,114,29,17,1,1,23,114,29,17,1,1,23,  , ,EC-12,  
10-11,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03 ,12        ,103,21,19,NULL,NULL,17,103,21,19,NULL,NULL,17,  , ,EC-12,  
10-11,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03 ,All Grades,1288,401,162,2,2,165,1317,412,164,2,2,194,  , ,EC-12,  
10-11,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11 ,EC        ,NULL,NULL,NULL,NULL,NULL,NULL,921,538,60,311,NULL,921,  , ,EC-12,  
10-11,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11 ,KG        ,3268,1871,189,923,899,284,3268,1871,189,923,899,284,  , ,EC-12,  
10-11,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11 ,01        ,3105,1791,157,841,840,331,3105,1791,157,841,840,331,  , ,EC-12,  
10-11,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11 ,02        ,2830,1618,148,715,715,321,2830,1618,148,715,715,321,  , ,EC-12,  
10-11,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11 ,03        ,2695,1633,153,715,711,391,2695,1633,153,715,711,391,  , ,EC-12,  
