DataYear,DistrictCountyNumber,DistrictCountyName,districtNumber,districtType,DistrictName,schoolNumber,SchoolName,ECSUNumber,EconomicDevelopmentRegion,Grade,AMI_Male,AMI_Female,API_Male,API_Female,HIS_Male,HIS_Female,BLK_Male,BLK_Female,WHT_Male,WHT_Female,TotalMale,TotalFemale,TotalMinority,TotalStudents,Entity,MinMaxGrade,SchoolLocationCountyNumber,SchoolLocationCountyName,SchoolClassification
10-11,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,3,EC        ,0,0,0,0,0,0,0,0,22,7,22,7,0,29,District,EC-12,  , ,  
10-11,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,3,KG        ,0,0,0,1,0,1,1,0,53,39,54,41,3,95,District,EC-12,  , ,  
10-11,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,3,01        ,0,0,0,2,1,0,0,0,56,48,57,50,3,107,District,EC-12,  , ,  
10-11,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,3,02        ,1,0,0,0,0,0,1,0,50,53,52,53,2,105,District,EC-12,  , ,  
10-11,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,3,03        ,1,0,0,1,1,0,0,0,33,36,35,37,3,72,District,EC-12,  , ,  
10-11,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,3,04        ,0,0,0,0,1,1,1,2,44,44,46,47,5,93,District,EC-12,  , ,  
10-11,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,3,05        ,0,0,1,0,0,0,0,2,39,45,40,47,3,87,District,EC-12,  , ,  
10-11,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,3,06        ,0,2,0,0,0,1,1,3,51,43,52,49,7,101,District,EC-12,  , ,  
10-11,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,3,07        ,0,0,0,0,0,0,1,0,60,57,61,57,1,118,District,EC-12,  , ,  
10-11,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,3,08        ,0,0,0,0,1,0,0,1,42,42,43,43,2,86,District,EC-12,  , ,  
10-11,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,3,09        ,1,2,0,0,0,1,1,1,43,57,45,61,6,106,District,EC-12,  , ,  
10-11,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,3,10        ,2,0,0,1,1,0,1,0,46,50,50,51,5,101,District,EC-12,  , ,  
10-11,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,3,11        ,1,2,1,0,3,1,0,0,49,57,54,60,8,114,District,EC-12,  , ,  
10-11,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,3,12        ,1,1,0,1,0,1,2,1,46,50,49,54,7,103,District,EC-12,  , ,  
