DataYear,DistrictCountyNumber,DistrictCountyName,districtNumber,districtType,DistrictName,schoolNumber,SchoolName,ECSUNumber,EconomicDevelopmentRegion,Grade,AMI_Male,AMI_Female,ASI_Male,ASI_Female,BLK_Male,BLK_Female,HIS_Male,HIS_Female,HPI_Male,HPI_Female,MLT_Male,MLT_Female,WHT_Male,WHT_Female,TotalMale,TotalFemale,TotalMinority,TotalStudents,Entity,MinMaxGrade,SchoolLocationCountyNumber,SchoolLocationCountyName,SchoolClassification
13-14,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,EC,1,0,0,0,0,0,0,0,0,0,0,0,12,7,13,7,1,20,District,EC-12,, ,
13-14,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,KG,0,0,0,1,1,0,2,0,0,0,0,1,43,44,46,46,5,92,District,EC-12,, ,
13-14,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,01,0,0,0,0,0,0,2,0,0,0,2,1,45,39,49,40,5,89,District,EC-12,, ,
13-14,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,02,0,1,0,0,1,1,0,0,0,0,2,3,40,34,43,39,8,82,District,EC-12,, ,
13-14,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,03,0,0,0,0,2,0,0,1,0,0,3,2,54,32,59,35,8,94,District,EC-12,, ,
13-14,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,04,0,0,0,0,0,0,1,0,0,0,2,2,50,44,53,46,5,99,District,EC-12,, ,
13-14,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,05,0,0,0,0,1,2,1,1,0,0,0,3,50,47,52,53,8,105,District,EC-12,, ,
13-14,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,06,1,1,0,0,0,0,0,0,0,0,1,1,34,39,36,41,4,77,District,EC-12,, ,
13-14,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,07,2,0,0,0,1,1,1,1,0,0,1,2,44,41,49,45,9,94,District,EC-12,, ,
13-14,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,08,0,0,1,0,0,3,0,0,0,0,1,0,37,45,39,48,5,87,District,EC-12,, ,
13-14,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,09,0,3,1,0,0,2,0,1,0,0,4,0,53,38,58,44,11,102,District,EC-12,, ,
13-14,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,10,0,0,0,0,1,0,0,0,0,0,0,0,60,48,61,48,1,109,District,EC-12,, ,
13-14,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,11,0,0,0,0,0,1,1,0,0,0,1,1,45,46,47,48,4,95,District,EC-12,, ,
13-14,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,12,0,1,0,0,0,1,0,1,0,0,1,0,47,55,48,58,4,106,District,EC-12,, ,
13-14,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,All Grades,4,6,2,1,7,11,8,5,0,0,18,16,614,559,653,598,78,1251,District,EC-12,, ,
13-14,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11,EC,10,7,30,9,173,98,127,65,0,0,16,9,246,120,602,308,544,910,District,EC-12,, ,
13-14,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11,KG,67,58,86,85,557,564,346,307,3,0,55,35,594,601,1708,1650,2163,3358,District,EC-12,, ,
13-14,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11,01,53,72,101,101,570,585,342,301,5,4,46,36,564,609,1681,1708,2216,3389,District,EC-12,, ,
