Data Year,County Number,County Name,District Number,District Type,District Name,School Number,School Name,ECSU Number,Economic Development Region,School Classification,Grade,Total Enrollment,Filter Groups,Total Female Count,Total Female Percent,Total Male Count,Total Male Percent,Total American Indian or Alaska Native Count,Total American Indian or Alaska Native Percent,American Indian or Alaska Native Female Count,American Indian or Alaska Native Male Count,Total Asian Count,Total Asian Percent,Asian Female Count,Asian Male Count,Total Native Hawaiian or Pacific Islander Count,Total Native Hawaiian or Pacific Islander Percent,Native Hawaiian or Pacific Islander Female Count,Native Hawaiian or Pacific Islander Male Count,Total Hispanic or Latino Count,Total Hispanic or Latino Percent,Hispanic or Latino Female Count,Hispanic or Latino Male Count,Total Black or African American Count,Total Black or African American Percent,Black or African American Female Count,Black or African American Male Count,Total White Count,Total White Percent,White Female Count,White Male Count,Total Two or More Races Count,Total Two or More Races Percent,Two or More Races Female Count,Two or More Races Male Count,Total Students of Color or American Indian Count,Total Students of Color or American Indian Percent,Total Students Eligible for Free or Reduced-Priced Meals Count,Total Students Eligible for Free or Reduced-Priced Meals Percent,Total Students Receiving Special Education Services Count,Total Students Receiving Special Education Services Percent,Total English learner Identified Count,Total English learner Identified Percent,Total Students Experiencing Homelessness Count,Total Students Experiencing Homelessness Percent,Additional Suppression Free or Reduced-Priced Meals Applied,Additional Suppression Special Education Applied,Additional Suppression English learner Identified Applied,Additional Suppression Homeless Applied
14-15,1,Aitkin,0001,01,AITKIN PUBLIC SCHOOL DISTRICT,000,,3,03,,ECSE,9,Y,4,44.44%,5,55.56%,1,11.11%,0,1,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,0,7,77.78%,4,3,1,11.11%,0,1,2,22.22%,,,,,,,,,Y,Y,Y,Y
14-15,1,Aitkin,0001,01,AITKIN PUBLIC SCHOOL DISTRICT,000,,3,03,,KG,70,N,31,44.29%,39,55.71%,1,1.43%,0,1,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,0,69,98.57%,31,38,0,0.00%,0,0,1,1.43%,34,48.57%,14,20.00%,,,,,N,N,Y,Y
14-15,1,Aitkin,0001,01,AITKIN PUBLIC SCHOOL DISTRICT,000,,3,03,,1,95,N,50,52.63%,45,47.37%,1,1.05%,0,1,1,1.05%,1,0,0,0.00%,0,0,2,2.11%,0,2,1,1.05%,0,1,88,92.63%,47,41,2,2.11%,2,0,7,7.37%,52,54.74%,11,11.58%,0,0.00%,0,0.00%,N,N,N,N
14-15,1,Aitkin,0001,01,AITKIN PUBLIC SCHOOL DISTRICT,000,,3,03,,2,89,N,38,42.70%,51,57.30%,1,1.12%,0,1,0,0.00%,0,0,0,0.00%,0,0,2,2.25%,0,2,0,0.00%,0,0,83,93.26%,37,46,3,3.37%,1,2,6,6.74%,43,48.31%,14,15.73%,0,0.00%,0,0.00%,N,N,N,N
14-15,1,Aitkin,0001,01,AITKIN PUBLIC SCHOOL DISTRICT,000,,3,03,,3,81,N,41,50.62%,40,49.38%,3,3.70%,2,1,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,0,73,90.12%,36,37,5,6.17%,3,2,8,9.88%,41,50.62%,12,14.81%,0,0.00%,0,0.00%,N,N,N,N
14-15,1,Aitkin,0001,01,AITKIN PUBLIC SCHOOL DISTRICT,000,,3,03,,4,95,N,36,37.89%,59,62.11%,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,0,1,1.05%,1,0,2,2.11%,0,2,87,91.58%,33,54,5,5.26%,2,3,8,8.42%,46,48.42%,10,10.53%,0,0.00%,0,0.00%,N,N,N,N
14-15,1,Aitkin,0001,01,AITKIN PUBLIC SCHOOL DISTRICT,000,,3,03,,5,99,N,49,49.49%,50,50.51%,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,0,1,1.01%,0,1,0,0.00%,0,0,94,94.95%,47,47,4,4.04%,2,2,5,5.05%,41,41.41%,10,10.10%,0,0.00%,0,0.00%,N,N,N,N
14-15,1,Aitkin,0001,01,AITKIN PUBLIC SCHOOL DISTRICT,000,,3,03,,6,101,N,50,49.50%,51,50.50%,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,0,1,0.99%,1,0,3,2.97%,2,1,96,95.05%,46,50,1,0.99%,1,0,5,4.95%,44,43.56%,9,8.91%,0,0.00%,0,0.00%,N,N,N,N
14-15,1,Aitkin,0001,01,AITKIN PUBLIC SCHOOL DISTRICT,000,,3,03,,7,77,N,39,50.65%,38,49.35%,2,2.60%,1,1,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,0,73,94.81%,37,36,2,2.60%,1,1,4,5.19%,,,10,12.99%,0,0.00%,0,0.00%,Y,N,N,N
14-15,1,Aitkin,0001,01,AITKIN PUBLIC SCHOOL DISTRICT,000,,3,03,,8,92,N,48,52.17%,44,47.83%,2,2.17%,1,1,0,0.00%,0,0,0,0.00%,0,0,2,2.17%,1,1,2,2.17%,1,1,83,90.22%,43,40,3,3.26%,2,1,9,9.78%,46,50.00%,9,9.78%,0,0.00%,0,0.00%,N,N,N,N
