Data Year,County Number,County Name,District Number,District Type,District Name,School Number,School Name,ECSU Number,Economic Development Region,School Classification,Grade,Total Enrollment,Filter Groups,Total Female Count,Total Female Percent,Total Male Count,Total Male Percent,Total American Indian or Alaska Native Count,Total American Indian or Alaska Native Percent,American Indian or Alaska Native Female Count,American Indian or Alaska Native Male Count,Total Asian Count,Total Asian Percent,Asian Female Count,Asian Male Count,Total Native Hawaiian or Pacific Islander Count,Total Native Hawaiian or Pacific Islander Percent,Native Hawaiian or Pacific Islander Female Count,Native Hawaiian or Pacific Islander Male Count,Total Hispanic or Latino Count,Total Hispanic or Latino Percent,Hispanic or Latino Female Count,Hispanic or Latino Male Count,Total Black or African American Count,Total Black or African American Percent,Black or African American Female Count,Black or African American Male Count,Total White Count,Total White Percent,White Female Count,White Male Count,Total Two or More Races Count,Total Two or More Races Percent,Two or More Races Female Count,Two or More Races Male Count,Total Students of Color or American Indian Count,Total Students of Color or American Indian Percent,Total Students Eligible for Free or Reduced Priced Meals Count,Total Students Eligible for Free or Reduced Priced Meals Percent,Total Students Receiving Special Education Services Count,Total Students Receiving Special Education Services Percent,Total English learner Identified Count,Total English learner Identified Percent,Total Students Experiencing Homelessness Count,Total Students Experiencing Homelessness Percent,Additional Suppression Free or Reduced-Priced Meals Applied,Additional Suppression Special Education Applied,Additional Suppression English learner Identified Applied,Additional Suppression Homeless Applied
18-19,1,Aitkin,1,1,Aitkin Public School District,0,,3,3,,ECSE,17,N,5,29.41%,12,70.59%,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,0,17,100.00%,5,12,0,0.00%,0,0,0,0.00%,9,52.94%,,>=90%,0,0.00%,0,0.00%,N,Y,N,N
18-19,1,Aitkin,1,1,Aitkin Public School District,0,,3,3,,KG,66,N,40,60.61%,26,39.39%,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,0,1,1.52%,0,1,3,4.55%,3,0,60,90.91%,36,24,2,3.03%,1,1,6,9.09%,39,59.09%,15,22.73%,0,0.00%,0,0.00%,N,N,N,N
18-19,1,Aitkin,1,1,Aitkin Public School District,0,,3,3,,1,97,N,42,43.30%,55,56.70%,1,1.03%,0,1,1,1.03%,0,1,0,0.00%,0,0,3,3.09%,1,2,2,2.06%,1,1,86,88.66%,36,50,4,4.12%,4,0,11,11.34%,36,37.11%,17,17.53%,0,0.00%,0,0.00%,N,N,N,N
18-19,1,Aitkin,1,1,Aitkin Public School District,0,,3,3,,2,81,N,35,43.21%,46,56.79%,2,2.47%,0,2,1,1.23%,1,0,0,0.00%,0,0,1,1.23%,0,1,1,1.23%,1,0,74,91.36%,33,41,2,2.47%,0,2,7,8.64%,39,48.15%,19,23.46%,0,0.00%,0,0.00%,N,N,N,N
18-19,1,Aitkin,1,1,Aitkin Public School District,0,,3,3,,3,88,N,34,38.64%,54,61.36%,0,0.00%,0,0,1,1.14%,0,1,0,0.00%,0,0,1,1.14%,0,1,1,1.14%,1,0,83,94.32%,32,51,2,2.27%,1,1,5,5.68%,46,52.27%,11,12.50%,0,0.00%,0,0.00%,N,N,N,N
18-19,1,Aitkin,1,1,Aitkin Public School District,0,,3,3,,4,82,N,32,39.02%,50,60.98%,1,1.22%,0,1,0,0.00%,0,0,0,0.00%,0,0,1,1.22%,1,0,1,1.22%,1,0,77,93.90%,30,47,2,2.44%,0,2,5,6.10%,43,52.44%,18,21.95%,0,0.00%,0,0.00%,N,N,N,N
18-19,1,Aitkin,1,1,Aitkin Public School District,0,,3,3,,5,97,N,49,50.52%,48,49.48%,0,0.00%,0,0,2,2.06%,2,0,0,0.00%,0,0,1,1.03%,0,1,1,1.03%,1,0,92,94.85%,45,47,1,1.03%,1,0,5,5.15%,43,44.33%,16,16.49%,1,1.03%,0,0.00%,N,N,N,N
18-19,1,Aitkin,1,1,Aitkin Public School District,0,,3,3,,6,96,N,45,46.88%,51,53.13%,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,0,2,2.08%,0,2,2,2.08%,1,1,88,91.67%,43,45,4,4.17%,1,3,8,8.33%,46,47.92%,13,13.54%,0,0.00%,0,0.00%,N,N,N,N
18-19,1,Aitkin,1,1,Aitkin Public School District,0,,3,3,,7,87,N,51,58.62%,36,41.38%,2,2.30%,1,1,0,0.00%,0,0,0,0.00%,0,0,1,1.15%,0,1,1,1.15%,1,0,80,91.95%,47,33,3,3.45%,2,1,7,8.05%,40,45.98%,10,11.49%,0,0.00%,0,0.00%,N,N,N,N
18-19,1,Aitkin,1,1,Aitkin Public School District,0,,3,3,,8,98,N,40,40.82%,58,59.18%,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,0,1,1.02%,1,0,1,1.02%,0,1,91,92.86%,38,53,5,5.10%,1,4,7,7.14%,42,42.86%,19,19.39%,1,1.02%,0,0.00%,N,N,N,N
18-19,1,Aitkin,1,1,Aitkin Public School District,0,,3,3,,9,107,N,53,49.53%,54,50.47%,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,0,1,0.93%,0,1,0,0.00%,0,0,102,95.33%,50,52,4,3.74%,3,1,5,4.67%,39,36.45%,18,16.82%,0,0.00%,0,0.00%,N,N,N,N
18-19,1,Aitkin,1,1,Aitkin Public School District,0,,3,3,,10,111,N,58,52.25%,53,47.75%,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,0,1,0.90%,1,0,2,1.80%,2,0,105,94.59%,53,52,3,2.70%,2,1,6,5.41%,51,45.95%,12,10.81%,0,0.00%,0,0.00%,N,N,N,N
18-19,1,Aitkin,1,1,Aitkin Public School District,0,,3,3,,11,70,N,35,50.00%,35,50.00%,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,0,2,2.86%,0,2,0,0.00%,0,0,65,92.86%,34,31,3,4.29%,1,2,5,7.14%,21,30.00%,7,10.00%,0,0.00%,0,0.00%,N,N,N,N
