districtNumber,districtType,districtName,year,percentIdentified
0001,01,AITKIN PUBLIC SCHOOL DISTRICT,2019,0.00168634064080944
0001,03,MINNEAPOLIS PUBLIC SCHOOL DISTRICT,2019,0.205199550309162
0002,01,HILL CITY PUBLIC SCHOOL DISTRICT,2019,NA
0004,01,MCGREGOR PUBLIC SCHOOL DISTRICT,2019,0
0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DISTRICT,2019,0.0625704622322435
0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DISTRICT,2019,0.065692490077831
0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT,2019,0.028486646884273
0013,01,COLUMBIA HEIGHTS PUBLIC SCHOOL DISTRICT,2019,0.273690406121248
0014,01,FRIDLEY PUBLIC SCHOOL DISTRICT,2019,0.133596577821652
0015,01,ST. FRANCIS AREA SCHOOLS,2019,0.0217725973169123
0016,01,SPRING LAKE PARK PUBLIC SCHOOLS,2019,0.113024934383202
0022,01,DETROIT LAKES PUBLIC SCHOOL DISTRICT,2019,0.00229734164752215
0023,01,FRAZEE-VERGAS PUBLIC SCHOOL DISTRICT,2019,NA
0025,01,PINE POINT PUBLIC SCHOOL DISTRICT,2019,NA
0031,01,BEMIDJI PUBLIC SCHOOL DISTRICT,2019,0.00191204588910134
0032,01,BLACKDUCK PUBLIC SCHOOL DISTRICT,2019,NA
0036,01,KELLIHER PUBLIC SCHOOL DISTRICT,2019,NA
0038,01,RED LAKE PUBLIC SCHOOL DISTRICT,2019,0
0047,01,SAUK RAPIDS-RICE PUBLIC SCHOOLS,2019,0.00860770389498601
0051,01,FOLEY PUBLIC SCHOOL DISTRICT,2019,0.000509164969450102
0075,01,ST. CLAIR PUBLIC SCHOOL DISTRICT,2019,NA
0077,01,MANKATO PUBLIC SCHOOL DISTRICT,2019,0.0584157290601205
0081,01,COMFREY PUBLIC SCHOOL DISTRICT,2019,NA
0084,01,SLEEPY EYE PUBLIC SCHOOL DISTRICT,2019,0.110016420361248
0085,01,SPRINGFIELD PUBLIC SCHOOL DISTRICT,2019,NA
0088,01,NEW ULM PUBLIC SCHOOL DISTRICT,2019,0.0076518412242946
0091,01,BARNUM PUBLIC SCHOOL DISTRICT,2019,NA
0093,01,CARLTON PUBLIC SCHOOL DISTRICT,2019,NA
0094,01,CLOQUET PUBLIC SCHOOL DISTRICT,2019,0.00113036925395629
0095,01,CROMWELL-WRIGHT PUBLIC SCHOOLS,2019,NA
0097,01,MOOSE LAKE PUBLIC SCHOOL DISTRICT,2019,NA
0099,01,ESKO PUBLIC SCHOOL DISTRICT,2019,0.00155884645362432
0100,01,WRENSHALL PUBLIC SCHOOL DISTRICT,2019,NA
0108,01,CENTRAL PUBLIC SCHOOL DISTRICT,2019,0.0212981744421907
0110,01,WACONIA PUBLIC SCHOOL DISTRICT,2019,0.0157652195003638
0111,01,WATERTOWN-MAYER PUBLIC SCHOOL DISTRICT,2019,0.00902061855670103
0112,01,EASTERN CARVER COUNTY PUBLIC SCHOOLS,2019,0.0453759283752162
0113,01,WALKER-HACKENSACK-AKELEY SCHOOL DISTRICT,2019,0.00125156445556946
0115,01,CASS LAKE-BENA PUBLIC SCHOOLS,2019,0
0116,01,PILLAGER PUBLIC SCHOOL DISTRICT,2019,0.000859106529209622
0118,01,NORTHLAND COMMUNITY SCHOOLS,2019,NA
0129,01,MONTEVIDEO PUBLIC SCHOOL DISTRICT,2019,0.0943931866572037
0138,01,NORTH BRANCH PUBLIC SCHOOLS,2019,0.018308311973636
0139,01,RUSH CITY PUBLIC SCHOOL DISTRICT,2019,0.00471698113207547
0146,01,BARNESVILLE PUBLIC SCHOOL DISTRICT,2019,0
0150,01,HAWLEY PUBLIC SCHOOL DISTRICT,2019,0.0205128205128205
0152,01,MOORHEAD PUBLIC SCHOOL DISTRICT,2019,0.0839618613917746
0160,70,MINNESOTA STATE ACADEMIES,2019,NA
0162,01,BAGLEY PUBLIC SCHOOL DISTRICT,2019,0
0166,01,COOK COUNTY PUBLIC SCHOOLS,2019,0
0173,01,MOUNTAIN LAKE PUBLIC SCHOOLS,2019,NA
0177,01,WINDOM PUBLIC SCHOOL DISTRICT,2019,0.0845864661654135
0181,01,BRAINERD PUBLIC SCHOOL DISTRICT,2019,0.00249559600704639
0182,01,CROSBY-IRONTON PUBLIC SCHOOL DISTRICT,2019,0.000954198473282443
0186,01,PEQUOT LAKES PUBLIC SCHOOLS,2019,0.00114481969089868
0191,01,BURNSVILLE PUBLIC SCHOOL DISTRICT,2019,0.173766058147397
0192,01,FARMINGTON PUBLIC SCHOOL DISTRICT,2019,0.0412963216190346
0194,01,LAKEVILLE PUBLIC SCHOOL DISTRICT,2019,0.0298107818636201
0195,01,RANDOLPH PUBLIC SCHOOL DISTRICT,2019,NA
0196,01,ROSEMOUNT-APPLE VALLEY-EAGAN,2019,0.069593406214436
0197,01,WEST ST. PAUL-MENDOTA HEIGHTS-EAGAN,2019,0.116430486403677
0199,01,INVER GROVE HEIGHTS SCHOOLS,2019,0.097440132122213
0200,01,HASTINGS PUBLIC SCHOOL DISTRICT,2019,0.0116146663630153
0203,01,HAYFIELD PUBLIC SCHOOL DISTRICT,2019,NA
0204,01,KASSON-MANTORVILLE SCHOOL DISTRICT,2019,0.0162016201620162
0206,01,ALEXANDRIA PUBLIC SCHOOL DISTRICT,2019,0.00668098305893582
0213,01,OSAKIS PUBLIC SCHOOL DISTRICT,2019,NA
0227,01,CHATFIELD PUBLIC SCHOOLS,2019,0
0229,01,LANESBORO PUBLIC SCHOOL DISTRICT,2019,NA
0238,01,MABEL-CANTON PUBLIC SCHOOL DISTRICT,2019,NA
0239,01,RUSHFORD-PETERSON PUBLIC SCHOOLS,2019,NA
0241,01,ALBERT LEA PUBLIC SCHOOL DISTRICT,2019,0.0840055632823366
0242,01,ALDEN-CONGER PUBLIC SCHOOL DISTRICT,2019,NA
0252,01,CANNON FALLS PUBLIC SCHOOL DISTRICT,2019,0.00431778929188256
0253,01,GOODHUE PUBLIC SCHOOL DISTRICT,2019,0.0490341753343239
0255,01,PINE ISLAND PUBLIC SCHOOL DISTRICT,2019,0
0256,01,RED WING PUBLIC SCHOOL DISTRICT,2019,0.0191226096737908
0261,01,ASHBY PUBLIC SCHOOL DISTRICT,2019,NA
0264,01,HERMAN-NORCROSS SCHOOL DISTRICT,2019,NA
0270,01,HOPKINS PUBLIC SCHOOL DISTRICT,2019,0.0758390236815342
0271,01,BLOOMINGTON PUBLIC SCHOOL DISTRICT,2019,0.138050935062494
0272,01,EDEN PRAIRIE PUBLIC SCHOOL DISTRICT,2019,0.0865265760197775
0273,01,EDINA PUBLIC SCHOOL DISTRICT,2019,0.0529964747356052
0276,01,MINNETONKA PUBLIC SCHOOL DISTRICT,2019,0.0156791248860529
0277,01,WESTONKA PUBLIC SCHOOL DISTRICT,2019,0.00367797302819779
0278,01,ORONO PUBLIC SCHOOL DISTRICT,2019,0.0121317157712305
0279,01,OSSEO PUBLIC SCHOOL DISTRICT,2019,0.104694485842027
0280,01,RICHFIELD PUBLIC SCHOOL DISTRICT,2019,0.251678629312341
0281,01,ROBBINSDALE PUBLIC SCHOOL DISTRICT,2019,0.101147776183644
0282,01,ST. ANTHONY-NEW BRIGHTON SCHOOLS,2019,NA
0283,01,ST. LOUIS PARK PUBLIC SCHOOL DISTRICT,2019,0.09291472210437
0284,01,WAYZATA PUBLIC SCHOOL DISTRICT,2019,0.0331436223635755
0286,01,BROOKLYN CENTER SCHOOL DISTRICT,2019,0.18900481540931
0287,06,INTERMEDIATE SCHOOL DISTRICT 287,2019,NA
0287,06,INTERMEDIATE SCHOOL DISTRICT 288,2019,0
0287,06,INTERMEDIATE SCHOOL DISTRICT 289,2019,NA
0287,06,INTERMEDIATE SCHOOL DISTRICT 290,2019,0.0526315789473684
0287,06,INTERMEDIATE SCHOOL DISTRICT 291,2019,0.130434782608696
0287,06,INTERMEDIATE SCHOOL DISTRICT 292,2019,0.024390243902439
0287,06,INTERMEDIATE SCHOOL DISTRICT 293,2019,0
0287,06,INTERMEDIATE SCHOOL DISTRICT 294,2019,0.0465116279069767
0287,06,INTERMEDIATE SCHOOL DISTRICT 295,2019,0.0394736842105263
0287,06,INTERMEDIATE SCHOOL DISTRICT 296,2019,0.0588235294117647
0287,06,INTERMEDIATE SCHOOL DISTRICT 297,2019,0.0594059405940594
0287,06,INTERMEDIATE SCHOOL DISTRICT 298,2019,0.0476190476190476
0287,06,INTERMEDIATE SCHOOL DISTRICT 299,2019,0.0444874274661509
0288,06,SOUTHWEST METRO INTERMEDIATE 288,2019,NA
0294,01,HOUSTON PUBLIC SCHOOL DISTRICT,2019,0.0106275303643725
0297,01,SPRING GROVE SCHOOL DISTRICT,2019,NA
0299,01,CALEDONIA PUBLIC SCHOOL DISTRICT,2019,0
0300,01,LA CRESCENT-HOKAH SCHOOL DISTRICT,2019,0.000902527075812274
0306,01,LAPORTE PUBLIC SCHOOL DISTRICT,2019,0
0308,01,NEVIS PUBLIC SCHOOL DISTRICT,2019,NA
0309,01,PARK RAPIDS PUBLIC SCHOOL DISTRICT,2019,0.0212765957446809
0314,01,BRAHAM PUBLIC SCHOOL DISTRICT,2019,0.00132450331125828
0316,01,GREENWAY PUBLIC SCHOOL DISTRICT,2019,0.00187441424554827
0317,01,DEER RIVER PUBLIC SCHOOL DISTRICT,2019,0.00205973223480947
0318,01,GRAND RAPIDS PUBLIC SCHOOL DISTRICT,2019,0.000482043865991805
0319,01,NASHWAUK-KEEWATIN SCHOOL DISTRICT,2019,NA
0330,01,HERON LAKE-OKABENA SCHOOL DISTRICT,2019,NA
0332,01,MORA PUBLIC SCHOOL DISTRICT,2019,0.00121728545343883
0333,01,OGILVIE PUBLIC SCHOOL DISTRICT,2019,0
0345,01,NEW LONDON-SPICER SCHOOL DISTRICT,2019,0.0199228791773779
0347,01,WILLMAR PUBLIC SCHOOL DISTRICT,2019,0.24586869138008
0356,01,LANCASTER PUBLIC SCHOOL DISTRICT,2019,NA
0361,01,INTERNATIONAL FALLS SCHOOL DISTRICT,2019,0.00692383778437191
