dat_yer,dst_num,dst_tye,dst_nam,grd,cou_num,ecu_num,ami_mal,ami_fem,api_mal,api_fem,his_mal,his_fem,blk_mal,blk_fem,wht_mal,wht_fem,tot_mal,tot_fem,tot_mny,tot_tot,eco_dev
99-00,0001,01,AITKIN,01,01,03,0,1,0,1,0,0,2,0,43,48,45,50,4,95,03
99-00,0001,01,AITKIN,02,01,03,0,1,0,1,0,0,1,0,46,32,47,34,3,81,03
99-00,0001,01,AITKIN,03,01,03,0,0,0,0,0,0,0,0,54,44,54,44,0,98,03
99-00,0001,01,AITKIN,04,01,03,0,1,0,0,0,0,0,1,58,43,58,45,2,103,03
99-00,0001,01,AITKIN,05,01,03,0,0,0,0,1,0,0,0,43,41,44,41,1,85,03
99-00,0001,01,AITKIN,06,01,03,0,1,1,0,3,0,0,0,49,41,53,42,5,95,03
99-00,0001,01,AITKIN,07,01,03,1,1,0,0,1,2,0,0,53,59,55,62,5,117,03
99-00,0001,01,AITKIN,08,01,03,2,1,1,1,0,0,0,0,51,41,54,43,5,97,03
99-00,0001,01,AITKIN,09,01,03,0,2,2,1,0,0,2,1,55,57,59,61,8,120,03
99-00,0001,01,AITKIN,10,01,03,4,2,0,0,1,0,0,0,62,58,67,60,7,127,03
99-00,0001,01,AITKIN,11,01,03,1,0,1,2,0,1,0,0,74,41,76,44,5,120,03
99-00,0001,01,AITKIN,12,01,03,0,1,0,2,1,0,0,1,70,58,71,62,5,133,03
99-00,0001,01,AITKIN,KG,01,03,0,2,0,0,0,0,0,0,50,48,50,50,2,100,03
99-00,0001,01,AITKIN,PK,01,03,0,0,0,0,0,0,0,0,7,9,7,9,0,16,03
99-00,0001,03,MINNEAPOLIS,01,27,11,107,106,302,266,209,173,921,892,549,502,2088,1939,2976,4027,11
99-00,0001,03,MINNEAPOLIS,02,27,11,113,114,327,311,210,207,997,909,583,473,2230,2014,3188,4244,11
99-00,0001,03,MINNEAPOLIS,03,27,11,112,124,323,282,162,170,962,897,573,544,2132,2017,3032,4149,11
99-00,0001,03,MINNEAPOLIS,04,27,11,107,110,307,301,189,161,959,873,562,576,2124,2021,3007,4145,11
99-00,0001,03,MINNEAPOLIS,05,27,11,98,109,285,298,145,131,933,858,536,523,1997,1919,2857,3916,11
99-00,0001,03,MINNEAPOLIS,06,27,11,104,78,292,262,149,113,855,825,491,500,1891,1778,2678,3669,11
99-00,0001,03,MINNEAPOLIS,07,27,11,99,88,266,241,117,96,828,690,536,446,1846,1561,2425,3407,11
99-00,0001,03,MINNEAPOLIS,08,27,11,98,84,262,272,123,118,741,694,485,468,1709,1636,2392,3345,11
99-00,0001,03,MINNEAPOLIS,09,27,11,104,103,259,264,138,115,1024,941,618,601,2143,2024,2948,4167,11
99-00,0001,03,MINNEAPOLIS,10,27,11,73,72,219,278,114,82,676,755,553,527,1635,1714,2269,3349,11
99-00,0001,03,MINNEAPOLIS,11,27,11,49,57,229,232,112,61,579,592,512,489,1481,1431,1911,2912,11
99-00,0001,03,MINNEAPOLIS,12,27,11,36,40,197,197,47,56,418,472,484,548,1182,1313,1463,2495,11
99-00,0001,03,MINNEAPOLIS,KG,27,11,102,95,332,315,285,239,938,880,671,559,2328,2088,3186,4416,11
99-00,0001,03,MINNEAPOLIS,PK,27,11,16,3,8,7,22,12,140,58,114,67,300,147,266,447,11
99-00,0002,01,HILL CITY,01,01,03,0,0,0,0,0,1,0,0,8,10,8,11,1,19,03
99-00,0002,01,HILL CITY,02,01,03,1,0,0,0,0,1,0,0,19,11,20,12,2,32,03
99-00,0002,01,HILL CITY,03,01,03,1,0,0,0,0,1,0,0,12,9,13,10,2,23,03
99-00,0002,01,HILL CITY,04,01,03,0,0,0,0,0,0,0,0,16,8,16,8,0,24,03
99-00,0002,01,HILL CITY,05,01,03,0,1,0,0,0,0,0,0,6,16,6,17,1,23,03
99-00,0002,01,HILL CITY,06,01,03,0,1,0,0,0,0,0,0,19,10,19,11,1,30,03
99-00,0002,01,HILL CITY,07,01,03,0,1,0,0,2,0,0,0,23,16,25,17,3,42,03
99-00,0002,01,HILL CITY,08,01,03,0,1,0,0,0,1,0,0,13,20,13,22,2,35,03
99-00,0002,01,HILL CITY,09,01,03,1,1,0,0,0,0,0,0,16,18,17,19,2,36,03
99-00,0002,01,HILL CITY,10,01,03,0,1,0,0,0,1,0,0,12,14,12,16,2,28,03
99-00,0002,01,HILL CITY,11,01,03,0,3,0,0,0,0,0,0,16,14,16,17,3,33,03
99-00,0002,01,HILL CITY,12,01,03,2,0,0,0,1,0,0,0,15,17,18,17,3,35,03
99-00,0002,01,HILL CITY,KG,01,03,0,0,0,0,0,0,0,0,10,7,10,7,0,17,03
99-00,0002,01,HILL CITY,PK,01,03,0,0,0,0,0,0,0,0,3,4,3,4,0,7,03
99-00,0004,01,MCGREGOR,01,01,03,2,0,0,0,0,0,0,0,14,15,16,15,2,31,03
99-00,0004,01,MCGREGOR,02,01,03,2,12,0,0,0,0,0,1,16,13,18,26,15,44,03
99-00,0004,01,MCGREGOR,03,01,03,4,6,0,0,0,0,0,0,24,18,28,24,10,52,03
99-00,0004,01,MCGREGOR,04,01,03,2,2,0,1,0,0,0,0,21,11,23,14,5,37,03
99-00,0004,01,MCGREGOR,05,01,03,3,6,0,0,0,0,0,0,13,15,16,21,9,37,03
99-00,0004,01,MCGREGOR,06,01,03,3,4,0,0,0,0,0,0,25,12,28,16,7,44,03
99-00,0004,01,MCGREGOR,07,01,03,4,8,0,1,0,0,0,0,20,14,24,23,13,47,03
99-00,0004,01,MCGREGOR,08,01,03,2,3,1,0,0,0,0,0,31,18,34,21,6,55,03
99-00,0004,01,MCGREGOR,09,01,03,2,1,1,0,0,0,0,0,13,20,16,21,4,37,03
99-00,0004,01,MCGREGOR,10,01,03,2,0,0,1,1,0,0,1,24,21,27,23,5,50,03
99-00,0004,01,MCGREGOR,11,01,03,1,2,0,0,0,0,0,0,24,23,25,25,3,50,03
99-00,0004,01,MCGREGOR,12,01,03,0,1,0,1,0,0,0,0,16,15,16,17,2,33,03
99-00,0004,01,MCGREGOR,KG,01,03,2,2,0,0,0,0,0,0,13,21,15,23,4,38,03
99-00,0004,01,MCGREGOR,PK,01,03,0,0,0,0,0,0,0,0,6,2,6,2,0,8,03
99-00,0006,03,SOUTH ST. PAUL,01,19,11,1,2,0,2,14,13,3,6,98,89,116,112,41,228,11
99-00,0006,03,SOUTH ST. PAUL,02,19,11,1,2,0,0,7,5,2,2,119,103,129,112,19,241,11
99-00,0006,03,SOUTH ST. PAUL,03,19,11,1,0,0,1,10,12,4,2,96,110,111,125,30,236,11
99-00,0006,03,SOUTH ST. PAUL,04,19,11,1,0,0,1,10,12,2,3,120,97,133,113,29,246,11
99-00,0006,03,SOUTH ST. PAUL,05,19,11,1,1,0,1,9,9,8,5,106,110,124,126,34,250,11
99-00,0006,03,SOUTH ST. PAUL,06,19,11,1,2,0,1,10,9,2,3,91,106,104,121,28,225,11
99-00,0006,03,SOUTH ST. PAUL,07,19,11,0,1,1,0,8,16,1,3,137,130,147,150,30,297,11
99-00,0006,03,SOUTH ST. PAUL,08,19,11,1,1,3,4,5,8,1,4,145,133,155,150,27,305,11
99-00,0006,03,SOUTH ST. PAUL,09,19,11,0,0,0,2,3,9,3,2,126,158,132,171,19,303,11
99-00,0006,03,SOUTH ST. PAUL,10,19,11,1,1,4,2,5,8,1,2,150,142,161,155,24,316,11
99-00,0006,03,SOUTH ST. PAUL,11,19,11,0,1,1,6,10,8,0,1,148,145,159,161,27,320,11
99-00,0006,03,SOUTH ST. PAUL,12,19,11,0,2,3,1,4,13,0,0,118,148,125,164,23,289,11
99-00,0006,03,SOUTH ST. PAUL,KG,19,11,1,0,1,0,7,10,2,5,128,123,139,138,26,277,11
99-00,0006,03,SOUTH ST. PAUL,PK,19,11,1,0,0,0,2,0,1,1,31,7,35,8,5,43,11
99-00,0011,01,ANOKA-HENNEPIN,01,02,11,12,9,38,37,20,25,61,48,1416,1395,1547,1514,250,3061,11
99-00,0011,01,ANOKA-HENNEPIN,02,02,11,8,13,40,35,26,24,58,46,1506,1381,1638,1499,250,3137,11
99-00,0011,01,ANOKA-HENNEPIN,03,02,11,13,12,51,37,18,18,54,58,1480,1418,1616,1543,261,3159,11
99-00,0011,01,ANOKA-HENNEPIN,04,02,11,22,20,52,48,18,23,52,57,1523,1483,1667,1631,292,3298,11
99-00,0011,01,ANOKA-HENNEPIN,05,02,11,17,12,52,46,29,21,53,54,1489,1387,1640,1520,284,3160,11
99-00,0011,01,ANOKA-HENNEPIN,06,02,11,31,23,41,62,14,14,50,49,1443,1378,1579,1526,284,3105,11
99-00,0011,01,ANOKA-HENNEPIN,07,02,11,19,16,53,35,13,26,61,41,1477,1409,1623,1527,264,3150,11
99-00,0011,01,ANOKA-HENNEPIN,08,02,11,20,21,49,54,19,18,38,43,1463,1414,1589,1550,262,3139,11
99-00,0011,01,ANOKA-HENNEPIN,09,02,11,27,14,52,53,17,23,39,44,1510,1461,1645,1595,269,3240,11
99-00,0011,01,ANOKA-HENNEPIN,10,02,11,25,33,40,50,19,24,38,43,1383,1405,1505,1555,272,3060,11
99-00,0011,01,ANOKA-HENNEPIN,11,02,11,22,17,57,59,10,26,30,20,1410,1286,1529,1408,241,2937,11
99-00,0011,01,ANOKA-HENNEPIN,12,02,11,14,21,33,42,21,22,28,25,1427,1347,1523,1457,206,2980,11
99-00,0011,01,ANOKA-HENNEPIN,KG,02,11,12,11,44,27,16,14,45,43,1437,1341,1554,1436,212,2990,11
99-00,0011,01,ANOKA-HENNEPIN,PK,02,11,3,2,5,4,4,3,14,7,353,153,379,169,42,548,11
99-00,0012,01,CENTENNIAL,01,02,11,0,1,2,1,1,3,0,2,280,262,283,269,10,552,11
99-00,0012,01,CENTENNIAL,02,02,11,3,1,0,0,0,0,1,2,292,252,296,255,7,551,11
99-00,0012,01,CENTENNIAL,03,02,11,2,3,2,2,1,1,1,1,294,249,300,256,13,556,11
99-00,0012,01,CENTENNIAL,04,02,11,2,4,5,6,1,2,2,3,266,267,276,282,25,558,11
99-00,0012,01,CENTENNIAL,05,02,11,6,4,1,1,0,2,2,1,278,269,287,277,17,564,11
99-00,0012,01,CENTENNIAL,06,02,11,3,5,5,3,5,0,3,2,258,253,274,263,26,537,11
99-00,0012,01,CENTENNIAL,07,02,11,4,4,4,1,3,0,5,4,257,224,273,233,25,506,11
99-00,0012,01,CENTENNIAL,08,02,11,4,9,8,7,5,6,3,4,263,264,283,290,46,573,11
99-00,0012,01,CENTENNIAL,09,02,11,4,5,7,9,2,3,2,1,270,241,285,259,33,544,11
99-00,0012,01,CENTENNIAL,10,02,11,4,6,5,6,1,3,1,1,215,221,226,237,27,463,11
99-00,0012,01,CENTENNIAL,11,02,11,5,2,8,3,2,2,2,3,243,183,260,193,27,453,11
99-00,0012,01,CENTENNIAL,12,02,11,6,4,5,6,5,2,0,2,189,207,205,221,30,426,11
99-00,0012,01,CENTENNIAL,KG,02,11,0,0,3,3,5,2,2,2,272,246,282,253,17,535,11
99-00,0012,01,CENTENNIAL,PK,02,11,0,0,0,1,0,0,0,0,42,26,42,27,1,69,11
99-00,0013,01,COLUMBIA HEIGHTS,01,02,11,4,4,10,1,5,4,6,12,96,88,121,109,46,230,11
99-00,0013,01,COLUMBIA HEIGHTS,02,02,11,5,5,5,5,5,3,11,10,85,85,111,108,49,219,11
99-00,0013,01,COLUMBIA HEIGHTS,03,02,11,7,3,7,2,10,3,12,10,100,93,136,111,54,247,11
99-00,0013,01,COLUMBIA HEIGHTS,04,02,11,5,4,6,10,3,3,13,15,86,99,113,131,59,244,11
99-00,0013,01,COLUMBIA HEIGHTS,05,02,11,11,1,2,8,2,5,9,14,74,96,98,124,52,222,11
99-00,0013,01,COLUMBIA HEIGHTS,06,02,11,3,5,2,9,2,3,11,14,85,77,103,108,49,211,11
99-00,0013,01,COLUMBIA HEIGHTS,07,02,11,4,6,7,4,3,7,9,8,96,86,119,111,48,230,11
99-00,0013,01,COLUMBIA HEIGHTS,08,02,11,3,1,7,6,4,2,8,12,92,91,114,112,43,226,11
99-00,0013,01,COLUMBIA HEIGHTS,09,02,11,9,4,5,7,4,0,4,14,87,86,109,111,47,220,11
99-00,0013,01,COLUMBIA HEIGHTS,10,02,11,6,1,8,4,7,4,12,14,98,93,131,116,56,247,11
99-00,0013,01,COLUMBIA HEIGHTS,11,02,11,0,4,7,5,2,8,9,9,93,73,111,99,44,210,11
99-00,0013,01,COLUMBIA HEIGHTS,12,02,11,3,2,9,13,3,2,10,10,104,112,129,139,52,268,11
99-00,0013,01,COLUMBIA HEIGHTS,KG,02,11,2,4,4,4,5,6,5,6,89,78,105,98,36,203,11
99-00,0013,01,COLUMBIA HEIGHTS,PK,02,11,0,0,0,0,0,0,1,0,30,8,31,8,1,39,11
99-00,0014,01,FRIDLEY,01,02,11,4,0,0,3,2,2,5,3,87,66,98,74,19,172,11
