DataYear,DistrictCountyNumber,DistrictCountyName,districtNumber,districtType,DistrictName,schoolNumber,SchoolName,ECSUNumber,EconomicDevelopmentRegion,Grade,AMI_Male,AMI_Female,API_Male,API_Female,HIS_Male,HIS_Female,BLK_Male,BLK_Female,WHT_Male,WHT_Female,TotalMale,TotalFemale,TotalMinority,TotalStudents,SchoolLocationCountyNumber,SchoolLocationCountyName,SchoolClassification
08-09,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,EC,0,0,0,0,1,0,1,0,13,2,15,2,2,17,, ,
08-09,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,KG,1,0,0,1,1,0,2,0,49,49,53,50,5,103,, ,
08-09,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,01,1,1,0,0,2,0,0,0,33,39,36,40,4,76,, ,
08-09,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,02,0,0,1,0,0,0,1,2,47,43,49,45,4,94,, ,
08-09,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,03,0,0,1,0,1,0,0,2,41,42,43,44,4,87,, ,
08-09,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,04,1,1,0,0,0,1,2,3,52,36,55,41,8,96,, ,
08-09,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,05,0,0,0,0,0,0,1,0,58,47,59,47,1,106,, ,
08-09,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,06,0,0,1,1,0,0,0,1,41,42,42,44,3,86,, ,
08-09,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,07,0,1,0,0,1,1,1,1,42,53,44,56,5,100,, ,
08-09,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,08,3,0,0,1,0,0,1,0,47,50,51,51,5,102,, ,
08-09,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,09,0,2,1,0,3,1,0,0,46,53,50,56,7,106,, ,
08-09,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,10,1,1,0,1,0,1,3,1,44,47,48,51,8,99,, ,
08-09,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,11,0,1,2,2,3,2,1,0,49,37,55,42,11,97,, ,
08-09,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,12,0,2,0,0,2,0,2,1,51,55,55,58,7,113,, ,
08-09,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,All Grades,7,9,6,6,14,6,15,11,613,595,655,627,74,1282,, ,
08-09,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11,EC,18,8,23,20,129,64,181,92,169,90,520,274,535,794,, ,
08-09,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11,KG,67,79,113,101,323,335,520,469,535,518,1558,1502,2007,3060,, ,
08-09,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11,01,63,83,78,114,355,324,521,455,461,464,1478,1440,1993,2918,, ,
08-09,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11,02,79,75,92,111,311,297,506,497,456,440,1444,1420,1968,2864,, ,
08-09,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11,03,56,76,111,106,278,272,505,491,455,414,1405,1359,1895,2764,, ,
08-09,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11,04,56,55,93,102,271,268,483,479,397,369,1300,1273,1807,2573,, ,
08-09,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11,05,61,66,93,99,231,219,422,432,388,339,1195,1155,1623,2350,, ,
08-09,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11,06,68,57,113,85,226,188,431,425,337,312,1175,1067,1593,2242,, ,
08-09,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11,07,55,59,104,101,181,166,464,435,325,312,1129,1073,1565,2202,, ,
08-09,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11,08,54,49,99,107,196,165,496,449,328,301,1173,1071,1615,2244,, ,
08-09,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11,09,47,44,124,132,213,194,502,440,371,335,1257,1145,1696,2402,, ,
08-09,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11,10,59,57,132,122,164,166,528,529,368,369,1251,1243,1757,2494,, ,
08-09,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11,11,42,45,145,152,177,160,562,592,390,343,1316,1292,1875,2608,, ,
08-09,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11,12,66,86,164,178,153,173,707,731,487,420,1577,1588,2258,3165,, ,
08-09,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11,All Grades,791,839,1484,1530,3208,2991,6828,6516,5467,5026,17778,16902,24187,34680,, ,
08-09,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,03,EC,0,0,0,0,0,0,0,1,8,1,8,2,1,10,, ,
08-09,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,03,KG,0,0,0,0,0,0,0,0,8,7,8,7,0,15,, ,
08-09,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,03,01,0,0,0,0,0,0,0,0,10,10,10,10,0,20,, ,
08-09,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,03,02,0,2,0,0,0,0,0,0,6,6,6,8,2,14,, ,
08-09,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,03,03,0,0,0,0,0,0,0,0,10,8,10,8,0,18,, ,
08-09,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,03,04,1,0,0,0,0,0,0,0,12,7,13,7,1,20,, ,
08-09,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,03,05,0,0,0,0,0,0,0,0,7,13,7,13,0,20,, ,
08-09,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,03,06,0,0,0,0,0,0,0,0,16,18,16,18,0,34,, ,
08-09,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,03,07,1,0,0,0,0,0,0,0,8,6,9,6,1,15,, ,
08-09,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,03,08,0,0,0,0,0,0,0,0,12,9,12,9,0,21,, ,
08-09,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,03,09,0,0,0,0,0,0,0,0,15,10,15,10,0,25,, ,
08-09,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,03,10,1,0,0,0,0,1,0,0,15,18,16,19,2,35,, ,
08-09,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,03,11,1,0,0,0,0,0,0,0,19,10,20,10,1,30,, ,
08-09,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,03,12,0,0,0,0,0,0,0,0,9,12,9,12,0,21,, ,
08-09,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,03,All Grades,4,2,0,0,0,1,0,1,155,135,159,139,8,298,, ,
08-09,01,Aitkin                                       ,0004,01,MCGREGOR PUBLIC SCHOOL DISTRICT    ,000, ,03,03,EC,1,2,0,0,1,0,0,0,6,3,8,5,4,13,, ,
08-09,01,Aitkin                                       ,0004,01,MCGREGOR PUBLIC SCHOOL DISTRICT    ,000, ,03,03,KG,4,1,0,0,0,1,0,0,12,8,16,10,6,26,, ,
08-09,01,Aitkin                                       ,0004,01,MCGREGOR PUBLIC SCHOOL DISTRICT    ,000, ,03,03,01,5,1,0,0,0,1,0,0,13,10,18,12,7,30,, ,
08-09,01,Aitkin                                       ,0004,01,MCGREGOR PUBLIC SCHOOL DISTRICT    ,000, ,03,03,02,3,1,0,0,0,1,0,0,6,8,9,10,5,19,, ,
