DataYear,DistrictCountyNumber,DistrictCountyName,districtNumber,districtType,DistrictName,schoolNumber,SchoolName,ECSUNumber,EconomicDevelopmentRegion,Grade,AMI_Male,AMI_Female,ASI_Male,ASI_Female,BLK_Male,BLK_Female,HIS_Male,HIS_Female,HPI_Male,HPI_Female,MLT_Male,MLT_Female,WHT_Male,WHT_Female,TotalMale,TotalFemale,TotalMinority,TotalStudents,Entity,MinMaxGrade,SchoolLocationCountyNumber,SchoolLocationCountyName,SchoolClassification
16-17,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,EC,0,0,0,0,0,0,0,0,0,0,0,0,13,9,13,9,0,22,District,EC-12,, ,
16-17,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,KG,2,0,0,1,0,0,1,0,0,0,2,1,35,32,40,34,7,74,District,EC-12,, ,
16-17,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,01,0,0,1,0,0,0,1,1,0,0,1,0,50,30,53,31,4,84,District,EC-12,, ,
16-17,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,02,1,0,0,0,0,0,1,1,0,0,1,0,40,28,43,29,4,72,District,EC-12,, ,
16-17,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,03,1,1,0,2,0,0,1,0,0,0,1,1,42,48,45,52,7,97,District,EC-12,, ,
16-17,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,04,0,0,0,0,0,0,3,0,0,0,3,1,47,38,53,39,7,92,District,EC-12,, ,
16-17,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,05,0,2,0,0,0,0,0,1,0,0,1,2,30,44,31,49,6,80,District,EC-12,, ,
16-17,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,06,0,0,0,0,1,0,0,2,0,0,3,2,57,33,61,37,8,98,District,EC-12,, ,
16-17,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,07,0,0,0,0,0,0,1,0,0,0,2,2,52,50,55,52,5,107,District,EC-12,, ,
16-17,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,08,0,0,0,0,1,2,0,1,0,0,0,2,51,50,52,55,6,107,District,EC-12,, ,
16-17,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,09,0,0,0,0,0,0,1,0,0,0,1,1,30,33,32,34,3,66,District,EC-12,, ,
16-17,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,10,1,0,0,0,0,1,1,0,0,0,2,2,39,43,43,46,7,89,District,EC-12,, ,
16-17,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,11,0,0,1,0,0,2,0,1,0,0,1,2,37,38,39,43,7,82,District,EC-12,, ,
16-17,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,12,0,0,0,0,0,2,0,2,0,0,1,1,53,37,54,42,6,96,District,EC-12,, ,
16-17,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,All Grades,5,3,2,3,2,7,10,9,0,0,19,17,576,513,614,552,77,1166,District,EC-12,, ,
16-17,27,Hennepin                                     ,0001,03,Minneapolis Public School District ,000, ,11,11,EC,16,7,26,16,169,86,115,33,1,1,14,3,219,131,560,277,487,837,District,EC-12,, ,
16-17,27,Hennepin                                     ,0001,03,Minneapolis Public School District ,000, ,11,11,PK,11,10,3,3,40,38,20,24,0,0,2,7,5,4,81,86,158,167,District,EC-12,, ,
16-17,27,Hennepin                                     ,0001,03,Minneapolis Public School District ,000, ,11,11,KG,29,29,80,69,480,437,245,238,1,0,93,103,596,543,1524,1419,1804,2943,District,EC-12,, ,
16-17,27,Hennepin                                     ,0001,03,Minneapolis Public School District ,000, ,11,11,01,35,46,81,60,504,465,252,240,0,1,97,76,547,548,1516,1436,1857,2952,District,EC-12,, ,
16-17,27,Hennepin                                     ,0001,03,Minneapolis Public School District ,000, ,11,11,02,44,42,74,57,539,517,272,260,1,1,81,75,557,498,1568,1450,1963,3018,District,EC-12,, ,
