dat_yer,dst_num,dst_tye,dst_nam,grd,cou_num,ecu_num,ami_mal,ami_fem,api_mal,api_fem,his_mal,his_fem,blk_mal,blk_fem,wht_mal,wht_fem,tot_mal,tot_fem,tot_mny,tot_tot,eco_dev
98-99,0001,01,AITKIN,01,01,03,0,1,0,1,0,0,1,0,47,32,48,34,3,82,03
98-99,0001,01,AITKIN,02,01,03,1,0,1,0,0,0,0,0,55,43,57,43,2,100,03
98-99,0001,01,AITKIN,03,01,03,0,1,0,0,0,0,0,0,60,41,60,42,1,102,03
98-99,0001,01,AITKIN,04,01,03,0,1,0,0,1,0,0,0,43,38,44,39,2,83,03
98-99,0001,01,AITKIN,05,01,03,0,1,1,0,2,0,0,0,47,39,50,40,4,90,03
98-99,0001,01,AITKIN,06,01,03,1,1,0,0,1,0,0,0,57,50,59,51,3,110,03
98-99,0001,01,AITKIN,07,01,03,4,2,1,1,0,0,0,0,51,37,56,40,8,96,03
98-99,0001,01,AITKIN,08,01,03,1,1,2,1,0,0,2,1,62,58,67,61,8,128,03
98-99,0001,01,AITKIN,09,01,03,2,5,0,0,0,1,0,0,58,58,60,64,8,124,03
98-99,0001,01,AITKIN,10,01,03,0,0,1,1,0,1,0,0,73,42,74,44,3,118,03
98-99,0001,01,AITKIN,11,01,03,1,0,0,0,2,0,0,0,67,53,70,53,3,123,03
98-99,0001,01,AITKIN,12,01,03,1,0,0,1,0,0,0,0,43,59,44,60,2,104,03
98-99,0001,01,AITKIN,KG,01,03,0,2,0,1,0,0,2,0,51,47,53,50,5,103,03
98-99,0001,01,AITKIN,PK,01,03,0,0,0,0,0,0,0,0,14,9,14,9,0,23,03
98-99,0001,03,MINNEAPOLIS,01,27,11,131,139,325,307,209,197,1058,947,631,525,2354,2115,3313,4469,11
98-99,0001,03,MINNEAPOLIS,02,27,11,145,150,319,279,142,162,1006,982,635,584,2247,2157,3185,4404,11
98-99,0001,03,MINNEAPOLIS,03,27,11,126,132,314,283,173,149,996,959,588,626,2197,2149,3132,4346,11
98-99,0001,03,MINNEAPOLIS,04,27,11,111,130,279,301,136,116,965,921,582,574,2073,2042,2959,4115,11
98-99,0001,03,MINNEAPOLIS,05,27,11,108,105,302,265,131,111,895,885,545,569,1981,1935,2802,3916,11
98-99,0001,03,MINNEAPOLIS,06,27,11,114,107,265,251,108,92,834,718,569,493,1890,1661,2489,3551,11
98-99,0001,03,MINNEAPOLIS,07,27,11,119,103,271,267,114,111,758,694,511,495,1773,1670,2437,3443,11
98-99,0001,03,MINNEAPOLIS,08,27,11,107,96,236,234,99,76,767,702,550,524,1759,1632,2317,3391,11
98-99,0001,03,MINNEAPOLIS,09,27,11,115,148,253,314,130,103,829,920,644,570,1971,2055,2812,4026,11
98-99,0001,03,MINNEAPOLIS,10,27,11,87,88,248,257,100,72,660,731,554,561,1649,1709,2243,3358,11
98-99,0001,03,MINNEAPOLIS,11,27,11,45,39,224,198,57,52,493,504,477,545,1296,1338,1612,2634,11
98-99,0001,03,MINNEAPOLIS,12,27,11,37,33,157,190,43,43,351,478,485,519,1073,1263,1332,2336,11
98-99,0001,03,MINNEAPOLIS,KG,27,11,135,124,361,323,229,198,1080,1016,716,626,2521,2287,3466,4808,11
98-99,0001,03,MINNEAPOLIS,PK,27,11,18,8,11,9,18,12,138,54,115,62,300,145,268,445,11
98-99,0002,01,HILL CITY,01,01,03,1,0,0,0,0,1,0,0,19,11,20,12,2,32,03
98-99,0002,01,HILL CITY,02,01,03,1,1,0,0,0,1,0,0,12,13,13,15,3,28,03
98-99,0002,01,HILL CITY,03,01,03,2,0,0,0,0,0,0,0,16,9,18,9,2,27,03
98-99,0002,01,HILL CITY,04,01,03,1,1,0,0,0,0,0,0,6,17,7,18,2,25,03
98-99,0002,01,HILL CITY,05,01,03,1,1,0,0,0,0,0,0,16,12,17,13,2,30,03
98-99,0002,01,HILL CITY,06,01,03,1,1,0,0,1,0,0,0,21,16,23,17,3,40,03
98-99,0002,01,HILL CITY,07,01,03,0,1,0,0,0,1,0,0,15,20,15,22,2,37,03
98-99,0002,01,HILL CITY,08,01,03,2,1,0,0,0,0,0,0,14,17,16,18,3,34,03
98-99,0002,01,HILL CITY,09,01,03,0,2,0,0,0,0,0,0,13,16,13,18,2,31,03
98-99,0002,01,HILL CITY,10,01,03,0,4,0,0,0,0,0,0,18,14,18,18,4,36,03
98-99,0002,01,HILL CITY,11,01,03,2,0,0,0,1,0,0,0,19,16,22,16,3,38,03
98-99,0002,01,HILL CITY,12,01,03,1,1,0,0,0,0,0,0,14,13,15,14,2,29,03
98-99,0002,01,HILL CITY,KG,01,03,0,1,0,0,0,1,0,0,12,10,12,12,2,24,03
98-99,0002,01,HILL CITY,PK,01,03,0,0,0,0,0,0,0,0,2,2,2,2,0,4,03
98-99,0004,01,MCGREGOR,01,01,03,2,9,0,0,0,0,0,1,14,17,16,27,12,43,03
98-99,0004,01,MCGREGOR,02,01,03,3,6,0,0,0,0,0,0,21,17,24,23,9,47,03
98-99,0004,01,MCGREGOR,03,01,03,2,2,0,1,0,0,0,0,21,12,23,15,5,38,03
98-99,0004,01,MCGREGOR,04,01,03,4,4,0,0,0,0,0,0,14,16,18,20,8,38,03
98-99,0004,01,MCGREGOR,05,01,03,3,4,0,0,1,0,0,0,22,14,26,18,8,44,03
98-99,0004,01,MCGREGOR,06,01,03,4,6,0,1,0,0,0,0,18,13,22,20,11,42,03
