DataYear,DistrictCountyNumber,DistrictCountyName,districtNumber,districtType,DistrictName,schoolNumber,SchoolName,ECSUNumber,EconomicDevelopmentRegion,Grade,AMI_Male,AMI_Female,API_Male,API_Female,HIS_Male,HIS_Female,BLK_Male,BLK_Female,WHT_Male,WHT_Female,TotalMale,TotalFemale,TotalMinority,TotalStudents,SchoolLocationCountyNumber,SchoolLocationCountyName,SchoolClassification
02-03,01,Aitkin                                       ,0001,01,AITKIN                             ,000, ,03,03 ,All Grades,6,13,7,5,6,6,8,2,663,614,690,640,53,1330,  , ,  
02-03,01,Aitkin                                       ,0002,01,HILL CITY                          ,000, ,03,03 ,All Grades,6,5,0,0,2,3,0,0,189,166,197,174,16,371,  , ,  
02-03,01,Aitkin                                       ,0004,01,MCGREGOR                           ,000, ,03,03 ,All Grades,52,41,1,2,0,0,0,0,245,208,298,251,96,549,  , ,  
02-03,02,Anoka                                        ,0011,01,ANOKA-HENNEPIN                     ,000, ,11,11 ,All Grades,296,301,870,826,389,375,838,835,18834,17819,21227,20156,4730,41383,  , ,  
02-03,02,Anoka                                        ,0012,01,CENTENNIAL                         ,000, ,11,11 ,All Grades,51,45,73,74,46,55,36,42,3388,3217,3594,3433,422,7027,  , ,  
02-03,02,Anoka                                        ,0013,01,COLUMBIA HEIGHTS                   ,000, ,11,11 ,All Grades,55,56,100,88,121,106,216,254,997,1037,1489,1541,996,3030,  , ,  
02-03,02,Anoka                                        ,0014,01,FRIDLEY                            ,000, ,11,11 ,All Grades,40,34,92,90,43,38,155,169,1005,927,1335,1258,661,2593,  , ,  
02-03,02,Anoka                                        ,0015,01,ST. FRANCIS                        ,000, ,11,11 ,All Grades,42,40,49,55,37,42,62,24,2933,2689,3123,2850,351,5973,  , ,  
02-03,02,Anoka                                        ,0016,01,SPRING LAKE PARK                   ,000, ,11,11 ,All Grades,39,38,111,113,70,73,69,85,1852,1808,2141,2117,598,4258,  , ,  
02-03,02,Anoka                                        ,4008,07,PACT CHARTER SCHOOL                ,000, ,11,11 ,All Grades,0,1,1,1,1,0,3,1,160,147,165,150,8,315,  , ,  
02-03,02,Anoka                                        ,4049,07,COON RAPIDS LEARNING CENTER        ,000, ,11,11 ,All Grades,1,2,1,0,0,1,1,4,100,60,103,67,10,170,  , ,  
02-03,03,Becker                                       ,0022,01,DETROIT LAKES                      ,000, ,04,04 ,All Grades,158,187,9,9,15,20,13,16,1230,1194,1425,1426,427,2851,  , ,  
02-03,03,Becker                                       ,0023,01,FRAZEE                             ,000, ,04,04 ,All Grades,47,41,3,3,5,5,3,4,554,550,612,603,111,1215,  , ,  
02-03,03,Becker                                       ,0025,01,PINE POINT                         ,000, ,04,04 ,All Grades,27,28,0,0,0,0,0,0,1,0,28,28,55,56,  , ,  
02-03,03,Becker                                       ,0397,52,LAKE AGASSIZ SP. ED. COOP.         ,000, ,04,04 ,All Grades,0,0,0,0,3,0,0,1,12,11,15,12,4,27,  , ,  
02-03,03,Becker                                       ,2889,01,LAKE PARK AUDUBON DISTRICT         ,000, ,04,04 ,All Grades,4,6,3,6,4,3,2,0,350,303,363,318,28,681,  , ,  
02-03,04,Beltrami                                     ,0031,01,BEMIDJI                            ,000, ,01,02 ,All Grades,465,409,19,24,27,18,33,33,2208,1976,2752,2460,1028,5212,  , ,  
02-03,04,Beltrami                                     ,0032,01,BLACKDUCK                          ,000, ,01,02 ,All Grades,37,36,0,1,4,3,5,7,347,376,393,423,93,816,  , ,  
02-03,04,Beltrami                                     ,0036,01,KELLIHER                           ,000, ,01,02 ,All Grades,36,39,1,0,0,0,4,1,112,89,153,129,81,282,  , ,  
02-03,04,Beltrami                                     ,0038,01,RED LAKE                           ,000, ,01,02 ,All Grades,739,696,0,0,0,0,0,0,0,0,739,696,1435,1435,  , ,  
02-03,04,Beltrami                                     ,4058,07,SCHOOLCRAFT LEARNING COMMUNITY CHTR,000, ,01,02 ,All Grades,1,4,0,1,0,0,0,0,76,79,77,84,6,161,  , ,  
02-03,05,Benton                                       ,0047,01,SAUK RAPIDS                        ,000, ,07,07W,All Grades,3,2,18,19,11,5,15,14,1781,1732,1828,1772,87,3600,  , ,  
02-03,05,Benton                                       ,0051,01,FOLEY                              ,000, ,07,07W,All Grades,2,6,4,0,3,0,6,6,848,786,863,798,27,1661,  , ,  
02-03,06,Big Stone                                    ,0062,01,ORTONVILLE                         ,000, ,06,06W,All Grades,3,7,0,0,4,2,0,3,328,278,335,290,19,625,  , ,  
02-03,06,Big Stone                                    ,2888,01,CLINTON-GRACEVILLE-BEARDSLEY       ,000, ,06,06W,All Grades,5,4,2,2,3,1,1,0,259,241,270,248,18,518,  , ,  
02-03,07,Blue Earth                                   ,0075,01,ST. CLAIR                          ,000, ,09,09 ,All Grades,0,0,0,0,0,0,1,0,346,312,347,312,1,659,  , ,  
02-03,07,Blue Earth                                   ,0077,01,MANKATO                            ,000, ,09,09 ,All Grades,20,15,95,85,117,103,175,145,3237,3098,3644,3446,755,7090,  , ,  
02-03,07,Blue Earth                                   ,2071,01,LAKE CRYSTAL-WELLCOME MEMORIAL     ,000, ,09,09 ,All Grades,0,2,0,5,5,1,7,2,447,385,459,395,22,854,  , ,  
02-03,07,Blue Earth                                   ,2135,01,MAPLE RIVER                        ,000, ,09,09 ,All Grades,1,1,4,3,8,5,7,3,635,631,655,643,32,1298,  , ,  
02-03,07,Blue Earth                                   ,4066,07,RIVERBEND ACADEMY CHARTER SCHOOL   ,000, ,09,09 ,All Grades,0,1,3,0,4,2,0,1,68,53,75,57,11,132,  , ,  
02-03,08,Brown                                        ,0081,01,COMFREY                            ,000, ,09,09 ,All Grades,0,0,0,0,5,2,0,0,96,74,101,76,7,177,  , ,  
02-03,08,Brown                                        ,0084,01,SLEEPY EYE                         ,000, ,09,09 ,All Grades,0,1,4,3,94,73,0,0,254,231,352,308,175,660,  , ,  
02-03,08,Brown                                        ,0085,01,SPRINGFIELD                        ,000, ,09,09 ,All Grades,0,1,0,2,5,4,0,0,343,332,348,339,12,687,  , ,  
02-03,08,Brown                                        ,0088,01,NEW ULM                            ,000, ,09,09 ,All Grades,4,1,8,8,17,21,9,4,1229,1114,1267,1148,72,2415,  , ,  
02-03,08,Brown                                        ,4051,07,HANSKA CHARTER SCHOOL              ,000, ,09,09 ,All Grades,0,0,0,0,0,0,0,0,17,9,17,9,0,26,  , ,  
02-03,09,Carlton                                      ,0091,01,BARNUM                             ,000, ,03,03 ,All Grades,19,6,2,2,2,1,2,3,328,295,353,307,37,660,  , ,  
02-03,09,Carlton                                      ,0093,01,CARLTON                            ,000, ,03,03 ,All Grades,50,33,0,0,0,0,0,0,311,304,361,337,83,698,  , ,  
02-03,09,Carlton                                      ,0094,01,CLOQUET                            ,000, ,03,03 ,All Grades,187,181,12,9,9,11,10,7,968,987,1186,1195,426,2381,  , ,  
02-03,09,Carlton                                      ,0095,01,CROMWELL-WRIGHT                    ,000, ,03,03 ,All Grades,1,0,2,4,0,0,1,0,159,145,163,149,8,312,  , ,  
02-03,09,Carlton                                      ,0097,01,MOOSE LAKE                         ,000, ,03,03 ,All Grades,6,4,4,5,4,4,1,3,407,361,422,377,31,799,  , ,  
02-03,09,Carlton                                      ,0099,01,ESKO                               ,000, ,03,03 ,All Grades,2,0,3,4,4,2,3,1,555,523,567,530,19,1097,  , ,  
02-03,09,Carlton                                      ,0100,01,WRENSHALL                          ,000, ,03,03 ,All Grades,1,3,0,2,0,0,0,2,203,184,204,191,8,395,  , ,  
02-03,10,Carver                                       ,0108,01,NORWOOD                            ,000, ,11,11 ,All Grades,3,3,8,11,18,9,8,5,494,491,531,519,65,1050,  , ,  
02-03,10,Carver                                       ,0110,01,WACONIA                            ,000, ,11,11 ,All Grades,5,6,13,23,17,19,14,14,1166,1050,1215,1112,111,2327,  , ,  
02-03,10,Carver                                       ,0111,01,WATERTOWN-MAYER                    ,000, ,11,11 ,All Grades,1,3,14,14,6,7,3,6,695,671,719,701,54,1420,  , ,  
02-03,10,Carver                                       ,0112,01,CHASKA                             ,000, ,11,11 ,All Grades,7,6,106,119,191,173,68,63,3679,3392,4051,3753,733,7804,  , ,  
02-03,10,Carver                                       ,0930,53,CARVER-SCOTT EDUCATIONAL COOP.     ,000, ,11,11 ,All Grades,4,6,2,1,5,14,6,5,207,143,224,169,43,393,  , ,  
02-03,10,Carver                                       ,4016,07,WORLD LEARNER CHARTER SCHOOL       ,000, ,11,11 ,All Grades,0,1,2,2,1,1,0,0,52,40,55,44,7,99,  , ,  
02-03,11,Cass                                         ,0113,01,WALKER-HACKENSACK-AKELEY           ,000, ,05,05 ,All Grades,108,93,2,2,5,3,1,0,420,366,536,464,214,1000,  , ,  
02-03,11,Cass                                         ,0115,01,CASS LAKE-BENA SCHOOLS             ,000, ,05,05 ,All Grades,476,484,2,4,0,2,1,1,106,105,585,596,970,1181,  , ,  
02-03,11,Cass                                         ,0116,01,PILLAGER                           ,000, ,05,05 ,All Grades,3,1,2,4,0,0,0,2,407,358,412,365,12,777,  , ,  
02-03,11,Cass                                         ,0118,01,NORTHLAND COMMUNITY SCHOOLS        ,000, ,05,05 ,All Grades,50,52,0,0,0,0,2,2,221,236,273,290,106,563,  , ,  
02-03,11,Cass                                         ,2174,01,PINE RIVER-BACKUS                  ,000, ,05,05 ,All Grades,3,10,7,3,4,2,6,4,567,551,587,570,39,1157,  , ,  
02-03,11,Cass                                         ,4080,07,PILLAGER AREA CHARTER SCHOOL       ,000, ,05,05 ,All Grades,0,1,0,0,0,0,0,0,29,17,29,18,1,47,  , ,  
02-03,12,Chippewa                                     ,0129,01,MONTEVIDEO                         ,000, ,06,06W,All Grades,2,0,5,5,31,27,4,5,746,703,788,740,79,1528,  , ,  
02-03,12,Chippewa                                     ,2180,01,M.A.C.C.R.A.Y.                     ,000, ,06,06W,All Grades,0,1,0,1,26,27,5,1,433,397,464,427,61,891,  , ,  
02-03,12,Chippewa                                     ,6018,61,MINNESOTA RIVER VALLEY ED. DISTRICT,000, ,06,06W,All Grades,0,0,0,0,4,8,0,0,52,44,56,52,12,108,  , ,  
02-03,13,Chisago                                      ,0138,01,NORTH BRANCH                       ,000, ,07,07E,All Grades,17,14,27,32,22,27,13,17,1919,1809,1998,1899,169,3897,  , ,  
02-03,13,Chisago                                      ,0139,01,RUSH CITY                          ,000, ,07,07E,All Grades,7,5,9,4,7,5,7,5,510,437,540,456,49,996,  , ,  
02-03,13,Chisago                                      ,2144,01,CHISAGO LAKES                      ,000, ,07,07E,All Grades,10,12,36,39,16,15,21,17,1754,1606,1837,1689,166,3526,  , ,  
02-03,13,Chisago                                      ,4095,07,TRIO WOLF CREEK DISTANCE LEARNING  ,000, ,07,07E,All Grades,0,0,0,0,0,0,0,0,19,28,19,28,0,47,  , ,  
