DataYear,DistrictCountyNumber,DistrictCountyName,districtNumber,districtType,DistrictName,schoolNumber,SchoolName,ECSUNumber,EconomicDevelopmentRegion,Grade,AMI_Male,AMI_Female,API_Male,API_Female,HIS_Male,HIS_Female,BLK_Male,BLK_Female,WHT_Male,WHT_Female,TotalMale,TotalFemale,TotalMinority,TotalStudents,Entity,MinMaxGrade,SchoolLocationCountyNumber,SchoolLocationCountyName,SchoolClassification
12-13,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,EC,0,0,0,0,0,0,0,0,10,8,10,8,0,18,District,EC-12,, ,
12-13,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,KG,0,0,0,0,2,0,0,0,49,42,51,42,2,93,District,EC-12,, ,
12-13,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,01,0,1,1,0,1,0,1,2,41,40,44,43,6,87,District,EC-12,, ,
12-13,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,02,0,0,0,1,0,1,2,0,53,36,55,38,4,93,District,EC-12,, ,
12-13,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,03,0,0,0,2,1,0,1,0,53,49,55,51,4,106,District,EC-12,, ,
12-13,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,04,1,1,0,0,0,0,1,1,51,51,53,53,4,106,District,EC-12,, ,
12-13,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,05,1,0,0,1,0,0,0,0,36,37,37,38,2,75,District,EC-12,, ,
12-13,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,06,1,1,0,0,1,1,1,3,44,43,47,48,8,95,District,EC-12,, ,
12-13,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,07,0,0,1,0,0,0,0,2,38,45,39,47,3,86,District,EC-12,, ,
12-13,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,08,1,1,0,0,0,1,2,3,52,44,55,49,8,104,District,EC-12,, ,
12-13,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,09,0,0,0,0,0,0,1,0,59,54,60,54,1,114,District,EC-12,, ,
12-13,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,10,0,0,1,0,1,0,1,1,44,47,47,48,4,95,District,EC-12,, ,
12-13,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,11,1,2,0,0,0,1,1,1,40,56,42,60,6,102,District,EC-12,, ,
12-13,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,12,2,0,0,1,0,0,1,0,53,53,56,54,4,110,District,EC-12,, ,
12-13,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,All Grades,7,6,3,5,6,4,12,13,623,605,651,633,56,1284,District,EC-12,, ,
12-13,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11,EC,14,9,15,11,40,31,182,101,297,175,548,327,403,875,District,EC-12,, ,
12-13,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11,KG,74,84,140,119,109,53,572,574,832,893,1727,1723,1725,3450,District,EC-12,, ,
12-13,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11,01,94,82,107,109,168,161,567,485,712,726,1648,1563,1773,3211,District,EC-12,, ,
12-13,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11,02,64,78,89,98,275,268,525,460,594,617,1547,1521,1857,3068,District,EC-12,, ,
12-13,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11,03,79,68,93,111,294,254,577,489,519,518,1562,1440,1965,3002,District,EC-12,, ,
12-13,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11,04,72,76,84,82,227,248,486,414,498,483,1367,1303,1689,2670,District,EC-12,, ,
12-13,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11,05,51,80,77,92,249,241,478,446,437,450,1292,1309,1714,2601,District,EC-12,, ,
12-13,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11,06,80,60,73,94,231,206,492,443,395,397,1271,1200,1679,2471,District,EC-12,, ,
12-13,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11,07,57,69,92,97,211,195,479,416,399,381,1238,1158,1616,2396,District,EC-12,, ,
12-13,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11,08,55,52,77,89,204,197,446,413,368,332,1150,1083,1533,2233,District,EC-12,, ,
12-13,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11,09,53,64,100,113,173,130,436,426,361,383,1123,1116,1495,2239,District,EC-12,, ,
12-13,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11,10,56,40,116,108,176,137,403,448,362,372,1113,1105,1484,2218,District,EC-12,, ,
12-13,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11,11,45,37,114,121,154,144,426,399,364,325,1103,1026,1440,2129,District,EC-12,, ,
12-13,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11,12,57,55,137,131,215,186,588,567,394,369,1391,1308,1936,2699,District,EC-12,, ,
12-13,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11,All Grades,851,854,1314,1375,2726,2451,6657,6081,6532,6421,18080,17182,22309,35262,District,EC-12,, ,
12-13,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,03,EC,0,0,0,0,0,1,0,0,9,4,9,5,1,14,District,EC-12,, ,
12-13,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,03,KG,0,0,0,0,0,1,0,0,11,8,11,9,1,20,District,EC-12,, ,
12-13,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,03,01,0,0,0,0,1,0,0,0,8,8,9,8,1,17,District,EC-12,, ,
12-13,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,03,02,0,0,0,0,0,0,1,0,17,6,18,6,1,24,District,EC-12,, ,
12-13,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,03,03,0,0,0,0,0,0,0,1,9,16,9,17,1,26,District,EC-12,, ,
12-13,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,03,04,0,0,0,0,0,0,0,0,9,7,9,7,0,16,District,EC-12,, ,
12-13,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,03,05,0,0,0,0,1,0,0,0,9,9,10,9,1,19,District,EC-12,, ,
12-13,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,03,06,0,2,0,0,0,0,0,0,9,9,9,11,2,20,District,EC-12,, ,
12-13,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,03,07,0,0,0,0,0,1,0,0,11,5,11,6,1,17,District,EC-12,, ,
12-13,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,03,08,1,0,0,0,0,0,0,0,12,9,13,9,1,22,District,EC-12,, ,
12-13,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,03,09,0,0,0,0,0,0,0,0,7,12,7,12,0,19,District,EC-12,, ,
12-13,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,03,10,0,1,0,0,0,0,0,0,17,19,17,20,1,37,District,EC-12,, ,
12-13,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,03,11,1,0,0,0,0,0,0,0,10,6,11,6,1,17,District,EC-12,, ,
12-13,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,03,12,0,0,0,0,0,0,0,0,13,8,13,8,0,21,District,EC-12,, ,
12-13,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,03,All Grades,2,3,0,0,2,3,1,1,151,126,156,133,12,289,District,EC-12,, ,
12-13,01,Aitkin                                       ,0004,01,MCGREGOR PUBLIC SCHOOL DISTRICT    ,000, ,03,03,EC,1,1,0,0,0,0,0,0,2,0,3,1,2,4,District,EC-12,, ,
12-13,01,Aitkin                                       ,0004,01,MCGREGOR PUBLIC SCHOOL DISTRICT    ,000, ,03,03,KG,7,5,0,0,0,0,0,0,10,17,17,22,12,39,District,EC-12,, ,
12-13,01,Aitkin                                       ,0004,01,MCGREGOR PUBLIC SCHOOL DISTRICT    ,000, ,03,03,01,2,3,0,0,1,0,0,0,14,8,17,11,6,28,District,EC-12,, ,
12-13,01,Aitkin                                       ,0004,01,MCGREGOR PUBLIC SCHOOL DISTRICT    ,000, ,03,03,02,6,1,0,1,0,0,0,0,9,10,15,12,8,27,District,EC-12,, ,
12-13,01,Aitkin                                       ,0004,01,MCGREGOR PUBLIC SCHOOL DISTRICT    ,000, ,03,03,03,3,4,0,0,0,0,0,0,7,16,10,20,7,30,District,EC-12,, ,
12-13,01,Aitkin                                       ,0004,01,MCGREGOR PUBLIC SCHOOL DISTRICT    ,000, ,03,03,04,4,3,0,0,0,1,1,0,15,14,20,18,9,38,District,EC-12,, ,
12-13,01,Aitkin                                       ,0004,01,MCGREGOR PUBLIC SCHOOL DISTRICT    ,000, ,03,03,05,7,3,0,0,0,1,1,0,14,11,22,15,12,37,District,EC-12,, ,
