DistrictNumber,districtType,districtName,year,percentMinority
2396,01,A.C.G.C. PUBLIC SCHOOL DISTRICT,2000,0.0136585365853659
4073,07,ACADEMIA CESAR CHAVEZ CHARTER SCH.,2000,NA
4119,07,ACADEMIC ARTS HIGH SCHOOL,2000,NA
4018,07,ACHIEVE LANGUAGE ACADEMY,2000,0.845238095238095
2854,01,ADA-BORUP PUBLIC SCHOOL DISTRICT,2000,0.0889679715302491
0511,01,ADRIAN PUBLIC SCHOOL DISTRICT,2000,0.0334788937409025
4074,07,AFSA HIGH SCHOOL,2000,NA
4220,07,AGAMIM CLASSICAL ACADEMY,2000,NA
0001,01,AITKIN PUBLIC SCHOOL DISTRICT,2000,0.0374909877433309
0745,01,ALBANY PUBLIC SCHOOL DISTRICT,2000,0.0114734299516908
0241,01,ALBERT LEA PUBLIC SCHOOL DISTRICT,2000,0.118057285180573
0242,01,ALDEN-CONGER PUBLIC SCHOOL DISTRICT,2000,0.0474040632054176
0206,01,ALEXANDRIA PUBLIC SCHOOL DISTRICT,2000,0.0167058823529412
0876,01,ANNANDALE PUBLIC SCHOOL DISTRICT,2000,0.0172326406487582
0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,2000,0.0827311785958403
4091,07,ARCADIA CHARTER SCHOOL,2000,NA
4227,07,ART AND SCIENCE ACADEMY,2000,NA
0261,01,ASHBY PUBLIC SCHOOL DISTRICT,2000,0.0288184438040346
4184,07,ASPEN ACADEMY,2000,NA
4250,07,Athlos Academy of Saint Cloud,2000,NA
4011,07,ATHLOS LEADERSHIP ACADEMY,2000,0.703125
4111,07,AUGSBURG FAIRVIEW ACADEMY,2000,NA
4067,07,AURORA CHARTER SCHOOL,2000,NA
6095,52,Austin Albert Lea Area Special Educ,2000,NA
0492,01,AUSTIN PUBLIC SCHOOL DISTRICT,2000,0.10092807424594
4075,07,AVALON SCHOOL,2000,NA
0676,01,BADGER PUBLIC SCHOOL DISTRICT,2000,0.021551724137931
0162,01,BAGLEY PUBLIC SCHOOL DISTRICT,2000,0.126859142607174
0146,01,BARNESVILLE PUBLIC SCHOOL DIST.,2000,0.0197368421052632
0091,01,BARNUM PUBLIC SCHOOL DISTRICT,2000,0.0499243570347958
0542,01,BATTLE LAKE PUBLIC SCHOOL DISTRICT,2000,0.0473588342440801
