districtNumber,districtType,districtName,year,totalStudents
0001,01,AITKIN PUBLIC SCHOOL DISTRICT,2018,1176
0001,03,MINNEAPOLIS PUBLIC SCHOOL DISTRICT,2018,36357
0002,01,HILL CITY PUBLIC SCHOOL DISTRICT,2018,282
0004,01,MCGREGOR PUBLIC SCHOOL DISTRICT,2018,483
0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST.,2018,3554
0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,2018,38764
0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT,2018,6707
0013,01,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,2018,3322
0014,01,FRIDLEY PUBLIC SCHOOL DISTRICT,2018,3207
0015,01,ST. FRANCIS PUBLIC SCHOOL DISTRICT,2018,4568
0016,01,SPRING LAKE PARK PUBLIC SCHOOLS,2018,5877
0022,01,DETROIT LAKES PUBLIC SCHOOL DIST.,2018,3081
0023,01,FRAZEE-VERGAS PUBLIC SCHOOL DIST.,2018,927
0025,01,PINE POINT PUBLIC SCHOOL DISTRICT,2018,64
0031,01,BEMIDJI PUBLIC SCHOOL DISTRICT,2018,5231
0032,01,BLACKDUCK PUBLIC SCHOOL DISTRICT,2018,642
0036,01,KELLIHER PUBLIC SCHOOL DISTRICT,2018,281
0038,01,RED LAKE PUBLIC SCHOOL DISTRICT,2018,1583
0047,01,SAUK RAPIDS-RICE PUBLIC SCHOOLS,2018,4607
0051,01,FOLEY PUBLIC SCHOOL DISTRICT,2018,1982
0075,01,ST. CLAIR PUBLIC SCHOOL DISTRICT,2018,677
0077,01,MANKATO PUBLIC SCHOOL DISTRICT,2018,8780
0081,01,COMFREY PUBLIC SCHOOL DISTRICT,2018,144
0084,01,SLEEPY EYE PUBLIC SCHOOL DISTRICT,2018,618
0085,01,SPRINGFIELD PUBLIC SCHOOL DISTRICT,2018,558
0088,01,NEW ULM PUBLIC SCHOOL DISTRICT,2018,2105
0091,01,BARNUM PUBLIC SCHOOL DISTRICT,2018,752
0093,01,CARLTON PUBLIC SCHOOL DISTRICT,2018,464
0094,01,CLOQUET PUBLIC SCHOOL DISTRICT,2018,2625
0095,01,CROMWELL-WRIGHT PUBLIC SCHOOLS,2018,321
0097,01,MOOSE LAKE PUBLIC SCHOOL DISTRICT,2018,670
0099,01,ESKO PUBLIC SCHOOL DISTRICT,2018,1267
0100,01,WRENSHALL PUBLIC SCHOOL DISTRICT,2018,392
0108,01,CENTRAL PUBLIC SCHOOL DISTRICT,2018,1029
0110,01,WACONIA PUBLIC SCHOOL DISTRICT,2018,4084
0111,01,WATERTOWN-MAYER PUBLIC SCHOOL DIST.,2018,1574
0112,01,EASTERN CARVER COUNTY PUBLIC SCHOOL,2018,9847
0113,01,WALKER-HACKENSACK-AKELEY SCHL. DIST,2018,804
0115,01,CASS LAKE-BENA PUBLIC SCHOOLS,2018,1207
0116,01,PILLAGER PUBLIC SCHOOL DISTRICT,2018,1112
0118,01,NORTHLAND COMMUNITY SCHOOLS,2018,345
0129,01,MONTEVIDEO PUBLIC SCHOOL DISTRICT,2018,1404
