DataYear,DistrictCouNum,DistrictCountyName,districtNumber,districtType,DistrictName,schoolNumber,SchoolName,ECSUNumber,EconomicDevelopmentRegion,grade,K12Enr,FreeK12,RedK12,LEPK12,SPEK12,EC12Enr,Free-EC12,Red-EC12,LEP-EC12,SPE-EC12,SchoolLocationCountyNumber,SchoolLocationCountyName,SchoolClassification
06-07,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03 ,EC,,,,,,15,4,,,15,  , ,  
06-07,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03 ,KG,98,35,15,,10,98,35,15,,10,  , ,  
06-07,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03 ,01,83,20,10,,7,83,20,10,,7,  , ,  
06-07,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03 ,02,100,23,14,,12,100,23,14,,12,  , ,  
06-07,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03 ,03,111,28,13,,12,111,28,13,,12,  , ,  
06-07,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03 ,04,86,22,12,,8,86,22,12,,8,  , ,  
06-07,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03 ,05,99,20,14,,15,99,20,14,,15,  , ,  
06-07,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03 ,06,102,19,18,,12,102,19,18,,12,  , ,  
06-07,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03 ,07,99,23,14,1,16,99,23,14,1,16,  , ,  
06-07,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03 ,08,104,28,12,,11,104,28,12,,11,  , ,  
06-07,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03 ,09,94,23,14,1,13,94,23,14,1,13,  , ,  
06-07,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03 ,10,112,21,15,,16,112,21,15,,16,  , ,  
06-07,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03 ,11,124,25,19,,17,124,25,19,,17,  , ,  
06-07,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03 ,12,108,22,10,,5,108,22,10,,5,  , ,  
06-07,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03 ,All Grades,1320,309,180,2,154,1335,313,180,2,169,  , ,  
06-07,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11 ,EC,,,,,,696,360,30,184,696,  , ,  
06-07,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11 ,KG,3108,1749,212,843,241,3108,1749,212,843,241,  , ,  
06-07,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11 ,01,3033,1757,235,822,273,3033,1757,235,822,273,  , ,  
06-07,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11 ,02,2824,1697,180,789,329,2824,1697,180,789,329,  , ,  
06-07,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11 ,03,2719,1584,221,729,390,2719,1584,221,729,390,  , ,  
06-07,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11 ,04,2598,1523,213,599,404,2598,1523,213,599,404,  , ,  
06-07,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11 ,05,2482,1460,170,587,377,2482,1460,170,587,377,  , ,  
06-07,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11 ,06,2417,1512,195,518,442,2417,1512,195,518,442,  , ,  
06-07,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11 ,07,2485,1518,195,538,423,2485,1518,195,538,423,  , ,  
06-07,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11 ,08,2533,1583,191,522,479,2533,1583,191,522,479,  , ,  
06-07,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11 ,09,3054,1849,208,717,450,3054,1849,208,717,450,  , ,  
06-07,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11 ,10,3160,1828,232,818,435,3160,1828,232,818,435,  , ,  
