DataYear,DistrictCouNum,DistrictCountyName,districtNumber,districtType,DistrictName,schoolNumber,SchoolName,ECSUNumber,EconomicDevelopmentRegion,Grade,K12Enr,FreeK12,RedK12,LEPK12,SPEK12,EC12Enr,Free-EC12,Red-EC12,LEP-EC12,SPE-EC12,SchoolLocationCountyNumber,SchoolLocationCountyName,SchoolClassification,
07-08,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03 ,All Grades,1286,333,166,2,161,1308,338,166,2,183,  , ,  ,
07-08,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03 ,EC,,,,,,22,5,0,0,22,  , ,  ,
07-08,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03 ,KG,,,,,,77,25,13,0,10,  , ,  ,
07-08,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03 ,01,,,,,,97,35,19,0,10,  , ,  ,
07-08,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03 ,02,,,,,,84,21,11,0,8,  , ,  ,
07-08,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03 ,03,,,,,,99,24,10,0,11,  , ,  ,
07-08,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03 ,04,,,,,,107,25,12,0,11,  , ,  ,
07-08,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03 ,05,,,,,,88,24,13,0,9,  , ,  ,
07-08,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03 ,06,,,,,,98,28,10,0,16,  , ,  ,
07-08,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03 ,07,,,,,,102,26,15,0,11,  , ,  ,
