DataYear,DistrictCouNum,DistrictCountyName,districtNumber,districtType,DistrictName,schoolNumber,SchoolName,ECSUNumber,EconomicDevelopmentRegion,Grade,K12Enr,FreeK12,RedK12,LEPIdentifiedK12,LEPServedK12,SPEK12,EC12Enr,Free-EC12,Red-EC12,LEPIdentifiedEC12,LEPServedEC12,SPE-EC12,SchoolLocationCountyNumber,SchoolLocationCountyName,MinMaxGrade,SchoolClassification
11-12,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03 ,EC        ,NULL,NULL,NULL,NULL,NULL,NULL,29,16,1,NULL,NULL,29,  , ,EC-12,  
11-12,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03 ,KG        ,80,33,12,NULL,NULL,14,80,33,12,NULL,NULL,14,  , ,EC-12,  
11-12,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03 ,01        ,93,40,12,NULL,NULL,9,93,40,12,NULL,NULL,9,  , ,EC-12,  
11-12,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03 ,02        ,109,42,8,NULL,NULL,9,109,42,8,NULL,NULL,9,  , ,EC-12,  
11-12,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03 ,03        ,109,48,12,NULL,NULL,13,109,48,12,NULL,NULL,13,  , ,EC-12,  
11-12,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03 ,04        ,72,24,6,NULL,NULL,10,72,24,6,NULL,NULL,10,  , ,EC-12,  
11-12,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03 ,05        ,89,35,9,NULL,NULL,9,89,35,9,NULL,NULL,9,  , ,EC-12,  
11-12,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03 ,06        ,85,27,9,NULL,NULL,5,85,27,9,NULL,NULL,5,  , ,EC-12,  
11-12,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03 ,07        ,100,34,10,NULL,NULL,13,100,34,10,NULL,NULL,13,  , ,EC-12,  
11-12,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03 ,08        ,112,30,12,NULL,NULL,16,112,30,12,NULL,NULL,16,  , ,EC-12,  
11-12,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03 ,09        ,87,25,11,NULL,NULL,9,87,25,11,NULL,NULL,9,  , ,EC-12,  
11-12,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03 ,10        ,102,33,11,NULL,NULL,14,102,33,11,NULL,NULL,14,  , ,EC-12,  
11-12,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03 ,11        ,101,29,15,NULL,NULL,16,101,29,15,NULL,NULL,16,  , ,EC-12,  
11-12,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03 ,12        ,105,27,11,1,1,21,105,27,11,1,1,21,  , ,EC-12,  
11-12,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03 ,All Grades,1244,427,138,1,1,158,1273,443,139,1,1,187,  , ,EC-12,  
11-12,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11 ,EC        ,NULL,NULL,NULL,NULL,NULL,NULL,933,582,36,304,2,933,  , ,EC-12,  
11-12,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11 ,KG        ,3327,1968,179,991,931,321,3327,1968,179,991,931,321,  , ,EC-12,  
11-12,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11 ,01        ,3163,1799,169,928,887,336,3163,1799,169,928,887,336,  , ,EC-12,  
11-12,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11 ,02        ,3026,1770,155,831,808,400,3026,1770,155,831,808,400,  , ,EC-12,  
11-12,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11 ,03        ,2702,1576,131,719,680,376,2702,1576,131,719,680,376,  , ,EC-12,  
11-12,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11 ,04        ,2650,1614,144,669,654,477,2650,1614,144,669,654,477,  , ,EC-12,  
11-12,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11 ,05        ,2548,1537,146,586,555,479,2548,1537,146,586,555,479,  , ,EC-12,  
11-12,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11 ,06        ,2372,1458,123,498,478,421,2372,1458,123,498,478,421,  , ,EC-12,  
11-12,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11 ,07        ,2241,1393,117,485,463,458,2241,1393,117,485,463,458,  , ,EC-12,  
11-12,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11 ,08        ,2137,1317,107,411,376,445,2137,1317,107,411,376,445,  , ,EC-12,  
11-12,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11 ,09        ,2232,1352,162,377,356,425,2232,1352,162,377,356,425,  , ,EC-12,  
