DataYear,DistrictCouNum,DistrictCountyName,districtNumber,districtType,DistrictName,schoolNumber,SchoolName,ECSUNumber,EconomicDevelopmentRegion,Grade,K12Enr,FreeK12,RedK12,LEPIdentifiedK12,LEPServedK12,SPEK12,HMLK12,EC12Enr,Free-EC12,Red-EC12,LEPIdentifiedEC12,LEPServedEC12,SPE-EC12,HML-EC12,SchoolLocationCountyNumber,SchoolLocationCountyName,MinMaxGrade,SchoolClassification
15-16,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,EC,,,,,,,,13,4,3,,,13,,, ,EC-12,
15-16,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,KG,83,35,10,,,14,,83,35,10,,,14,,, ,EC-12,
15-16,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,01,67,25,9,,,12,,67,25,9,,,12,,, ,EC-12,
15-16,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,02,94,33,16,,,12,,94,33,16,,,12,,, ,EC-12,
15-16,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,03,92,44,9,,,14,,92,44,9,,,14,,, ,EC-12,
15-16,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,04,81,23,14,,,8,,81,23,14,,,8,,, ,EC-12,
15-16,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,05,98,36,11,,,10,,98,36,11,,,10,,, ,EC-12,
15-16,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,06,105,29,15,,,14,,105,29,15,,,14,,, ,EC-12,
15-16,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,07,102,28,17,,,8,,102,28,17,,,8,,, ,EC-12,
15-16,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,08,82,25,8,,,14,,82,25,8,,,14,,, ,EC-12,
15-16,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,09,89,28,14,,,10,,89,28,14,,,10,,, ,EC-12,
15-16,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,10,89,25,10,,,7,,89,25,10,,,7,,, ,EC-12,
15-16,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,11,92,22,7,,,15,,92,22,7,,,15,,, ,EC-12,
15-16,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,12,113,25,12,,,20,,113,25,12,,,20,,, ,EC-12,
15-16,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,000, ,03,03,All Grades,1187,378,152,,,158,,1200,382,155,,,171,,, ,EC-12,
15-16,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11,EC,,,,,,,,863,519,42,270,,863,32,, ,EC-12,
15-16,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11,KG,3134,1691,193,673,669,272,132,3134,1691,193,673,669,272,132,, ,EC-12,
15-16,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11,01,3164,1781,159,782,781,338,229,3164,1781,159,782,781,338,229,, ,EC-12,
15-16,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11,02,3155,1793,169,821,816,359,219,3155,1793,169,821,816,359,219,, ,EC-12,
15-16,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11,03,3181,1890,177,938,920,424,204,3181,1890,177,938,920,424,204,, ,EC-12,
15-16,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11,04,2975,1713,160,878,872,418,192,2975,1713,160,878,872,418,192,, ,EC-12,
15-16,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11,05,2860,1617,158,732,722,468,178,2860,1617,158,732,722,468,178,, ,EC-12,
15-16,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11,06,2587,1470,127,661,658,441,152,2587,1470,127,661,658,441,152,, ,EC-12,
15-16,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11,07,2335,1311,143,526,525,376,137,2335,1311,143,526,525,376,137,, ,EC-12,
15-16,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11,08,2276,1340,133,527,518,444,156,2276,1340,133,527,518,444,156,, ,EC-12,
15-16,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11,09,2499,1451,151,590,582,426,144,2499,1451,151,590,582,426,144,, ,EC-12,
15-16,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11,10,2550,1454,152,587,577,433,128,2550,1454,152,587,577,433,128,, ,EC-12,
15-16,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11,11,2350,1338,124,515,505,415,107,2350,1338,124,515,505,415,107,, ,EC-12,
15-16,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11,12,2716,1499,156,475,464,644,142,2716,1499,156,475,464,644,142,, ,EC-12,
15-16,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,000, ,11,11,All Grades,35782,20348,2002,8705,8609,5458,2120,36645,20867,2044,8975,8609,6321,2152,, ,EC-12,
15-16,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,03,EC,,,,,,,,8,7,1,,,8,,, ,EC-12,
15-16,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,03,KG,15,6,4,,,6,,15,6,4,,,6,,, ,EC-12,
15-16,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,03,01,11,7,,,,3,,11,7,,,,3,,, ,EC-12,
15-16,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,03,02,21,12,3,,,4,,21,12,3,,,4,,, ,EC-12,
15-16,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,03,03,18,6,5,,,2,,18,6,5,,,2,,, ,EC-12,
15-16,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,03,04,15,8,2,,,1,,15,8,2,,,1,,, ,EC-12,
15-16,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,03,05,28,15,3,,,6,,28,15,3,,,6,,, ,EC-12,
15-16,01,Aitkin                                       ,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,000, ,03,03,06,29,15,4,,,1,,29,15,4,,,1,,, ,EC-12,
