DistrictNumber,DistrictType,districtName,year,percentLunch
0001,01,AITKIN PUBLIC SCHOOL DISTRICT,2006,0.3707093821510298
0001,03,MINNEAPOLIS PUBLIC SCHOOL DISTRICT,2006,0.66788821513314
0002,01,HILL CITY PUBLIC SCHOOL DISTRICT,2006,0.551829268292683
0004,01,MCGREGOR PUBLIC SCHOOL DISTRICT,2006,0.6084070796460177
0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST.,2006,0.3403190491085393
0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,2006,0.2291976860553101
0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT,2006,0.10847898309981222
0013,01,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,2006,0.5883156815852408
0014,01,FRIDLEY PUBLIC SCHOOL DISTRICT,2006,0.437125748502994
0015,01,ST. FRANCIS PUBLIC SCHOOL DISTRICT,2006,0.199207135777998
0016,01,SPRING LAKE PARK PUBLIC SCHOOLS,2006,0.27048458149779736
0022,01,DETROIT LAKES PUBLIC SCHOOL DIST.,2006,0.3470724191063174
0023,01,FRAZEE-VERGAS PUBLIC SCHOOL DIST.,2006,0.43870967741935485
0025,01,PINE POINT PUBLIC SCHOOL DISTRICT,2006,0.96875
0031,01,BEMIDJI PUBLIC SCHOOL DISTRICT,2006,0.44754511120436424
0032,01,BLACKDUCK PUBLIC SCHOOL DISTRICT,2006,0.5169014084507042
0036,01,KELLIHER PUBLIC SCHOOL DISTRICT,2006,0.7782101167315175
0038,01,RED LAKE PUBLIC SCHOOL DISTRICT,2006,0.8146270818247646
0047,01,SAUK RAPIDS-RICE PUBLIC SCHOOLS,2006,0.26373922413793105
0051,01,FOLEY PUBLIC SCHOOL DISTRICT,2006,0.2527075812274368
0075,01,ST. CLAIR PUBLIC SCHOOL DISTRICT,2006,0.20970266040688576
0077,01,MANKATO PUBLIC SCHOOL DISTRICT,2006,0.28161499639509735
0081,01,COMFREY PUBLIC SCHOOL DISTRICT,2006,0.3841059602649007
0084,01,SLEEPY EYE PUBLIC SCHOOL DISTRICT,2006,0.4847605224963715
0085,01,SPRINGFIELD PUBLIC SCHOOL DISTRICT,2006,0.296474358974359
0088,01,NEW ULM PUBLIC SCHOOL DISTRICT,2006,0.1698984302862419
0091,01,BARNUM PUBLIC SCHOOL DISTRICT,2006,0.36082474226804123
0093,01,CARLTON PUBLIC SCHOOL DISTRICT,2006,0.3005181347150259
0094,01,CLOQUET PUBLIC SCHOOL DISTRICT,2006,0.34566270365477764
0095,01,CROMWELL-WRIGHT PUBLIC SCHOOLS,2006,0.40894568690095845
0097,01,MOOSE LAKE PUBLIC SCHOOL DISTRICT,2006,0.2959459459459459
0099,01,ESKO PUBLIC SCHOOL DISTRICT,2006,0.08912655971479501
0100,01,WRENSHALL PUBLIC SCHOOL DISTRICT,2006,0.34615384615384615
0108,01,CENTRAL PUBLIC SCHOOL DISTRICT,2006,0.18609406952965235
0110,01,WACONIA PUBLIC SCHOOL DISTRICT,2006,0.08388520971302428
0111,01,WATERTOWN-MAYER PUBLIC SCHOOL DIST.,2006,0.1438943894389439
0112,01,EASTERN CARVER COUNTY PUBLIC SCHOOL,2006,0.13827131137795742
0113,01,WALKER-HACKENSACK-AKELEY SCHL. DIST,2006,0.4356020942408377
0115,01,CASS LAKE-BENA PUBLIC SCHOOLS,2006,0.7019047619047619
0116,01,PILLAGER PUBLIC SCHOOL DISTRICT,2006,0.4697802197802198
0118,01,NORTHLAND COMMUNITY SCHOOLS,2006,0.6328871892925431
0129,01,MONTEVIDEO PUBLIC SCHOOL DISTRICT,2006,0.38055555555555554
0138,01,NORTH BRANCH PUBLIC SCHOOLS,2006,0.2144650929181316
0139,01,RUSH CITY PUBLIC SCHOOL DISTRICT,2006,0.2793068297655454
0146,01,BARNESVILLE PUBLIC SCHOOL DIST.,2006,0.23175416133162613
0150,01,HAWLEY PUBLIC SCHOOL DISTRICT,2006,0.1835372636262514
0152,01,MOORHEAD PUBLIC SCHOOL DISTRICT,2006,0.2880579931323922
0160,70,MINNESOTA STATE ACADEMIES,2006,0.8087431693989071
0162,01,BAGLEY PUBLIC SCHOOL DISTRICT,2006,0.5328947368421053
0166,01,COOK COUNTY PUBLIC SCHOOLS,2006,0.27946127946127947
0173,01,MOUNTAIN LAKE PUBLIC SCHOOLS,2006,0.4543610547667343
0177,01,WINDOM PUBLIC SCHOOL DISTRICT,2006,0.2902881536819637
0181,01,BRAINERD PUBLIC SCHOOL DISTRICT,2006,0.34825234441602726
0182,01,CROSBY-IRONTON PUBLIC SCHOOL DIST.,2006,0.4149443561208267
0186,01,PEQUOT LAKES PUBLIC SCHOOLS,2006,0.3069828722002635
0191,01,BURNSVILLE PUBLIC SCHOOL DISTRICT,2006,0.24173730831507761
0192,01,FARMINGTON PUBLIC SCHOOL DISTRICT,2006,0.12402563658409839
0194,01,LAKEVILLE PUBLIC SCHOOL DISTRICT,2006,0.06827567220335873
0195,01,RANDOLPH PUBLIC SCHOOL DISTRICT,2006,0.13389121338912133
0196,01,ROSEMOUNT-APPLE VALLEY-EAGAN,2006,0.12144600804135554
0197,01,WEST ST. PAUL-MENDOTA HTS.-EAGAN,2006,0.2952525471493605
0199,01,INVER GROVE HEIGHTS SCHOOLS,2006,0.21476690918889788
0200,01,HASTINGS PUBLIC SCHOOL DISTRICT,2006,0.17074615080931702
0203,01,HAYFIELD PUBLIC SCHOOL DISTRICT,2006,0.25749167591564925
0204,01,KASSON-MANTORVILLE SCHOOL DISTRICT,2006,0.10571573090541224
0206,01,ALEXANDRIA PUBLIC SCHOOL DISTRICT,2006,0.2505683253346805
0213,01,OSAKIS PUBLIC SCHOOL DISTRICT,2006,0.30704225352112674
0227,01,CHATFIELD PUBLIC SCHOOLS,2006,0.14734561213434452
0229,01,LANESBORO PUBLIC SCHOOL DISTRICT,2006,0.38292011019283745
0238,01,MABEL-CANTON PUBLIC SCHOOL DIST.,2006,0.2927536231884058
0239,01,RUSHFORD-PETERSON PUBLIC SCHOOLS,2006,0.35222052067381315
0241,01,ALBERT LEA PUBLIC SCHOOL DISTRICT,2006,0.3803733031674208
0242,01,ALDEN-CONGER PUBLIC SCHOOL DISTRICT,2006,0.2965686274509804
0252,01,CANNON FALLS PUBLIC SCHOOL DISTRICT,2006,0.17880794701986755
0253,01,GOODHUE PUBLIC SCHOOL DISTRICT,2006,0.17100977198697068
0255,01,PINE ISLAND PUBLIC SCHOOL DIST.,2006,0.17532467532467533
0256,01,RED WING PUBLIC SCHOOL DISTRICT,2006,0.20502092050209206
0261,01,ASHBY PUBLIC SCHOOL DISTRICT,2006,0.2517985611510791
0264,01,HERMAN-NORCROSS SCHOOL DISTRICT,2006,0.5714285714285714
0270,01,HOPKINS PUBLIC SCHOOL DISTRICT,2006,0.19415764291110552
0271,01,BLOOMINGTON PUBLIC SCHOOL DISTRICT,2006,0.2852387293132966
0272,01,EDEN PRAIRIE PUBLIC SCHOOL DISTRICT,2006,0.10348672207581594
0273,01,EDINA PUBLIC SCHOOL DISTRICT,2006,0.0675422138836773
0276,01,MINNETONKA PUBLIC SCHOOL DISTRICT,2006,0.05539511682856393
0277,01,WESTONKA PUBLIC SCHOOL DISTRICT,2006,0.11638316920322292
0278,01,ORONO PUBLIC SCHOOL DISTRICT,2006,0.04785796989579313
0279,01,OSSEO PUBLIC SCHOOL DISTRICT,2006,0.2881087624546047
0280,01,RICHFIELD PUBLIC SCHOOL DISTRICT,2006,0.4891806467298809
0281,01,ROBBINSDALE PUBLIC SCHOOL DISTRICT,2006,0.34800695862642766
0282,01,ST. ANTHONY-NEW BRIGHTON SCHOOLS,2006,0.136310223266745
0283,01,ST. LOUIS PARK PUBLIC SCHOOL DIST.,2006,0.26512832587708973
0284,01,WAYZATA PUBLIC SCHOOL DISTRICT,2006,0.10080313014827018
0286,01,BROOKLYN CENTER SCHOOL DISTRICT,2006,0.644484412470024
0287,06,INTERMEDIATE SCHOOL DISTRICT 287,2006,0.2642543859649123
0288,06,SOUTHWEST METRO INTERMEDIATE 288,2006,NA
0294,01,HOUSTON PUBLIC SCHOOL DISTRICT,2006,0.15314494074749316
0297,01,SPRING GROVE SCHOOL DISTRICT,2006,0.2994011976047904
0299,01,CALEDONIA PUBLIC SCHOOL DISTRICT,2006,0.2783625730994152
0300,01,LA CRESCENT-HOKAH SCHOOL DISTRICT,2006,0.1501028101439342
0306,01,LAPORTE PUBLIC SCHOOL DISTRICT,2006,0.5294117647058824
0308,01,NEVIS PUBLIC SCHOOL DISTRICT,2006,0.458984375
0309,01,PARK RAPIDS PUBLIC SCHOOL DISTRICT,2006,0.4116907605279698
0314,01,BRAHAM PUBLIC SCHOOL DISTRICT,2006,0.34551495016611294
0316,01,GREENWAY PUBLIC SCHOOL DISTRICT,2006,0.44136291600633915
0317,01,DEER RIVER PUBLIC SCHOOL DISTRICT,2006,0.568041237113402
0318,01,GRAND RAPIDS PUBLIC SCHOOL DISTRICT,2006,0.32489669421487605
0319,01,NASHWAUK-KEEWATIN SCHOOL DISTRICT,2006,0.456
0330,01,HERON LAKE-OKABENA SCHOOL DISTRICT,2006,0.2765273311897106
0332,01,MORA PUBLIC SCHOOL DISTRICT,2006,0.33191715347849177
0333,01,OGILVIE PUBLIC SCHOOL DISTRICT,2006,0.45718901453957994
0345,01,NEW LONDON-SPICER SCHOOL DISTRICT,2006,0.18273471959672338
0347,01,WILLMAR PUBLIC SCHOOL DISTRICT,2006,0.44502493469484683
0356,01,LANCASTER PUBLIC SCHOOL DISTRICT,2006,0.5245098039215687
0361,01,INTERNATIONAL FALLS SCHOOL DISTRICT,2006,0.31164901664145234
0362,01,LITTLEFORK-BIG FALLS SCHOOL DIST.,2006,0.3772455089820359
0363,01,SOUTH KOOCHICHING SCHOOL DISTRICT,2006,0.5315068493150685
0378,01,DAWSON-BOYD PUBLIC SCHOOL DISTRICT,2006,0.34579439252336447
