Data Year,District County Number,District County Name,District Number,District Type,District Name,School Number,School Name,ECSU Number,Eco Dev Rgn,Test Name,Test Date,Grade,Subject,Report Order,Report Category,Report Description,Filtered,Count Tested,Count Passed,Count Not Passed,Percent Passed,Percent Not Passed,Average Score,VESS Average Score,CSPSS Average Score,LSS Average Score,Standard Deviation,Std. Error of Mean,Confidence Interval,Count Absent,Count Invalid,Count Medical Exempt,Count Not Complete,Count PSO,Count Refused,Count Wrong Grade,October 1 Grade Enrollment,October 1 District Enrollment,Filter Threshold,Public School,School County Number,School County Name,School Classification
9-Aug,1,Aitkin,1,1,AITKIN PUBLIC SCHOOL DISTRICT,0,All Schools,3,3,GRAD,20090413,10,R,1,All Categories,All Students,N,95,80,15,84.2,15.8,57.5,7.5,21.5,3.3,10.5,1.1,55.4-59.6,1,0,0,0,0,0,0,99,1265,9,Y,1,Aitkin,0
9-Aug,27,Hennepin,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.,0,All Schools,11,11,GRAD,20090413,10,R,1,All Categories,All Students,N,2181,1252,929,57.4,42.6,51,6.1,18.8,2.6,15,0.3,50.4-51.6,28,8,1,32,0,4,7,2494,33886,9,Y,27,Hennepin,0
9-Aug,1,Aitkin,2,1,HILL CITY PUBLIC SCHOOL DISTRICT,0,All Schools,3,3,GRAD,20090413,10,R,1,All Categories,All Students,N,33,23,10,69.7,30.3,53.8,7.2,19.3,2.8,13.7,2.4,49.1-58.5,0,0,0,0,0,0,0,35,288,9,Y,1,Aitkin,0
9-Aug,1,Aitkin,4,1,MCGREGOR PUBLIC SCHOOL DISTRICT,0,All Schools,3,3,GRAD,20090413,10,R,1,All Categories,All Students,N,37,21,16,56.8,43.2,50.4,6.4,18.9,2.6,10.8,1.8,46.9-53.9,0,0,0,0,0,0,0,37,392,9,Y,1,Aitkin,0
9-Aug,19,Dakota,6,3,SOUTH ST. PAUL PUBLIC SCHOOL DIST.,0,All Schools,11,11,GRAD,20090413,10,R,1,All Categories,All Students,N,246,188,58,76.4,23.6,54.8,7,20.6,2.9,12.4,0.8,53.2-56.4,1,0,0,3,0,0,0,259,3274,9,Y,19,Dakota,0
9-Aug,2,Anoka,11,1,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,0,All Schools,11,11,GRAD,20090413,10,R,1,All Categories,All Students,N,3191,2585,606,81,19,57.1,7.4,21.3,3,11.7,0.2,56.7-57.5,7,1,1,3,0,0,0,3370,39435,9,Y,2,Anoka,0
9-Aug,2,Anoka,12,1,CENTENNIAL PUBLIC SCHOOL DISTRICT,0,All Schools,11,11,GRAD,20090413,10,R,1,All Categories,All Students,N,568,490,78,86.3,13.7,59.5,7.7,22.1,3.1,11.4,0.5,58.6-60.4,2,0,0,2,0,0,0,591,6747,9,Y,2,Anoka,0
9-Aug,2,Anoka,13,1,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,0,All Schools,11,11,GRAD,20090413,10,R,1,All Categories,All Students,N,233,149,84,63.9,36.1,51.7,6.4,19.6,2.7,11.7,0.8,50.2-53.2,2,0,0,1,0,0,0,249,2831,9,Y,2,Anoka,0
9-Aug,2,Anoka,14,1,FRIDLEY PUBLIC SCHOOL DISTRICT,0,All Schools,11,11,GRAD,20090413,10,R,1,All Categories,All Students,N,229,160,69,69.9,30.1,54.4,6.8,20.2,2.8,13.8,0.9,52.6-56.2,2,1,0,1,0,0,1,261,2693,9,Y,2,Anoka,0
9-Aug,2,Anoka,15,1,ST. FRANCIS PUBLIC SCHOOL DISTRICT,0,All Schools,11,11,GRAD,20090413,10,R,1,All Categories,All Students,N,421,352,69,83.6,16.4,57.4,7.4,21.6,3,10.9,0.5,56.4-58.4,2,1,0,2,0,0,0,455,5589,9,Y,2,Anoka,0
9-Aug,2,Anoka,16,1,SPRING LAKE PARK PUBLIC SCHOOLS,0,All Schools,11,11,GRAD,20090413,10,R,1,All Categories,All Students,N,347,246,101,70.9,29.1,55.3,7,20.5,2.9,12.4,0.7,54.0-56.6,1,0,0,1,0,0,1,367,4607,9,Y,2,Anoka,0
9-Aug,3,Becker,22,1,DETROIT LAKES PUBLIC SCHOOL DIST.,0,All Schools,4,4,GRAD,20090413,10,R,1,All Categories,All Students,N,210,164,46,78.1,21.9,56.3,7.2,21.1,3,11.5,0.8,54.7-57.9,0,0,0,2,0,0,0,213,2697,9,Y,3,Becker,0
9-Aug,3,Becker,23,1,FRAZEE-VERGAS PUBLIC SCHOOL DIST.,0,All Schools,4,4,GRAD,20090413,10,R,1,All Categories,All Students,N,66,50,16,75.8,24.2,55.7,7.1,20.8,3.1,11.2,1.4,53.0-58.4,0,0,0,0,0,0,0,75,934,9,Y,3,Becker,0
9-Aug,4,Beltrami,31,1,BEMIDJI PUBLIC SCHOOL DISTRICT,0,All Schools,1,2,GRAD,20090413,10,R,1,All Categories,All Students,N,354,290,64,81.9,18.1,56.7,7.3,20.9,3.1,12.6,0.7,55.4-58.0,0,0,0,3,0,0,0,366,4699,9,Y,4,Beltrami,0
9-Aug,4,Beltrami,32,1,BLACKDUCK PUBLIC SCHOOL DISTRICT,0,All Schools,1,2,GRAD,20090413,10,R,1,All Categories,All Students,N,52,45,7,86.5,13.5,58.6,7.7,22.1,3,10.3,1.4,55.8-61.4,0,0,0,1,0,0,0,59,629,9,Y,4,Beltrami,0
9-Aug,4,Beltrami,36,1,KELLIHER PUBLIC SCHOOL DISTRICT,0,All Schools,1,2,GRAD,20090413,10,R,1,All Categories,All Students,N,16,12,4,75,25,58,7.2,21.6,3.3,12.7,3.2,51.8-64.2,0,0,0,0,0,0,0,18,217,9,Y,4,Beltrami,0
9-Aug,4,Beltrami,38,1,RED LAKE PUBLIC SCHOOL DISTRICT,0,All Schools,1,2,GRAD,20090413,10,R,1,All Categories,All Students,N,56,13,43,23.2,76.8,40.4,4.5,14.6,2.1,10.5,1.4,37.7-43.1,0,0,0,2,0,0,0,98,1386,9,Y,4,Beltrami,0
9-Aug,5,Benton,47,1,SAUK RAPIDS PUBLIC SCHOOL DISTRICT,0,All Schools,7,07W,GRAD,20090413,10,R,1,All Categories,All Students,N,285,247,38,86.7,13.3,57.7,7.5,21.6,3.1,10.8,0.6,56.4-59.0,0,0,0,3,0,0,0,297,3691,9,Y,5,Benton,0
9-Aug,5,Benton,51,1,FOLEY PUBLIC SCHOOL DISTRICT,0,All Schools,7,07W,GRAD,20090413,10,R,1,All Categories,All Students,N,116,90,26,77.6,22.4,54.4,7.2,20.3,3,10.8,1,52.4-56.4,0,0,0,0,0,0,0,121,1661,9,Y,5,Benton,0
9-Aug,6,Big Stone,62,1,ORTONVILLE PUBLIC SCHOOL DISTRICT,0,All Schools,6,06W,GRAD,20090413,10,R,1,All Categories,All Students,N,51,40,11,78.4,21.6,56.1,7,20.8,3.2,12.5,1.7,52.7-59.5,0,0,0,0,0,0,0,54,524,9,Y,6,Big Stone,0
9-Aug,7,Blue Earth,75,1,ST. CLAIR PUBLIC SCHOOL DISTRICT,0,All Schools,9,9,GRAD,20090413,10,R,1,All Categories,All Students,N,42,34,8,81,19,57.7,7.7,21.1,3.2,11.3,1.7,54.3-61.1,0,0,0,0,0,0,0,43,581,9,Y,7,Blue Earth,0
9-Aug,7,Blue Earth,77,1,MANKATO PUBLIC SCHOOL DISTRICT,0,All Schools,9,9,GRAD,20090413,10,R,1,All Categories,All Students,N,487,406,81,83.4,16.6,58.2,7.5,21.7,3,12,0.5,57.1-59.3,1,1,0,3,0,0,0,533,7087,9,Y,7,Blue Earth,0
