Data Year,County Number,County Name,District Number,District Type,District Name,School Number,School Name,ECSU Number,Eco Dev Rgn,Test Name,Test Date,Grade,Subject,Report Order,Report Category,Report Description,Filtered,Count Tested,Count Passed,Count Not Passed,Percent Passed,Percent Not Passed,Average Score,VESS Average Score,CSPSS Average Score,LSS Average Score,Standard Deviation,Std. Error of Mean,Confidence Interval,Count Absent,Count Invalid,Count Medical Exempt,Count Not Complete,Count PSO,Count Refused,Count Wrong Grade,October 1 Grade Enrollment,October 1 District Enrollment,Filter Threshold,Public School,School County Number,School County Name,School Classification,,,,,,,,
08-09,,,0014,31,Nonpublic School,006,AL-AMAL SCHOOL,,11,GRAD,20090413,10,R,1,All Categories,All Students,N,17,16,1,94.1,5.9,60.1,7.4,23.2,3.0,10.6,2.6,55.1-65.1,0,0,0,0,0,0,0,,,9,N,02,Anoka,00,,,,,,,,
08-09,,,0077,31,Nonpublic School,006,IMMANUEL LUTHERAN,,09,GRAD,20090413,10,R,1,All Categories,All Students,Y,8,,,,,,,,,,,,,,,,,,,,,9,N,07,Blue Earth,00,,,,,,,,
08-09,,,0077,31,Nonpublic School,017,GOOD COUNSEL CAMPUS SCHOOL,,09,GRAD,20090413,10,R,1,All Categories,All Students,N,30,30,0,100.0,.0,63.3,8.1,23.6,3.3,9.9,1.8,59.8-66.8,0,0,0,0,0,0,0,,,9,N,07,Blue Earth,00,,,,,,,,
08-09,,,0084,31,Nonpublic School,002,ST. MARY'S H.S.,,09,GRAD,20090413,10,R,1,All Categories,All Students,N,37,34,3,91.9,8.1,59.8,8.2,22.0,3.2,10.5,1.7,56.4-63.2,0,0,0,0,0,0,0,,,9,N,08,Brown,00,,,,,,,,
08-09,,,0173,31,Nonpublic School,002,NEUHOF SCHOOL,,08,GRAD,20090413,10,R,1,All Categories,All Students,Y,1,,,,,,,,,,,,,,,,,,,,,9,N,17,Cottonwood,00,,,,,,,,
08-09,,,0256,31,Nonpublic School,024,RED WING CHRISTIAN ACADEMY,,10,GRAD,20090413,10,R,1,All Categories,All Students,Y,3,,,,,,,,,,,,,,,,,,,,,9,N,25,Goodhue,00,,,,,,,,
08-09,,,0283,31,Nonpublic School,019,BAIS YAAKOV HIGH SCHOOL,,11,GRAD,20090413,10,R,1,All Categories,All Students,Y,6,,,,,,,,,,,,,,,,,,,,,9,N,27,Hennepin,00,,,,,,,,
08-09,,,0861,31,Nonpublic School,026,HOPE LUTHERAN HIGH SCHOOL,,10,GRAD,20090413,10,R,1,All Categories,All Students,Y,9,,,,,,,,,,,,,,,,,,,,,9,N,85,Winona,00,,,,,,,,
08-09,,,0861,31,Nonpublic School,031,COTTER SENIOR HIGH,,10,GRAD,20090413,10,R,1,All Categories,All Students,N,57,53,4,93.0,7.0,59.5,7.8,22.4,3.1,10.0,1.3,56.9-62.1,0,0,0,0,0,0,0,,,9,N,85,Winona,00,,,,,,,,
08-09,,,0911,31,Nonpublic School,003,CAMBRIDGE CHRISTIAN SCHOOL,,07E,GRAD,20090413,10,R,1,All Categories,All Students,N,12,11,1,91.7,8.3,63.0,8.0,22.9,3.2,14.4,4.1,54.9-71.1,0,0,0,0,0,0,0,,,9,N,30,Isanti,00,,,,,,,,
08-09,09,Carlton,1094,34,Nonpublic School,030,FOND DU LAC OJIBWE SCHOOL,03,03,GRAD,20090413,10,R,1,All Categories,All Students,N,12,3,9,25.0,75.0,46.0,5.3,17.7,2.1,9.7,2.8,40.5-51.5,0,0,0,0,0,0,0,,,9,N,09,Carlton,40,,,,,,,,
08-09,11,Cass,1115,34,Nonpublic School,010,BUG-O-NAY-GE-SHIG,05,05,GRAD,20090413,10,R,1,All Categories,All Students,N,12,4,8,33.3,66.7,46.8,5.3,17.8,2.5,10.2,2.9,41.0-52.6,0,0,0,0,0,0,1,,,9,N,11,Cass,40,,,,,,,,
08-09,03,Becker,1435,34,Nonpublic School,010,CIRCLE OF LIFE,01,04,GRAD,20090413,10,R,1,All Categories,All Students,Y,5,,,,,,,,,,,,,,,,,,,,,9,N,03,Becker,40,,,,,,,,
08-09,48,Mille Lacs,1480,34,Nonpublic School,010,NAY-AH-SHING,07,07E,GRAD,20090413,10,R,1,All Categories,All Students,Y,7,,,,,,,,,,,,,,,,,,,,,9,N,48,Mille Lacs,40,,,,,,,,
