Data Year,District County Number,District County Name,District Number,District Type,District Name,School Number,School Name,ECSU Number,Eco Dev Rgn,Test Name,Test Date,Grade,Subject,Report Order,Report Category,Report Description,Filtered,Count Tested,Count Passed,Count Not Passed,Percent Passed,Percent Not Passed,Average Score,GNS Average Score,GPFA Average Score,GDSP Average Score,GSGM Average Score,Standard Deviation,Std. Error of Mean,Confidence Interval,Count Absent,Count Invalid,Count Medical Exempt,Count Not Complete,Count PSO,Count Refused,Count Wrong Grade,October 1 Grade Enrollment,October 1 District Enrollment,Filter Threshold,Public School,School County Number,School County Name,School Classification
13-Dec,1,Aitkin,1,1,AITKIN PUBLIC SCHOOL DISTRICT,0,All Schools,3,3,GRAD,20130416,11,M,1,All Categories,All Students,N,92,71,21,77.2,22.8,56.6,6,11.9,7.9,6.6,12.3,1.3,54.1-59.1,0,1,0,0,0,0,0,102,1266,9,Y,,,0
13-Dec,27,Hennepin,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.,0,All Schools,11,11,GRAD,20130416,11,M,1,All Categories,All Students,N,1806,818,988,45.3,54.7,47,4.8,9.9,6.2,5.2,15.7,0.4,46.3-47.7,65,3,2,33,0,1,1,2129,34387,9,Y,,,0
13-Dec,1,Aitkin,2,1,HILL CITY PUBLIC SCHOOL DISTRICT,0,All Schools,3,3,GRAD,20130416,11,M,1,All Categories,All Students,N,15,7,8,46.7,53.3,48.1,4.7,10.3,7.1,5.5,13.3,3.4,41.4-54.8,0,0,0,0,0,0,0,17,275,9,Y,,,0
13-Dec,1,Aitkin,4,1,MCGREGOR PUBLIC SCHOOL DISTRICT,0,All Schools,3,3,GRAD,20130416,11,M,1,All Categories,All Students,N,24,12,12,50,50,46,4.7,9.7,6.6,4.9,12.8,2.6,40.9-51.1,0,0,0,0,0,0,0,27,395,9,Y,,,0
13-Dec,19,Dakota,6,3,SOUTH ST. PAUL PUBLIC SCHOOL DIST.,0,All Schools,11,11,GRAD,20130416,11,M,1,All Categories,All Students,N,233,152,81,65.2,34.8,53.2,5.6,11.2,7.5,6.1,12.3,0.8,51.6-54.8,1,0,0,0,0,0,0,250,3301,9,Y,,,0
13-Dec,2,Anoka,11,1,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,0,All Schools,11,11,GRAD,20130416,11,M,1,All Categories,All Students,N,2904,2035,869,70.1,29.9,54.9,5.8,11.8,7.7,6.2,12.4,0.2,54.4-55.4,17,5,2,9,0,0,0,3135,37667,9,Y,,,0
13-Dec,2,Anoka,12,1,CENTENNIAL PUBLIC SCHOOL DISTRICT,0,All Schools,11,11,GRAD,20130416,11,M,1,All Categories,All Students,N,488,399,89,81.8,18.2,60,6.2,12.3,8.4,7.1,12.7,0.6,58.9-61.1,4,1,0,0,0,0,0,549,6463,9,Y,,,0
13-Dec,2,Anoka,13,1,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,0,All Schools,11,11,GRAD,20130416,11,M,1,All Categories,All Students,N,185,72,113,38.9,61.1,45,4.6,9.7,5.8,4.8,13.6,1,43.0-47.0,1,0,0,0,0,0,0,207,2963,9,Y,,,0
13-Dec,2,Anoka,14,1,FRIDLEY PUBLIC SCHOOL DISTRICT,0,All Schools,11,11,GRAD,20130416,11,M,1,All Categories,All Students,N,208,142,66,68.3,31.7,53.8,5.5,11.4,7.5,6.2,13.7,0.9,51.9-55.7,6,0,0,0,0,1,2,245,2872,9,Y,,,0
13-Dec,2,Anoka,15,1,ST. FRANCIS PUBLIC SCHOOL DISTRICT,0,All Schools,11,11,GRAD,20130416,11,M,1,All Categories,All Students,N,379,254,125,67,33,53.2,5.7,11.7,7.6,5.9,10.9,0.6,52.1-54.3,0,0,0,0,0,0,1,439,4956,9,Y,,,0
