districtNumber,districtType,districtName,year,averageScore,percentPassed
0001,01,Aitkin Public School District,2013,56.6,77.2
0001,03,Minneapolis Public School Dist.,2013,47,45.3
0002,01,Hill City Public School District,2013,48.1,46.7
0004,01,Mcgregor Public School District,2013,46,50
0006,03,South St. Paul Public School Dist.,2013,53.2,65.2
0011,01,Anoka-Hennepin Public School Dist.,2013,54.9,70.1
0012,01,Centennial Public School District,2013,60,81.8
0013,01,Columbia Heights Public School Dist,2013,45,38.9
0014,01,Fridley Public School District,2013,53.8,68.3
0015,01,St. Francis Public School District,2013,53.2,67
0016,01,Spring Lake Park Public Schools,2013,52.4,63.7
0022,01,Detroit Lakes Public School Dist.,2013,55.4,73.7
0023,01,Frazee-Vergas Public School Dist.,2013,51.8,70.1
0031,01,Bemidji Public School District,2013,52,60.1
0032,01,Blackduck Public School District,2013,53.5,67.5
0036,01,Kelliher Public School District,2013,49.5,58.3
0038,01,Red Lake Public School District,2013,37.6,22.2
0047,01,Sauk Rapids-Rice Public Schools,2013,54.6,71
0051,01,Foley Public School District,2013,53.3,69.9
0075,01,St. Clair Public School District,2013,52.2,66.7
0077,01,Mankato Public School District,2013,55.8,73.9
0081,01,Comfrey Public School District,2013,56.4,81.8
0084,01,Sleepy Eye Public School District,2013,47.7,51.2
0085,01,Springfield Public School District,2013,52.7,63.2
0088,01,New Ulm Public School District,2013,56.5,76.8
0091,01,Barnum Public School District,2013,52.4,62.2
0093,01,Carlton Public School District,2013,51.5,66.7
0094,01,Cloquet Public School District,2013,54.4,71.8
0095,01,Cromwell-Wright Public Schools,2013,53.1,71.4
0097,01,Moose Lake Public School District,2013,55.2,74.4
0099,01,Esko Public School District,2013,58.7,89.6
0100,01,Wrenshall Public School District,2013,50.7,50
0108,01,Central Public School District,2013,56.1,75.8
0110,01,Waconia Public School District,2013,56.5,75.2
0111,01,Watertown-Mayer Public School Dist.,2013,55.4,68.3
0112,01,Eastern Carver County Public School,2013,57.4,78.9
0113,01,Walker-Hackensack-Akeley Schl. Dist,2013,48,53.7
0115,01,Cass Lake-Bena Public Schools,2013,45.5,46
0116,01,Pillager Public School District,2013,49.8,59.3
0118,01,Northland Community Schools,2013,51.8,56.3
0129,01,Montevideo Public School District,2013,51.2,58.6
