districtNumber,districtType,districtName,year,averageScore,percentPassed
0001,01,AITKIN PUBLIC SCHOOL DISTRICT,2012,56.5,80.6
0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,2012,52.1,61.8
0002,01,HILL CITY PUBLIC SCHOOL DISTRICT,2012,50.5,68.4
0004,01,MCGREGOR PUBLIC SCHOOL DISTRICT,2012,56.7,75
0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST.,2012,55.6,81.1
0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,2012,58.1,85.9
0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT,2012,58.4,88.2
0013,01,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,2012,49.1,58.7
0014,01,FRIDLEY PUBLIC SCHOOL DISTRICT,2012,54.5,72.9
0015,01,ST. FRANCIS PUBLIC SCHOOL DISTRICT,2012,55.8,80.1
0016,01,SPRING LAKE PARK PUBLIC SCHOOLS,2012,55.1,76.8
0022,01,DETROIT LAKES PUBLIC SCHOOL DIST.,2012,56.6,81.3
0023,01,FRAZEE-VERGAS PUBLIC SCHOOL DIST.,2012,56.5,87.3
0031,01,BEMIDJI PUBLIC SCHOOL DISTRICT,2012,57,81.8
0032,01,BLACKDUCK PUBLIC SCHOOL DISTRICT,2012,57.8,81.4
0036,01,KELLIHER PUBLIC SCHOOL DISTRICT,2012,52.6,64.3
0038,01,RED LAKE PUBLIC SCHOOL DISTRICT,2012,45,32
0047,01,SAUK RAPIDS-RICE PUBLIC SCHOOLS,2012,57.4,83.4
0051,01,FOLEY PUBLIC SCHOOL DISTRICT,2012,56.3,84.5
0075,01,ST. CLAIR PUBLIC SCHOOL DISTRICT,2012,57.8,79.2
0077,01,MANKATO PUBLIC SCHOOL DISTRICT,2012,58,82.7
0081,01,COMFREY PUBLIC SCHOOL DISTRICT,2012,60.9,100
0084,01,SLEEPY EYE PUBLIC SCHOOL DISTRICT,2012,52.4,69.8
0085,01,SPRINGFIELD PUBLIC SCHOOL DISTRICT,2012,56,78.4
0088,01,NEW ULM PUBLIC SCHOOL DISTRICT,2012,55.9,80.1
0091,01,BARNUM PUBLIC SCHOOL DISTRICT,2012,56.8,77.6
0093,01,CARLTON PUBLIC SCHOOL DISTRICT,2012,56.9,85
0094,01,CLOQUET PUBLIC SCHOOL DISTRICT,2012,56,79.4
0095,01,CROMWELL-WRIGHT PUBLIC SCHOOLS,2012,55.2,76.9
0097,01,MOOSE LAKE PUBLIC SCHOOL DISTRICT,2012,59.3,91.7
0099,01,ESKO PUBLIC SCHOOL DISTRICT,2012,60.4,94.8
0100,01,WRENSHALL PUBLIC SCHOOL DISTRICT,2012,56.2,79.3
0108,01,CENTRAL PUBLIC SCHOOL DISTRICT,2012,57.8,80.7
0110,01,WACONIA PUBLIC SCHOOL DISTRICT,2012,56.9,83
0111,01,WATERTOWN-MAYER PUBLIC SCHOOL DIST.,2012,58.9,85
0112,01,EASTERN CARVER COUNTY PUBLIC SCHOOL,2012,59.3,89.9
0113,01,WALKER-HACKENSACK-AKELEY SCHL. DIST,2012,55.2,76.7
0115,01,CASS LAKE-BENA PUBLIC SCHOOLS,2012,48.7,55.9
0116,01,PILLAGER PUBLIC SCHOOL DISTRICT,2012,58,83.3
0118,01,NORTHLAND COMMUNITY SCHOOLS,2012,56.1,75.7
0129,01,MONTEVIDEO PUBLIC SCHOOL DISTRICT,2012,56,77.1
0138,01,NORTH BRANCH PUBLIC SCHOOLS,2012,58.9,85.9
0139,01,RUSH CITY PUBLIC SCHOOL DISTRICT,2012,53.3,74.6
0146,01,BARNESVILLE PUBLIC SCHOOL DIST.,2012,58.7,84.1
0150,01,HAWLEY PUBLIC SCHOOL DISTRICT,2012,56.6,85.1
0152,01,MOORHEAD PUBLIC SCHOOL DISTRICT,2012,55.5,74.1
0160,70,MINNESOTA STATE ACADEMIES,2012,37.8,23.5
0162,01,BAGLEY PUBLIC SCHOOL DISTRICT,2012,55.8,79.4
0166,01,COOK COUNTY PUBLIC SCHOOLS,2012,60.4,90.9
0173,01,MOUNTAIN LAKE PUBLIC SCHOOLS,2012,53.8,73
0177,01,WINDOM PUBLIC SCHOOL DISTRICT,2012,56.4,74.6
0181,01,BRAINERD PUBLIC SCHOOL DISTRICT,2012,59.3,86.5
0182,01,CROSBY-IRONTON PUBLIC SCHOOL DIST.,2012,57.2,83.7
0186,01,PEQUOT LAKES PUBLIC SCHOOLS,2012,57.7,85.5
0191,01,BURNSVILLE PUBLIC SCHOOL DISTRICT,2012,55.4,77.5
0192,01,FARMINGTON PUBLIC SCHOOL DISTRICT,2012,56.2,82.9
0194,01,LAKEVILLE PUBLIC SCHOOL DISTRICT,2012,60.9,91.9
0195,01,RANDOLPH PUBLIC SCHOOL DISTRICT,2012,57.4,78.8
0196,01,ROSEMOUNT-APPLE VALLEY-EAGAN,2012,60.1,89.4
0197,01,WEST ST. PAUL-MENDOTA HTS.-EAGAN,2012,56.6,76.1
0199,01,INVER GROVE HEIGHTS SCHOOLS,2012,56.1,79.5
0200,01,HASTINGS PUBLIC SCHOOL DISTRICT,2012,58.3,88.2
0203,01,HAYFIELD PUBLIC SCHOOL DISTRICT,2012,55.9,78.6
0204,01,KASSON-MANTORVILLE SCHOOL DISTRICT,2012,60.1,96.3
0206,01,ALEXANDRIA PUBLIC SCHOOL DISTRICT,2012,59.2,87.5
0207,01,BRANDON PUBLIC SCHOOL DISTRICT,2012,54.9,77.8
0208,01,EVANSVILLE PUBLIC SCHOOL DISTRICT,2012,NA,NA
0213,01,OSAKIS PUBLIC SCHOOL DISTRICT,2012,58.6,80
0227,01,CHATFIELD PUBLIC SCHOOLS,2012,55,75.4
0229,01,LANESBORO PUBLIC SCHOOL DISTRICT,2012,60.1,100
