districtNumber,districtType,districtName,year,dropRate
0001,01,Aitkin Public School District,2012,5.45
0001,03,Minneapolis Public School District,2012,7.58
0002,01,Hill City Public School District,2012,9.52
0004,01,Mcgregor Public School District,2012,9.09
0006,03,South St. Paul Public School Dist.,2012,5.88
0011,01,Anoka-Hennepin Public School District,2012,2.4
0012,01,Centennial Public School District,2012,0.72
0013,01,Columbia Heights Public School Dist,2012,5.29
0014,01,Fridley Public School District,2012,3.32
0015,01,St. Francis Public School District,2012,2.04
0016,01,Spring Lake Park Public Schools,2012,5.14
0022,01,Detroit Lakes Public School Dist.,2012,3.73
0023,01,Frazee-Vergas Public School Dist.,2012,5.56
0031,01,Bemidji Public School District,2012,7.14
0032,01,Blackduck Public School District,2012,3.33
0036,01,Kelliher Public School District,2012,0
0038,01,Red Lake Public School District,2012,25.53
0047,01,Sauk Rapids-Rice Public Schools,2012,1.09
0051,01,Foley Public School District,2012,0
0075,01,St. Clair Public School District,2012,2.86
0077,01,Mankato Public School District,2012,3.94
0081,01,Comfrey Public School District,2012,7.14
0084,01,Sleepy Eye Public School District,2012,0
0085,01,Springfield Public School District,2012,0
0088,01,New Ulm Public School District,2012,1.22
0091,01,Barnum Public School District,2012,2.13
0093,01,Carlton Public School District,2012,6.67
0094,01,Cloquet Public School District,2012,7
0095,01,Cromwell-Wright Public Schools,2012,0
0097,01,Moose Lake Public School District,2012,5.26
0099,01,Esko Public School District,2012,0
0100,01,Wrenshall Public School District,2012,10
0108,01,Central Public School District,2012,2.22
0110,01,Waconia Public School District,2012,0
0111,01,Watertown-Mayer Public School Dist.,2012,2.8
0112,01,Eastern Carver County Public School,2012,1.97
0113,01,Walker-Hackensack-Akeley Schl. Dist,2012,8.11
0115,01,Cass Lake-Bena Public Schools,2012,11.69
0116,01,Pillager Public School District,2012,1.79
0118,01,Northland Community Schools,2012,4.17
0129,01,Montevideo Public School District,2012,2.17
0138,01,North Branch Public Schools,2012,4.05
0139,01,Rush City Public School District,2012,2.74
0146,01,Barnesville Public School District,2012,0
0150,01,Hawley Public School District,2012,4.05
0152,01,Moorhead Public School District,2012,6.88
0160,70,Minnesota State Academies,2012,0
0162,01,Bagley Public School District,2012,2.53
0166,01,Cook County Public Schools,2012,2.94
0173,01,Mountain Lake Public Schools,2012,7.5
0177,01,Windom Public School District,2012,0
0181,01,Brainerd Public School District,2012,3.93
0182,01,Crosby-Ironton Public School Dist.,2012,2.2
0186,01,Pequot Lakes Public Schools,2012,1.55
0191,01,Burnsville Public School District,2012,4.44
0192,01,Farmington Public School District,2012,1.01
0194,01,Lakeville Public School District,2012,1.01
0195,01,Randolph Public School District,2012,0
0196,01,Rosemount-Apple Valley-Eagan,2012,1.6
0197,01,West St. Paul-Mendota Hts.-Eagan,2012,3.68
0199,01,Inver Grove Heights Schools,2012,1.95
0200,01,Hastings Public School District,2012,2.29
0203,01,Hayfield Public School District,2012,4.41
0204,01,Kasson-Mantorville School District,2012,0
0206,01,Alexandria Public School District,2012,0.72
0213,01,Osakis Public School District,2012,0
0227,01,Chatfield Public Schools,2012,1.49
0229,01,Lanesboro Public School District,2012,8.33
0238,01,Mabel-Canton Public School Dist.,2012,4.17
0239,01,Rushford-Peterson Public Schools,2012,0
0241,01,Albert Lea Public School District,2012,6.8
0242,01,Alden-Conger Public School District,2012,7.41
0252,01,Cannon Falls Public School District,2012,0
0253,01,Goodhue Public School District,2012,9.43
0255,01,Pine Island Public School Dist.,2012,1.25
0256,01,Red Wing Public School District,2012,3.25
0261,01,Ashby Public School District,2012,12.5
0270,01,Hopkins Public School District,2012,1.43
0271,01,Bloomington Public School District,2012,0.98
0272,01,Eden Prairie Public School District,2012,1.78
0273,01,Edina Public School District,2012,0
0276,01,Minnetonka Public School District,2012,0.42
0277,01,Westonka Public School District,2012,1.74
0278,01,Orono Public School District,2012,0.51
0279,01,Osseo Public School District,2012,3.27
0280,01,Richfield Public School District,2012,6.16
0281,01,Robbinsdale Public School District,2012,3.86
0282,01,St. Anthony-New Brighton Schools,2012,1.7
0283,01,St. Louis Park Public School Dist.,2012,3.95
0284,01,Wayzata Public School District,2012,0.97
0286,01,Brooklyn Center School District,2012,14.98
0287,06,Intermediate School District 287,2012,4.06
0288,06,Southwest Metro Intermediate 288,2012,NA
0294,01,Houston Public School District,2012,17.52
0297,01,Spring Grove School District,2012,4
0299,01,Caledonia Public School District,2012,2.63
0300,01,La Crescent-Hokah School District,2012,1.6
0306,01,Laporte Public School District,2012,9.52
0308,01,Nevis Public School District,2012,7.14
0309,01,Park Rapids Public School District,2012,10.66
0314,01,Braham Public School District,2012,2.5
0316,01,Greenway Public School District,2012,2.9
