districtNumber,districtType,districtName,description,year,dropRate
0001,03,Minneapolis Public School District,American Indian/Alaskan Native,2012,0.22666666666666666
0001,03,Minneapolis Public School District,Asian,2012,0.0165016501650165
0001,03,Minneapolis Public School District,Hispanic,2012,0.15
0001,03,Minneapolis Public School District,Black,2012,0.0867237687366167
0001,03,Minneapolis Public School District,Two or More Races,2012,NA
0006,03,South St. Paul Public School Dist.,Hispanic,2012,0.1
0006,03,South St. Paul Public School Dist.,Black,2012,0.043478260869565216
0011,01,Anoka-Hennepin Public School District,American Indian/Alaskan Native,2012,0.037037037037037035
0011,01,Anoka-Hennepin Public School District,Asian,2012,0.005025125628140704
0011,01,Anoka-Hennepin Public School District,Hispanic,2012,0.05
0011,01,Anoka-Hennepin Public School District,Black,2012,0.02711864406779661
0011,01,Anoka-Hennepin Public School District,Two or More Races,2012,0.06666666666666667
0012,01,Centennial Public School District,Asian,2012,0
0012,01,Centennial Public School District,Hispanic,2012,0
0012,01,Centennial Public School District,Black,2012,0
0012,01,Centennial Public School District,Two or More Races,2012,NA
0013,01,Columbia Heights Public School Dist,Asian,2012,0
0013,01,Columbia Heights Public School Dist,Hispanic,2012,0.057692307692307696
0013,01,Columbia Heights Public School Dist,Black,2012,0.057692307692307696
0014,01,Fridley Public School District,Asian,2012,0.04
0014,01,Fridley Public School District,Hispanic,2012,0.16666666666666666
0014,01,Fridley Public School District,Black,2012,0.018518518518518517
0014,01,Fridley Public School District,Two or More Races,2012,NA
0015,01,St. Francis Public School District,Asian,2012,0
0015,01,St. Francis Public School District,Two or More Races,2012,NA
0016,01,Spring Lake Park Public Schools,Asian,2012,0
0016,01,Spring Lake Park Public Schools,Hispanic,2012,0.10714285714285714
0016,01,Spring Lake Park Public Schools,Black,2012,0.05128205128205128
0016,01,Spring Lake Park Public Schools,Two or More Races,2012,0.08333333333333333
0022,01,Detroit Lakes Public School Dist.,American Indian/Alaskan Native,2012,0.08333333333333333
0022,01,Detroit Lakes Public School Dist.,Two or More Races,2012,NA
0031,01,Bemidji Public School District,American Indian/Alaskan Native,2012,0.1896551724137931
0031,01,Bemidji Public School District,Two or More Races,2012,NA
0038,01,Red Lake Public School District,American Indian/Alaskan Native,2012,0.2553191489361702
0047,01,Sauk Rapids-Rice Public Schools,Black,2012,NA
0077,01,Mankato Public School District,Asian,2012,0
0077,01,Mankato Public School District,Hispanic,2012,0.26666666666666666
0077,01,Mankato Public School District,Black,2012,0.08695652173913043
0077,01,Mankato Public School District,Two or More Races,2012,NA
0094,01,Cloquet Public School District,American Indian/Alaskan Native,2012,0.20689655172413793
0094,01,Cloquet Public School District,Two or More Races,2012,0
0110,01,Waconia Public School District,Hispanic,2012,0
0112,01,Eastern Carver County Public School,Asian,2012,0
0112,01,Eastern Carver County Public School,Hispanic,2012,0.16666666666666666
0112,01,Eastern Carver County Public School,Black,2012,0
0112,01,Eastern Carver County Public School,Two or More Races,2012,NA
0115,01,Cass Lake-Bena Public Schools,American Indian/Alaskan Native,2012,0.14516129032258066
0152,01,Moorhead Public School District,Hispanic,2012,0.275
0152,01,Moorhead Public School District,Black,2012,NA
0152,01,Moorhead Public School District,Two or More Races,2012,0
0162,01,Bagley Public School District,American Indian/Alaskan Native,2012,0.125
0166,01,Cook County Public Schools,American Indian/Alaskan Native,2012,NA
0181,01,Brainerd Public School District,Hispanic,2012,NA
0181,01,Brainerd Public School District,Two or More Races,2012,NA
0191,01,Burnsville Public School District,Asian,2012,0.0273972602739726
0191,01,Burnsville Public School District,Hispanic,2012,0.16842105263157894
0191,01,Burnsville Public School District,Black,2012,0.09174311926605505
0191,01,Burnsville Public School District,Two or More Races,2012,0
0192,01,Farmington Public School District,Asian,2012,0
0192,01,Farmington Public School District,Hispanic,2012,0.058823529411764705
0192,01,Farmington Public School District,Black,2012,0
0194,01,Lakeville Public School District,Asian,2012,0
0194,01,Lakeville Public School District,Hispanic,2012,0.07692307692307693
0194,01,Lakeville Public School District,Black,2012,0.09090909090909091
0194,01,Lakeville Public School District,Two or More Races,2012,NA
0196,01,Rosemount-Apple Valley-Eagan,Asian,2012,0
0196,01,Rosemount-Apple Valley-Eagan,Hispanic,2012,0.04950495049504951
0196,01,Rosemount-Apple Valley-Eagan,Black,2012,0.04316546762589928
0196,01,Rosemount-Apple Valley-Eagan,Two or More Races,2012,0.07142857142857142
0197,01,West St. Paul-Mendota Hts.-Eagan,Hispanic,2012,0.03508771929824561
0197,01,West St. Paul-Mendota Hts.-Eagan,Black,2012,0.18518518518518517
0197,01,West St. Paul-Mendota Hts.-Eagan,Two or More Races,2012,NA
0199,01,Inver Grove Heights Schools,Hispanic,2012,0.09090909090909091
0199,01,Inver Grove Heights Schools,Black,2012,0
0199,01,Inver Grove Heights Schools,Two or More Races,2012,NA
0200,01,Hastings Public School District,Hispanic,2012,0.08333333333333333
0200,01,Hastings Public School District,Black,2012,NA
0241,01,Albert Lea Public School District,Asian,2012,NA
0241,01,Albert Lea Public School District,Hispanic,2012,0.05128205128205128
0270,01,Hopkins Public School District,Asian,2012,0
0270,01,Hopkins Public School District,Hispanic,2012,0.09090909090909091
0270,01,Hopkins Public School District,Black,2012,0.030303030303030304
0270,01,Hopkins Public School District,Two or More Races,2012,NA
0271,01,Bloomington Public School District,Asian,2012,0.0273972602739726
0271,01,Bloomington Public School District,Hispanic,2012,0
0271,01,Bloomington Public School District,Black,2012,0.015384615384615385
0271,01,Bloomington Public School District,Two or More Races,2012,0.07692307692307693
0272,01,Eden Prairie Public School District,Asian,2012,0.05454545454545454
0272,01,Eden Prairie Public School District,Hispanic,2012,0.07317073170731707
0272,01,Eden Prairie Public School District,Black,2012,0.05454545454545454
0272,01,Eden Prairie Public School District,Two or More Races,2012,0
0273,01,Edina Public School District,Asian,2012,0
0273,01,Edina Public School District,Hispanic,2012,0
0273,01,Edina Public School District,Black,2012,0
0273,01,Edina Public School District,Two or More Races,2012,NA
0276,01,Minnetonka Public School District,Asian,2012,0
0276,01,Minnetonka Public School District,Hispanic,2012,0
0276,01,Minnetonka Public School District,Black,2012,0
0276,01,Minnetonka Public School District,Two or More Races,2012,NA
0279,01,Osseo Public School District,Asian,2012,0.039473684210526314
0279,01,Osseo Public School District,Hispanic,2012,0.07462686567164178
0279,01,Osseo Public School District,Black,2012,0.07419354838709677
0279,01,Osseo Public School District,Two or More Races,2012,0.04
0280,01,Richfield Public School District,Asian,2012,0
0280,01,Richfield Public School District,Hispanic,2012,0.1348314606741573
0280,01,Richfield Public School District,Black,2012,0.017857142857142856
0280,01,Richfield Public School District,Two or More Races,2012,NA
0281,01,Robbinsdale Public School District,Asian,2012,0.024390243902439025
0281,01,Robbinsdale Public School District,Hispanic,2012,0.07246376811594203
0281,01,Robbinsdale Public School District,Black,2012,0.07964601769911504
0281,01,Robbinsdale Public School District,Two or More Races,2012,0
0282,01,St. Anthony-New Brighton Schools,Asian,2012,0
0282,01,St. Anthony-New Brighton Schools,Hispanic,2012,0
0282,01,St. Anthony-New Brighton Schools,Black,2012,NA
0283,01,St. Louis Park Public School Dist.,Asian,2012,0
0283,01,St. Louis Park Public School Dist.,Hispanic,2012,0.11764705882352941
0283,01,St. Louis Park Public School Dist.,Black,2012,0.012048192771084338
0284,01,Wayzata Public School District,Asian,2012,0
0284,01,Wayzata Public School District,Hispanic,2012,0.04
0284,01,Wayzata Public School District,Black,2012,0.031746031746031744
0284,01,Wayzata Public School District,Two or More Races,2012,NA
0286,01,Brooklyn Center School District,Asian,2012,0
0286,01,Brooklyn Center School District,Hispanic,2012,0.16
0286,01,Brooklyn Center School District,Black,2012,0.13953488372093023
0287,06,Intermediate School District 287,Asian,2012,0
0287,06,Intermediate School District 287,Hispanic,2012,0.03614457831325301
0287,06,Intermediate School District 287,Black,2012,0.05
0287,06,Intermediate School District 287,Two or More Races,2012,0.17391304347826086
0288,06,Southwest Metro Intermediate 288,Hispanic,2012,NA
0294,01,Houston Public School District,Hispanic,2012,NA
0294,01,Houston Public School District,Two or More Races,2012,NA
0317,01,Deer River Public School District,American Indian/Alaskan Native,2012,0.2
0318,01,Grand Rapids Public School District,American Indian/Alaskan Native,2012,0.05555555555555555
0318,01,Grand Rapids Public School District,Two or More Races,2012,0.09090909090909091
0347,01,Willmar Public School District,Hispanic,2012,0.2
0347,01,Willmar Public School District,Black,2012,0.2777777777777778
0413,01,Marshall Public School District,Asian,2012,NA
0413,01,Marshall Public School District,Hispanic,2012,0.25
0413,01,Marshall Public School District,Black,2012,NA
0432,01,Mahnomen Public School District,American Indian/Alaskan Native,2012,0.5333333333333333
0432,01,Mahnomen Public School District,Two or More Races,2012,NA
0435,01,Waubun-Ogema-White Earth Public Sch,American Indian/Alaskan Native,2012,0.03225806451612903
0465,01,Litchfield Public School District,Hispanic,2012,NA
0480,01,Onamia Public School District,American Indian/Alaskan Native,2012,0.35714285714285715
0492,01,Austin Public School District,Asian,2012,NA
0492,01,Austin Public School District,Hispanic,2012,0.12698412698412698
0492,01,Austin Public School District,Black,2012,0.06666666666666667
0492,01,Austin Public School District,Two or More Races,2012,NA
0508,01,St. Peter Public School District,Hispanic,2012,0
0508,01,St. Peter Public School District,Black,2012,NA
0518,01,Worthington Public School District,Asian,2012,0.3055555555555556
0518,01,Worthington Public School District,Hispanic,2012,0.171875
0518,01,Worthington Public School District,Black,2012,0
0535,01,Rochester Public School District,Asian,2012,0.04918032786885246
0535,01,Rochester Public School District,Hispanic,2012,0.1791044776119403
0535,01,Rochester Public School District,Black,2012,0.11904761904761904
0535,01,Rochester Public School District,Two or More Races,2012,0
0548,01,Pelican Rapids Public School Dist.,Hispanic,2012,0.11764705882352941
0549,01,Perham-Dent Public School District,Hispanic,2012,NA
0564,01,Thief River Falls School District,Hispanic,2012,NA
0593,01,Crookston Public School District,Hispanic,2012,0.13636363636363635
0621,01,Mounds View Public School District,Asian,2012,0
0621,01,Mounds View Public School District,Hispanic,2012,0.05263157894736842
0621,01,Mounds View Public School District,Black,2012,0.046875
0621,01,Mounds View Public School District,Two or More Races,2012,NA
0622,01,North St Paul-Maplewood Oakdale Public School District,Asian,2012,0.017241379310344827
0622,01,North St Paul-Maplewood Oakdale Public School District,Hispanic,2012,0.043478260869565216
0622,01,North St Paul-Maplewood Oakdale Public School District,Black,2012,0.01834862385321101
0622,01,North St Paul-Maplewood Oakdale Public School District,Two or More Races,2012,0.21428571428571427
0623,01,Roseville Public School District,Asian,2012,0.07954545454545454
0623,01,Roseville Public School District,Hispanic,2012,0
0623,01,Roseville Public School District,Black,2012,0.07692307692307693
0623,01,Roseville Public School District,Two or More Races,2012,NA
0624,01,White Bear Lake School District,Asian,2012,0.02702702702702703
0624,01,White Bear Lake School District,Hispanic,2012,0.05
0624,01,White Bear Lake School District,Black,2012,0.058823529411764705
0624,01,White Bear Lake School District,Two or More Races,2012,NA
0625,01,St. Paul Public School District,American Indian/Alaskan Native,2012,0.1388888888888889
