districtNumber,districtType,districtName,year,gradRate
0001,01,Aitkin Public School District,2012,77.27
0001,03,Minneapolis Public School District,2012,52.05
0002,01,Hill City Public School District,2012,85.71
0004,01,Mcgregor Public School District,2012,65.91
0006,03,South St. Paul Public School Dist.,2012,77.12
0011,01,Anoka-Hennepin Public School District,2012,78.36
0012,01,Centennial Public School District,2012,93.66
0013,01,Columbia Heights Public School Dist,2012,78.85
0014,01,Fridley Public School District,2012,75.52
0015,01,St. Francis Public School District,2012,90.56
0016,01,Spring Lake Park Public Schools,2012,79.69
0022,01,Detroit Lakes Public School Dist.,2012,81.33
0023,01,Frazee-Vergas Public School Dist.,2012,90.74
0031,01,Bemidji Public School District,2012,75.27
0032,01,Blackduck Public School District,2012,93.33
0036,01,Kelliher Public School District,2012,76.47
0038,01,Red Lake Public School District,2012,24.47
0047,01,Sauk Rapids-Rice Public Schools,2012,93.48
0051,01,Foley Public School District,2012,95.68
0075,01,St. Clair Public School District,2012,94.29
0077,01,Mankato Public School District,2012,83.86
0081,01,Comfrey Public School District,2012,85.71
0084,01,Sleepy Eye Public School District,2012,96.15
0085,01,Springfield Public School District,2012,97.56
0088,01,New Ulm Public School District,2012,92.68
0091,01,Barnum Public School District,2012,93.62
0093,01,Carlton Public School District,2012,80
0094,01,Cloquet Public School District,2012,79.5
0095,01,Cromwell-Wright Public Schools,2012,89.47
0097,01,Moose Lake Public School District,2012,89.47
0099,01,Esko Public School District,2012,96.43
0100,01,Wrenshall Public School District,2012,70
0108,01,Central Public School District,2012,92.22
0110,01,Waconia Public School District,2012,92.44
0111,01,Watertown-Mayer Public School Dist.,2012,92.52
0112,01,Eastern Carver County Public School,2012,89.64
0113,01,Walker-Hackensack-Akeley Schl. Dist,2012,74.32
0115,01,Cass Lake-Bena Public Schools,2012,48.05
0116,01,Pillager Public School District,2012,98.21
0118,01,Northland Community Schools,2012,95.83
0129,01,Montevideo Public School District,2012,97.83
0138,01,North Branch Public Schools,2012,80.97
0139,01,Rush City Public School District,2012,93.15
0146,01,Barnesville Public School District,2012,95.92
0150,01,Hawley Public School District,2012,91.89
0152,01,Moorhead Public School District,2012,73.71
0160,70,Minnesota State Academies,2012,61.54
0162,01,Bagley Public School District,2012,73.42
0166,01,Cook County Public Schools,2012,79.41
0173,01,Mountain Lake Public Schools,2012,87.5
0177,01,Windom Public School District,2012,94.92
0181,01,Brainerd Public School District,2012,79.44
0182,01,Crosby-Ironton Public School Dist.,2012,84.62
0186,01,Pequot Lakes Public Schools,2012,92.25
0191,01,Burnsville Public School District,2012,80.67
0192,01,Farmington Public School District,2012,91.96
0194,01,Lakeville Public School District,2012,91.26
0195,01,Randolph Public School District,2012,97.62
