districtNumber,districtType,districtName,year,gradRate
0001,03,MINNEAPOLIS PUBLIC SCHOOL DISTRICT,2012,0.42730496453900707
0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST.,2012,0.6164383561643836
0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DISTRICT,2012,0.6482334869431644
0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT,2012,0.9761904761904762
0013,01,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,2012,0.8050847457627118
0014,01,FRIDLEY PUBLIC SCHOOL DISTRICT,2012,0.711340206185567
0015,01,ST. FRANCIS PUBLIC SCHOOL DISTRICT,2012,0.8181818181818182
0016,01,SPRING LAKE PARK PUBLIC SCHOOLS,2012,0.7117117117117117
0022,01,DETROIT LAKES PUBLIC SCHOOL DIST.,2012,0.6666666666666666
0031,01,BEMIDJI PUBLIC SCHOOL DISTRICT,2012,0.4482758620689655
0038,01,RED LAKE PUBLIC SCHOOL DISTRICT,2012,0.24468085106382978
0047,01,SAUK RAPIDS-RICE PUBLIC SCHOOLS,2012,NA
0077,01,MANKATO PUBLIC SCHOOL DISTRICT,2012,0.5774647887323944
0094,01,CLOQUET PUBLIC SCHOOL DISTRICT,2012,0.5384615384615384
0110,01,WACONIA PUBLIC SCHOOL DISTRICT,2012,1
0112,01,EASTERN CARVER COUNTY PUBLIC SCHOOL,2012,0.7714285714285715
0115,01,CASS LAKE-BENA PUBLIC SCHOOLS,2012,0.3870967741935484
0152,01,MOORHEAD PUBLIC SCHOOL DISTRICT,2012,0.46
0162,01,BAGLEY PUBLIC SCHOOL DISTRICT,2012,0.625
0166,01,COOK COUNTY PUBLIC SCHOOLS,2012,NA
0181,01,BRAINERD PUBLIC SCHOOL DISTRICT,2012,NA
0191,01,BURNSVILLE PUBLIC SCHOOL DISTRICT,2012,0.6306620209059234
0192,01,FARMINGTON PUBLIC SCHOOL DISTRICT,2012,0.851063829787234
0194,01,LAKEVILLE PUBLIC SCHOOL DISTRICT,2012,0.8279569892473119
0196,01,ROSEMOUNT-APPLE VALLEY-EAGAN,2012,0.7851662404092071
0197,01,WEST ST. PAUL-MENDOTA HTS.-EAGAN,2012,0.75
0199,01,INVER GROVE HEIGHTS SCHOOLS,2012,0.7111111111111111
0200,01,HASTINGS PUBLIC SCHOOL DISTRICT,2012,0.6666666666666666
0241,01,ALBERT LEA PUBLIC SCHOOL DISTRICT,2012,0.41025641025641024
0270,01,HOPKINS PUBLIC SCHOOL DISTRICT,2012,0.673202614379085
0271,01,BLOOMINGTON PUBLIC SCHOOL DISTRICT,2012,0.7016949152542373
0272,01,EDEN PRAIRIE PUBLIC SCHOOL DISTRICT,2012,0.6404494382022472
0273,01,EDINA PUBLIC SCHOOL DISTRICT,2012,0.9010989010989011
0276,01,MINNETONKA PUBLIC SCHOOL DISTRICT,2012,0.9242424242424242
0279,01,OSSEO PUBLIC SCHOOL DISTRICT,2012,0.7088235294117647
0280,01,RICHFIELD PUBLIC SCHOOL DISTRICT,2012,0.4539877300613497
0281,01,ROBBINSDALE PUBLIC SCHOOL DISTRICT,2012,0.654911838790932
0282,01,ST. ANTHONY-NEW BRIGHTON SCHOOLS,2012,0.6666666666666666
0283,01,ST. LOUIS PARK PUBLIC SCHOOL DIST.,2012,0.753968253968254
0284,01,WAYZATA PUBLIC SCHOOL DISTRICT,2012,0.782051282051282
0286,01,BROOKLYN CENTER SCHOOL DISTRICT,2012,0.6276595744680851
0287,06,INTERMEDIATE SCHOOL DISTRICT 287,2012,0.056338028169014086
0288,06,SOUTHWEST METRO INTERMEDIATE 288,2012,NA
0294,01,HOUSTON PUBLIC SCHOOL DISTRICT,2012,0.2
0317,01,DEER RIVER PUBLIC SCHOOL DISTRICT,2012,0.5
0318,01,GRAND RAPIDS PUBLIC SCHOOL DISTRICT,2012,0.7435897435897436
0347,01,WILLMAR PUBLIC SCHOOL DISTRICT,2012,0.33980582524271846
0413,01,MARSHALL PUBLIC SCHOOL DISTRICT,2012,0.5
0432,01,MAHNOMEN PUBLIC SCHOOL DISTRICT,2012,0.13333333333333333
0435,01,WAUBUN-OGEMA-WHITE EARTH PUBLIC SCH,2012,0.41935483870967744
0465,01,LITCHFIELD PUBLIC SCHOOL DISTRICT,2012,NA
0480,01,ONAMIA PUBLIC SCHOOL DISTRICT,2012,0.5
0492,01,AUSTIN PUBLIC SCHOOL DISTRICT,2012,0.6538461538461539
0508,01,ST. PETER PUBLIC SCHOOL DISTRICT,2012,0.7272727272727273
0518,01,WORTHINGTON PUBLIC SCHOOL DISTRICT,2012,0.584070796460177
0535,01,ROCHESTER PUBLIC SCHOOL DISTRICT,2012,0.6976047904191617
0548,01,PELICAN RAPIDS PUBLIC SCHOOL DIST.,2012,0.8823529411764706
0549,01,PERHAM-DENT PUBLIC SCHOOL DISTRICT,2012,NA
0564,01,THIEF RIVER FALLS SCHOOL DISTRICT,2012,NA
0593,01,CROOKSTON PUBLIC SCHOOL DISTRICT,2012,0.5909090909090909
0621,01,MOUNDS VIEW PUBLIC SCHOOL DISTRICT,2012,0.8256410256410256
0622,01,NORTH ST PAUL-MAPLEWOOD OAKDALE PUBLIC SCHOOL DISTRICT,2012,0.703125
0623,01,ROSEVILLE PUBLIC SCHOOL DISTRICT,2012,0.5865921787709497
0624,01,WHITE BEAR LAKE SCHOOL DISTRICT,2012,0.8513513513513513
0625,01,ST. PAUL PUBLIC SCHOOL DISTRICT,2012,0.6474725274725275
0656,01,FARIBAULT PUBLIC SCHOOL DISTRICT,2012,0.4032258064516129
0659,01,NORTHFIELD PUBLIC SCHOOL DISTRICT,2012,0.8148148148148148
0690,01,WARROAD PUBLIC SCHOOL DISTRICT,2012,NA
0709,01,DULUTH PUBLIC SCHOOL DISTRICT,2012,0.5984848484848485
0717,01,JORDAN PUBLIC SCHOOL DISTRICT,2012,NA
0719,01,PRIOR LAKE-SAVAGE AREA SCHOOLS,2012,0.6666666666666666
0720,01,SHAKOPEE PUBLIC SCHOOL DISTRICT,2012,0.6791044776119403
0721,01,NEW PRAGUE AREA SCHOOLS,2012,NA
0727,01,BIG LAKE PUBLIC SCHOOL DISTRICT,2012,NA
0728,01,ELK RIVER PUBLIC SCHOOL DISTRICT,2012,0.7887323943661971
0740,01,MELROSE PUBLIC SCHOOL DISTRICT,2012,0.9166666666666666
0742,01,ST. CLOUD PUBLIC SCHOOL DISTRICT,2012,0.5721649484536082
0750,01,ROCORI PUBLIC SCHOOL DISTRICT,2012,NA
0761,01,OWATONNA PUBLIC SCHOOL DISTRICT,2012,0.6607142857142857
0829,01,WASECA PUBLIC SCHOOL DISTRICT,2012,0.6470588235294118
0831,01,FOREST LAKE PUBLIC SCHOOL DISTRICT,2012,0.9285714285714286
0832,01,MAHTOMEDI PUBLIC SCHOOL DISTRICT,2012,NA
0833,01,SOUTH WASHINGTON COUNTY SCHOOL DIST,2012,0.8615916955017301
0834,01,STILLWATER AREA PUBLIC SCHOOL DIST.,2012,0.8214285714285714
0837,01,MADELIA PUBLIC SCHOOL DISTRICT,2012,0.5454545454545454
0840,01,ST. JAMES PUBLIC SCHOOL DISTRICT,2012,0.8620689655172413
0858,01,ST. CHARLES PUBLIC SCHOOL DISTRICT,2012,NA
0861,01,WINONA AREA PUBLIC SCHOOL DISTRICT,2012,0.6785714285714286
0877,01,BUFFALO-HANOVER-MONTROSE PUBLIC SCH,2012,0.6666666666666666
0882,01,MONTICELLO PUBLIC SCHOOL DISTRICT,2012,0.8823529411764706
0885,01,ST. MICHAEL-ALBERTVILLE SCHOOL DIST,2012,0.5454545454545454
0911,01,CAMBRIDGE-ISANTI PUBLIC SCHOOL DIST,2012,NA
0916,06,NORTHEAST METRO 916,2012,0.11206896551724138
0917,06,INTERMEDIATE SCHOOL DISTRICT 917,2012,0.15217391304347827
0991,83,REGION 6 AND 8-SW/WC SERVICE COOPERATIVE,2012,NA
1094,34,FOND DU LAC OJIBWE,2012,0.65
1435,34,CIRCLE OF LIFE,2012,NA
2142,01,ST. LOUIS COUNTY SCHOOL DISTRICT,2012,0.782608695652174
2310,01,SIBLEY EAST SCHOOL DISTRICT,2012,0.7
