districtNumber,districtType,districtName,description,year,gradRate
0001,03,MINNEAPOLIS PUBLIC SCHOOL DISTRICT,American Indian/Alaskan Native,2012,0.26666666666666666
0001,03,MINNEAPOLIS PUBLIC SCHOOL DISTRICT,Asian,2012,0.6897689768976898
0001,03,MINNEAPOLIS PUBLIC SCHOOL DISTRICT,Hispanic,2012,0.37105263157894736
0001,03,MINNEAPOLIS PUBLIC SCHOOL DISTRICT,Black,2012,0.37794432548179874
0001,03,MINNEAPOLIS PUBLIC SCHOOL DISTRICT,Two or More Races,2012,NA
0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST.,Hispanic,2012,0.62
0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST.,Black,2012,0.6086956521739131
0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DISTRICT,American Indian/Alaskan Native,2012,0.5925925925925926
0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DISTRICT,Asian,2012,0.8140703517587939
0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DISTRICT,Hispanic,2012,0.61
0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DISTRICT,Black,2012,0.5694915254237288
0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DISTRICT,Two or More Races,2012,0.5
0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT,Asian,2012,1
0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT,Hispanic,2012,1
0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT,Black,2012,0.9
0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT,Two or More Races,2012,NA
0013,01,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,Asian,2012,0.8571428571428571
0013,01,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,Hispanic,2012,0.8076923076923077
0013,01,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,Black,2012,0.7884615384615384
0014,01,FRIDLEY PUBLIC SCHOOL DISTRICT,Asian,2012,0.92
0014,01,FRIDLEY PUBLIC SCHOOL DISTRICT,Hispanic,2012,0.6111111111111112
0014,01,FRIDLEY PUBLIC SCHOOL DISTRICT,Black,2012,0.6481481481481481
0014,01,FRIDLEY PUBLIC SCHOOL DISTRICT,Two or More Races,2012,NA
0015,01,ST. FRANCIS PUBLIC SCHOOL DISTRICT,Asian,2012,0.8181818181818182
0015,01,ST. FRANCIS PUBLIC SCHOOL DISTRICT,Two or More Races,2012,NA
0016,01,SPRING LAKE PARK PUBLIC SCHOOLS,Asian,2012,0.9375
0016,01,SPRING LAKE PARK PUBLIC SCHOOLS,Hispanic,2012,0.5357142857142857
0016,01,SPRING LAKE PARK PUBLIC SCHOOLS,Black,2012,0.717948717948718
0016,01,SPRING LAKE PARK PUBLIC SCHOOLS,Two or More Races,2012,0.5
0022,01,DETROIT LAKES PUBLIC SCHOOL DIST.,American Indian/Alaskan Native,2012,0.6666666666666666
0022,01,DETROIT LAKES PUBLIC SCHOOL DIST.,Two or More Races,2012,NA
0031,01,BEMIDJI PUBLIC SCHOOL DISTRICT,American Indian/Alaskan Native,2012,0.4482758620689655
0031,01,BEMIDJI PUBLIC SCHOOL DISTRICT,Two or More Races,2012,NA
0038,01,RED LAKE PUBLIC SCHOOL DISTRICT,American Indian/Alaskan Native,2012,0.24468085106382978
0047,01,SAUK RAPIDS-RICE PUBLIC SCHOOLS,Black,2012,NA
0077,01,MANKATO PUBLIC SCHOOL DISTRICT,Asian,2012,0.8
0077,01,MANKATO PUBLIC SCHOOL DISTRICT,Hispanic,2012,0.6666666666666666
0077,01,MANKATO PUBLIC SCHOOL DISTRICT,Black,2012,0.5
0077,01,MANKATO PUBLIC SCHOOL DISTRICT,Two or More Races,2012,NA
