districtNumber,districtType,districtName,year,gradRate
0001,03,MINNEAPOLIS PUBLIC SCHOOL DISTRICT,2012,0.371052631578947
0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST.,2012,0.62
0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DISTRICT,2012,0.61
0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT,2012,1
0013,01,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,2012,0.807692307692308
0014,01,FRIDLEY PUBLIC SCHOOL DISTRICT,2012,0.611111111111111
0016,01,SPRING LAKE PARK PUBLIC SCHOOLS,2012,0.535714285714286
0077,01,MANKATO PUBLIC SCHOOL DISTRICT,2012,0.666666666666667
0110,01,WACONIA PUBLIC SCHOOL DISTRICT,2012,1
0112,01,EASTERN CARVER COUNTY PUBLIC SCHOOL,2012,0.666666666666667
0152,01,MOORHEAD PUBLIC SCHOOL DISTRICT,2012,0.4
0181,01,BRAINERD PUBLIC SCHOOL DISTRICT,2012,NA
0191,01,BURNSVILLE PUBLIC SCHOOL DISTRICT,2012,0.515789473684211
0192,01,FARMINGTON PUBLIC SCHOOL DISTRICT,2012,0.882352941176471
0194,01,LAKEVILLE PUBLIC SCHOOL DISTRICT,2012,0.769230769230769
0196,01,ROSEMOUNT-APPLE VALLEY-EAGAN,2012,0.702970297029703
0197,01,WEST ST. PAUL-MENDOTA HTS.-EAGAN,2012,0.771929824561403
0199,01,INVER GROVE HEIGHTS SCHOOLS,2012,0.696969696969697
0200,01,HASTINGS PUBLIC SCHOOL DISTRICT,2012,0.666666666666667
0241,01,ALBERT LEA PUBLIC SCHOOL DISTRICT,2012,0.41025641025641
0270,01,HOPKINS PUBLIC SCHOOL DISTRICT,2012,0.606060606060606
0271,01,BLOOMINGTON PUBLIC SCHOOL DISTRICT,2012,0.652173913043478
0272,01,EDEN PRAIRIE PUBLIC SCHOOL DISTRICT,2012,0.585365853658537
0273,01,EDINA PUBLIC SCHOOL DISTRICT,2012,0.833333333333333
0276,01,MINNETONKA PUBLIC SCHOOL DISTRICT,2012,0.928571428571429
0279,01,OSSEO PUBLIC SCHOOL DISTRICT,2012,0.597014925373134
0280,01,RICHFIELD PUBLIC SCHOOL DISTRICT,2012,0.348314606741573
0281,01,ROBBINSDALE PUBLIC SCHOOL DISTRICT,2012,0.594202898550725
0282,01,ST. ANTHONY-NEW BRIGHTON SCHOOLS,2012,0.5
0283,01,ST. LOUIS PARK PUBLIC SCHOOL DIST.,2012,0.529411764705882
0284,01,WAYZATA PUBLIC SCHOOL DISTRICT,2012,0.84
0286,01,BROOKLYN CENTER SCHOOL DISTRICT,2012,0.48
0287,06,INTERMEDIATE SCHOOL DISTRICT 287,2012,0.0602409638554217
0288,06,SOUTHWEST METRO INTERMEDIATE 288,2012,NA
0294,01,HOUSTON PUBLIC SCHOOL DISTRICT,2012,NA
0347,01,WILLMAR PUBLIC SCHOOL DISTRICT,2012,0.317647058823529
0413,01,MARSHALL PUBLIC SCHOOL DISTRICT,2012,0.5
0465,01,LITCHFIELD PUBLIC SCHOOL DISTRICT,2012,NA
0492,01,AUSTIN PUBLIC SCHOOL DISTRICT,2012,0.650793650793651
0508,01,ST. PETER PUBLIC SCHOOL DISTRICT,2012,0.727272727272727
0518,01,WORTHINGTON PUBLIC SCHOOL DISTRICT,2012,0.59375
0535,01,ROCHESTER PUBLIC SCHOOL DISTRICT,2012,0.567164179104478
0548,01,PELICAN RAPIDS PUBLIC SCHOOL DIST.,2012,0.882352941176471
0549,01,PERHAM-DENT PUBLIC SCHOOL DISTRICT,2012,NA
0564,01,THIEF RIVER FALLS SCHOOL DISTRICT,2012,NA
0593,01,CROOKSTON PUBLIC SCHOOL DISTRICT,2012,0.590909090909091
0621,01,MOUNDS VIEW PUBLIC SCHOOL DISTRICT,2012,0.736842105263158
0622,01,NORTH ST PAUL-MAPLEWOOD OAKDALE PUBLIC SCHOOL DISTRICT,2012,0.666666666666667
0623,01,ROSEVILLE PUBLIC SCHOOL DISTRICT,2012,0.653846153846154
0624,01,WHITE BEAR LAKE SCHOOL DISTRICT,2012,0.7
0625,01,ST. PAUL PUBLIC SCHOOL DISTRICT,2012,0.583333333333333
0656,01,FARIBAULT PUBLIC SCHOOL DISTRICT,2012,0.439024390243902
0659,01,NORTHFIELD PUBLIC SCHOOL DISTRICT,2012,0.814814814814815
0709,01,DULUTH PUBLIC SCHOOL DISTRICT,2012,0.571428571428571
0717,01,JORDAN PUBLIC SCHOOL DISTRICT,2012,NA
0719,01,PRIOR LAKE-SAVAGE AREA SCHOOLS,2012,0.666666666666667
0720,01,SHAKOPEE PUBLIC SCHOOL DISTRICT,2012,0.591836734693878
0721,01,NEW PRAGUE AREA SCHOOLS,2012,NA
0727,01,BIG LAKE PUBLIC SCHOOL DISTRICT,2012,NA
0728,01,ELK RIVER PUBLIC SCHOOL DISTRICT,2012,0.571428571428571
0740,01,MELROSE PUBLIC SCHOOL DISTRICT,2012,0.916666666666667
0742,01,ST. CLOUD PUBLIC SCHOOL DISTRICT,2012,0.652173913043478
0750,01,ROCORI PUBLIC SCHOOL DISTRICT,2012,NA
0761,01,OWATONNA PUBLIC SCHOOL DISTRICT,2012,0.634146341463415
0829,01,WASECA PUBLIC SCHOOL DISTRICT,2012,0.647058823529412
0831,01,FOREST LAKE PUBLIC SCHOOL DISTRICT,2012,NA
0833,01,SOUTH WASHINGTON COUNTY SCHOOL DIST,2012,0.853333333333333
0834,01,STILLWATER AREA PUBLIC SCHOOL DIST.,2012,0.75
0837,01,MADELIA PUBLIC SCHOOL DISTRICT,2012,0.545454545454545
0840,01,ST. JAMES PUBLIC SCHOOL DISTRICT,2012,0.862068965517241
0858,01,ST. CHARLES PUBLIC SCHOOL DISTRICT,2012,NA
0877,01,BUFFALO-HANOVER-MONTROSE PUBLIC SCH,2012,0.666666666666667
0882,01,MONTICELLO PUBLIC SCHOOL DISTRICT,2012,0.882352941176471
0916,06,NORTHEAST METRO 916,2012,0.0645161290322581
0917,06,INTERMEDIATE SCHOOL DISTRICT 917,2012,0.0416666666666667
0991,83,REGION 6 AND 8-SW/WC SERVICE COOPERATIVE,2012,NA
2310,01,SIBLEY EAST SCHOOL DISTRICT,2012,0.7
2365,01,G.F.W. PUBLIC SCHOOL DISTRICT,2012,0.545454545454545
2397,01,LE SUEUR-HENDERSON SCHOOL DISTRICT,2012,NA
2752,01,FAIRMONT AREA SCHOOL DISTRICT,2012,NA
2753,01,LONG PRAIRIE-GREY EAGLE SCHOOL DISTRICT,2012,0.4
2859,01,GLENCOE-SILVER LAKE SCHOOL DISTRICT,2012,0.625
2890,01,RENVILLE COUNTY WEST SCHOOL DIST.,2012,NA
2905,01,TRI-CITY UNITED SCHOOL DISTRICT,2012,NA
4000,07,CITY ACADEMY,2012,NA
4015,07,COMMUNITY OF PEACE ACADEMY,2012,NA
4017,07,MINNESOTA TRANSITIONS CHARTER SCHOOL,2012,0.191489361702128
4039,07,HIGH SCHOOL FOR RECORDING ARTS,2012,NA
4057,07,EL COLEGIO CHARTER SCHOOL,2012,0.0740740740740741
4082,07,BLUESKY CHARTER SCHOOL,2012,NA
4112,07,ST PAUL CONSERVATORY PERFORMING ART,2012,NA
4126,07,PRAIRIE SEEDS ACADEMY,2012,NA
4132,07,TWIN CITIES ACADEMY,2012,NA
4178,07,LINCOLN INTERNATIONAL SCHOOL,2012,0.06
6018,61,MN RIVER VALLEY EDUCATION DISTRICT,2012,0.230769230769231
6049,61,RIVER BEND EDUCATION DISTRICT,2012,0.307692307692308
0000,01,Minneapolis-St. Paul International Airport,2012,NA
0001,01,Aitkin,2012,NA
0002,01,Hill City,2012,NA
0004,01,McGregor,2012,NA
0023,01,Frazee-Vergas,2012,NA
0025,01,Pine Point,2012,NA
0032,01,Blackduck,2012,NA
0036,01,Kelliher,2012,NA
0051,01,Foley,2012,NA
0075,01,St. Clair,2012,NA
0081,01,Comfrey,2012,NA
0084,01,Sleepy Eye,2012,NA
0085,01,Springfield,2012,NA
0088,01,New Ulm,2012,NA
0091,01,Barnum,2012,NA
0093,01,Carlton,2012,NA
0095,01,Cromwell-Wright,2012,NA
0097,01,Moose Lake,2012,NA
0099,01,Esko,2012,NA
0100,01,Wrenshall,2012,NA
0108,01,Central,2012,NA
0111,01,Watertown-Mayer,2012,NA
0113,01,Walker-Hackensack-Akeley,2012,NA
0116,01,Pillager,2012,NA
0118,01,Northland Community,2012,NA
0129,01,Montevideo,2012,NA
0138,01,North Branch,2012,NA
0139,01,Rush City,2012,NA
0146,01,Barnesville,2012,NA
0150,01,Hawley,2012,NA
0173,01,Mountain Lake,2012,NA
0177,01,Windom,2012,NA
0182,01,Crosby-Ironton,2012,NA
0186,01,Pequot Lakes,2012,NA
0195,01,Randolph,2012,NA
0203,01,Hayfield,2012,NA
0204,01,Kasson-Mantorville,2012,NA
0206,01,Alexandria,2012,NA
0213,01,Osakis,2012,NA
0227,01,Chatfield,2012,NA
0229,01,Lanesboro,2012,NA
0238,01,Mabel-Canton,2012,NA
0239,01,Rushford-Peterson,2012,NA
0242,01,Alden-Conger,2012,NA
0252,01,Cannon Falls,2012,NA
0253,01,Goodhue,2012,NA
0255,01,Pine Island,2012,NA
0256,01,Red Wing,2012,NA
0261,01,Ashby,2012,NA
0264,01,Herman-Norcross,2012,NA
0323,02,Franconia,2012,NA
0277,01,Westonka,2012,NA
0278,01,Orono,2012,NA
0297,01,Spring Grove,2012,NA
0299,01,Caledonia,2012,NA
0300,01,La Crescent-Hokah,2012,NA
0306,01,Laporte,2012,NA
0308,01,Nevis,2012,NA
0309,01,Park Rapids,2012,NA
0314,01,Braham,2012,NA
0316,01,Greenway,2012,NA
0319,01,Nashwauk-Keewatin,2012,NA
0330,01,Heron Lake-Okabena,2012,NA
0332,01,Mora,2012,NA
0333,01,Ogilvie,2012,NA
0345,01,New London-Spicer,2012,NA
0356,01,Lancaster,2012,NA
0361,01,International Falls,2012,NA
0362,01,Littlefork-Big Falls,2012,NA
0363,01,South Koochingching,2012,NA
0378,01,Dawson-Boyd,2012,NA
0381,01,Lake Superior,2012,NA
0390,01,Lake of the Woods,2012,NA
0391,01,Cleveland,2012,NA
0402,01,Hendricks,2012,NA
0403,01,Ivanhoe,2012,NA
0404,01,Lake Benton,2012,NA
0414,01,Minneota,2012,NA
0415,01,Lynd,2012,NA
0423,01,Hutchinson,2012,NA
0441,01,Marshall County Central,2012,NA
0447,01,Grygla,2012,NA
0458,01,Truman,2012,NA
0463,01,Eden Valley-Watkins,2012,NA
0466,01,Dassel-Cokato,2012,NA
0473,01,Isle,2012,NA
0477,01,Princeton,2012,NA
0482,01,Little Falls,2012,NA
0484,01,Pierz,2012,NA
0485,01,Royalton,2012,NA
0486,01,Swanville,2012,NA
0487,01,Upsala,2012,NA
0495,01,Grand Meadow,2012,NA
0497,01,Lyle,2012,NA
0499,01,Leroy-Ostrander,2012,NA
0500,01,Southland,2012,NA
0505,01,Fulda,2012,NA
