fiscalYear,districtNumber,districtType,districtName,languageName,homePrimaryLanguage,enrollments,countyCode,CountyName,eco_dev_rgn,strata,strataName
13-Dec,1,1,AITKIN PUBLIC SCHOOL DISTRICT,English,11,1266,1,Aitkin                                       ,3,4,Outstate - Enrollment between 1000 and 1999
13-Dec,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.,Hmong,20,1401,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
13-Dec,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.,Russian,40,20,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
13-Dec,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.,Somali,69,2535,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
13-Dec,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.,French,15,89,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
13-Dec,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.,Estonian,12,2,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
13-Dec,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.,Twi,161,1,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
13-Dec,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.,"Sign Language, ASL",42,4,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
13-Dec,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.,Polish,37,1,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
13-Dec,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.,Japanese,24,6,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
13-Dec,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.,Afar,175,2,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
13-Dec,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.,Hindi ,19,52,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
13-Dec,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.,"Lao, Laotian ",28,95,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
13-Dec,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.,Portuguese,38,2,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
13-Dec,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.,Bengali,10,22,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
13-Dec,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.,"Ojibwa, Chippewa, Anishinaabemowin",35,2,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
13-Dec,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.,Greek,54,2,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
13-Dec,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.,Slovak,43,2,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
13-Dec,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.,Spanish,45,5707,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
13-Dec,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.,Thai,47,1,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
13-Dec,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.,Norwegian,34,1,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
13-Dec,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.,Romanian,39,1,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
13-Dec,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.,Not Specific,52,427,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
13-Dec,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.,Ukrainian,49,3,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
13-Dec,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.,"Indonesian, Bahasa Indonesian",32,9,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
13-Dec,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.,German,17,3,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
13-Dec,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.,Cheyenne,6,1,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
13-Dec,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.,"Swahili, Kiswahili ",70,21,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
13-Dec,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.,Italian,23,6,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
13-Dec,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.,Nepali,68,27,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
13-Dec,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.,Vietnamese,51,82,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
13-Dec,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.,Fulah,66,1,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
13-Dec,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.,Arabic,2,56,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
13-Dec,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.,English,11,23534,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
13-Dec,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.,Icelandic,22,4,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
13-Dec,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.,Pashto ,60,1,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
13-Dec,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.,Korean,26,4,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
13-Dec,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.,Tigrinya,71,7,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
13-Dec,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.,Armenian,3,2,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
13-Dec,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.,Wolof,94,1,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
13-Dec,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.,Iu Mien  ,61,1,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
13-Dec,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.,Mandingo,302,6,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
13-Dec,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.,Farsi ,13,6,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
13-Dec,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.,Bosnian,41,8,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
13-Dec,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.,Czech,4,2,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
13-Dec,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.,Cebuano,36,12,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
13-Dec,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.,"Chinese, Mandarin ",7,61,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
13-Dec,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.,Swedish,46,3,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
13-Dec,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.,Avaric,184,1,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
13-Dec,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.,Amharic,63,103,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
13-Dec,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.,"Khmer, Cambodian ",5,38,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
13-Dec,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.,Ga,160,2,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
13-Dec,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.,Samoan,56,1,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
13-Dec,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.,Turkish,48,3,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
13-Dec,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.,Dutch,33,3,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
13-Dec,2,1,HILL CITY PUBLIC SCHOOL DISTRICT,English,11,275,1,Aitkin                                       ,3,6,Outstate - Enrollment less than 500
13-Dec,4,1,MCGREGOR PUBLIC SCHOOL DISTRICT,English,11,395,1,Aitkin                                       ,3,6,Outstate - Enrollment less than 500
13-Dec,6,3,SOUTH ST. PAUL PUBLIC SCHOOL DIST.,"Chinese, Mandarin ",7,1,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
13-Dec,6,3,SOUTH ST. PAUL PUBLIC SCHOOL DIST.,Arabic,2,10,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
13-Dec,6,3,SOUTH ST. PAUL PUBLIC SCHOOL DIST.,Somali,69,13,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
13-Dec,6,3,SOUTH ST. PAUL PUBLIC SCHOOL DIST.,Tigrinya,71,6,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
13-Dec,6,3,SOUTH ST. PAUL PUBLIC SCHOOL DIST.,Hmong,20,8,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
13-Dec,6,3,SOUTH ST. PAUL PUBLIC SCHOOL DIST.,English,11,2823,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
13-Dec,6,3,SOUTH ST. PAUL PUBLIC SCHOOL DIST.,"Lao, Laotian ",28,1,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
13-Dec,6,3,SOUTH ST. PAUL PUBLIC SCHOOL DIST.,Bengali,10,1,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
13-Dec,6,3,SOUTH ST. PAUL PUBLIC SCHOOL DIST.,Spanish,45,422,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
13-Dec,6,3,SOUTH ST. PAUL PUBLIC SCHOOL DIST.,Hindi ,19,3,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
13-Dec,6,3,SOUTH ST. PAUL PUBLIC SCHOOL DIST.,Amharic,63,2,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
13-Dec,6,3,SOUTH ST. PAUL PUBLIC SCHOOL DIST.,Korean,26,1,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
13-Dec,6,3,SOUTH ST. PAUL PUBLIC SCHOOL DIST.,Samoan,56,1,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
13-Dec,6,3,SOUTH ST. PAUL PUBLIC SCHOOL DIST.,"Oromo, Afan Oromo, Oromiffa ",74,1,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
13-Dec,6,3,SOUTH ST. PAUL PUBLIC SCHOOL DIST.,Cebuano,36,2,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
13-Dec,6,3,SOUTH ST. PAUL PUBLIC SCHOOL DIST.,Romanian,39,3,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
13-Dec,6,3,SOUTH ST. PAUL PUBLIC SCHOOL DIST.,French,15,2,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
13-Dec,6,3,SOUTH ST. PAUL PUBLIC SCHOOL DIST.,"Khmer, Cambodian ",5,1,19,Dakota                                       ,11,2,County Metro Area excluding MPLS/STP
13-Dec,11,1,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Loma,290,5,2,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
13-Dec,11,1,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,"Swahili, Kiswahili ",70,173,2,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
13-Dec,11,1,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Yoruba,75,52,2,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
13-Dec,11,1,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Ga,160,2,2,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
13-Dec,11,1,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Gio,242,6,2,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
13-Dec,11,1,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Cebuano,36,44,2,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
13-Dec,11,1,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Basaa,409,3,2,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
13-Dec,11,1,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Somali,69,156,2,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
13-Dec,11,1,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Spanish,45,1007,2,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
13-Dec,11,1,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Banda,190,1,2,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
13-Dec,11,1,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Urdu,122,13,2,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
13-Dec,11,1,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Sidamo,138,1,2,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
13-Dec,11,1,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Tagalog,375,1,2,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
13-Dec,11,1,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Gbandi ,238,3,2,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
13-Dec,11,1,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Arawak,79,3,2,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
13-Dec,11,1,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,"Kpelle, Pelle ",148,13,2,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
13-Dec,11,1,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Albanian,72,2,2,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
13-Dec,11,1,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,"Chinese, Mandarin ",7,79,2,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
13-Dec,11,1,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Kannada ,113,1,2,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
13-Dec,11,1,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Marathi,116,1,2,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
13-Dec,11,1,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Afrikaans,1,2,2,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
13-Dec,11,1,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Macedonian,89,1,2,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
