districtNumber,districtType,districtName,year,percentEng
0001,01,AITKIN PUBLIC SCHOOL DISTRICT,2007,0.998484848484849
0001,03,MINNEAPOLIS PUBLIC SCHOOL DISTRICT,2007,0.693770293324528
0002,01,HILL CITY PUBLIC SCHOOL DISTRICT,2007,1
0004,01,MCGREGOR PUBLIC SCHOOL DISTRICT,2007,1
0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DISTRICT,2007,0.884398496240602
0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DISTRICT,2007,0.88334112207
0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT,2007,0.962701612903226
0013,01,COLUMBIA HEIGHTS PUBLIC SCHOOL DISTRICT,2007,0.6842287694974
0014,01,FRIDLEY PUBLIC SCHOOL DISTRICT,2007,0.856280648811769
0015,01,ST. FRANCIS PUBLIC SCHOOL DISTRICT,2007,0.958072696534235
0016,01,SPRING LAKE PARK PUBLIC SCHOOLS,2007,0.901488616462347
0022,01,DETROIT LAKES PUBLIC SCHOOL DISTRICT,2007,0.995909259947936
0023,01,FRAZEE-VERGAS PUBLIC SCHOOL DISTRICT,2007,0.981481481481482
0025,01,PINE POINT PUBLIC SCHOOL DISTRICT,2007,1
0031,01,BEMIDJI PUBLIC SCHOOL DISTRICT,2007,0.994338435730761
0032,01,BLACKDUCK PUBLIC SCHOOL DISTRICT,2007,0.990223463687151
0036,01,KELLIHER PUBLIC SCHOOL DISTRICT,2007,1
0038,01,RED LAKE PUBLIC SCHOOL DISTRICT,2007,0.860591900311526
0047,01,SAUK RAPIDS-RICE PUBLIC SCHOOLS,2007,0.989130434782609
0051,01,FOLEY PUBLIC SCHOOL DISTRICT,2007,0.997243660418964
0075,01,ST. CLAIR PUBLIC SCHOOL DISTRICT,2007,0.998425196850394
0077,01,MANKATO PUBLIC SCHOOL DISTRICT,2007,0.937142038946163
0081,01,COMFREY PUBLIC SCHOOL DISTRICT,2007,0.986666666666667
0084,01,SLEEPY EYE PUBLIC SCHOOL DISTRICT,2007,0.695195195195195
0085,01,SPRINGFIELD PUBLIC SCHOOL DISTRICT,2007,0.976935749588138
0088,01,NEW ULM PUBLIC SCHOOL DISTRICT,2007,0.983108108108108
0091,01,BARNUM PUBLIC SCHOOL DISTRICT,2007,1
0093,01,CARLTON PUBLIC SCHOOL DISTRICT,2007,1
0094,01,CLOQUET PUBLIC SCHOOL DISTRICT,2007,0.994704324801412
0095,01,CROMWELL-WRIGHT PUBLIC SCHOOLS,2007,1
0097,01,MOOSE LAKE PUBLIC SCHOOL DISTRICT,2007,0.992021276595745
0099,01,ESKO PUBLIC SCHOOL DISTRICT,2007,0.996396396396396
0100,01,WRENSHALL PUBLIC SCHOOL DISTRICT,2007,1
0108,01,CENTRAL PUBLIC SCHOOL DISTRICT,2007,0.958171206225681
0110,01,WACONIA PUBLIC SCHOOL DISTRICT,2007,0.976694915254237
0111,01,WATERTOWN-MAYER PUBLIC SCHOOL DISTRICT,2007,0.98961038961039
0112,01,EASTERN CARVER COUNTY PUBLIC SCHOOL,2007,0.892479367662443
0113,01,WALKER-HACKENSACK-AKELEY SCHOOL DISTRICT,2007,0.997837837837838
0115,01,CASS LAKE-BENA PUBLIC SCHOOLS,2007,1
0116,01,PILLAGER PUBLIC SCHOOL DISTRICT,2007,0.988204456094364
0118,01,NORTHLAND COMMUNITY SCHOOLS,2007,1
0129,01,MONTEVIDEO PUBLIC SCHOOL DISTRICT,2007,0.937984496124031
0138,01,NORTH BRANCH PUBLIC SCHOOLS,2007,0.972764645426516
0139,01,RUSH CITY PUBLIC SCHOOL DISTRICT,2007,0.993704092339979
0146,01,BARNESVILLE PUBLIC SCHOOL DISTRICT,2007,1
0150,01,HAWLEY PUBLIC SCHOOL DISTRICT,2007,0.940649496080627
0152,01,MOORHEAD PUBLIC SCHOOL DISTRICT,2007,0.849166198238711
0160,70,MINNESOTA STATE ACADEMIES,2007,0.209677419354839
0162,01,BAGLEY PUBLIC SCHOOL DISTRICT,2007,0.997101449275362
0166,01,COOK COUNTY PUBLIC SCHOOLS,2007,0.989708404802744
0173,01,MOUNTAIN LAKE PUBLIC SCHOOLS,2007,0.740740740740741
0177,01,WINDOM PUBLIC SCHOOL DISTRICT,2007,0.933684210526316
0181,01,BRAINERD PUBLIC SCHOOL DISTRICT,2007,0.998291814946619
0182,01,CROSBY-IRONTON PUBLIC SCHOOL DISTRICT,2007,0.996059889676911
0186,01,PEQUOT LAKES PUBLIC SCHOOLS,2007,1
0191,01,BURNSVILLE PUBLIC SCHOOL DISTRICT,2007,0.80969323973459
0192,01,FARMINGTON PUBLIC SCHOOL DISTRICT,2007,0.933743965373731
0194,01,LAKEVILLE PUBLIC SCHOOL DISTRICT,2007,0.971278427108816
0195,01,RANDOLPH PUBLIC SCHOOL DISTRICT,2007,0.998050682261209
0196,01,ROSEMOUNT-APPLE VALLEY-EAGAN,2007,0.909838143172684
0197,01,WEST ST. PAUL-MENDOTA HEIGHTS-EAGAN,2007,0.837946428571429
0199,01,INVER GROVE HEIGHTS SCHOOLS,2007,0.911004529709566
0200,01,HASTINGS PUBLIC SCHOOL DISTRICT,2007,0.980884109916368
0203,01,HAYFIELD PUBLIC SCHOOL DISTRICT,2007,0.973833902161547
0204,01,KASSON-MANTORVILLE SCHOOL DISTRICT,2007,0.980529206190714
0206,01,ALEXANDRIA PUBLIC SCHOOL DISTRICT,2007,0.994921279837481
0213,01,OSAKIS PUBLIC SCHOOL DISTRICT,2007,0.99581589958159
0227,01,CHATFIELD PUBLIC SCHOOLS,2007,0.992222222222222
0229,01,LANESBORO PUBLIC SCHOOL DISTRICT,2007,1
0238,01,MABEL-CANTON PUBLIC SCHOOL DISTRICT,2007,1
0239,01,RUSHFORD-PETERSON PUBLIC SCHOOLS,2007,0.998482549317147
0241,01,ALBERT LEA PUBLIC SCHOOL DISTRICT,2007,0.887717298375606
0242,01,ALDEN-CONGER PUBLIC SCHOOL DISTRICT,2007,0.992307692307692
0252,01,CANNON FALLS PUBLIC SCHOOL DISTRICT,2007,0.995398773006135
0253,01,GOODHUE PUBLIC SCHOOL DISTRICT,2007,0.949367088607595
0255,01,PINE ISLAND PUBLIC SCHOOL DISTRICT,2007,0.999178981937603
0256,01,RED WING PUBLIC SCHOOL DISTRICT,2007,0.968948482709951
0261,01,ASHBY PUBLIC SCHOOL DISTRICT,2007,1
0264,01,HERMAN-NORCROSS SCHOOL DISTRICT,2007,0.917431192660551
0270,01,HOPKINS PUBLIC SCHOOL DISTRICT,2007,0.901734836013676
0271,01,BLOOMINGTON PUBLIC SCHOOL DISTRICT,2007,0.842644500289967
0272,01,EDEN PRAIRIE PUBLIC SCHOOL DISTRICT,2007,0.908520916846541
0273,01,EDINA PUBLIC SCHOOL DISTRICT,2007,0.92768512341561
0276,01,MINNETONKA PUBLIC SCHOOL DISTRICT,2007,0.962410887880752
0277,01,WESTONKA PUBLIC SCHOOL DISTRICT,2007,0.966261808367072
0278,01,ORONO PUBLIC SCHOOL DISTRICT,2007,0.971483622350674
0279,01,OSSEO PUBLIC SCHOOL DISTRICT,2007,0.806627033503848
0280,01,RICHFIELD PUBLIC SCHOOL DISTRICT,2007,0.626844014510278
0281,01,ROBBINSDALE PUBLIC SCHOOL DISTRICT,2007,0.847592762956148
0282,01,ST. ANTHONY-NEW BRIGHTON SCHOOLS,2007,0.911098198721673
0283,01,ST. LOUIS PARK PUBLIC SCHOOL DISTRICT,2007,0.9085482330468
0284,01,WAYZATA PUBLIC SCHOOL DISTRICT,2007,0.928513486108294
0286,01,BROOKLYN CENTER SCHOOL DISTRICT,2007,0.633628318584071
0287,06,INTERMEDIATE DISTRICT 313,2007,0.898186073727326
0288,06,SOUTHWEST METRO INTERMEDIATE 288,2007,NA
0294,01,HOUSTON PUBLIC SCHOOL DISTRICT,2007,0.996557659208262
0297,01,SPRING GROVE SCHOOL DISTRICT,2007,0.997050147492625
0299,01,CALEDONIA PUBLIC SCHOOL DISTRICT,2007,0.998756218905473
0300,01,LA CRESCENT-HOKAH SCHOOL DISTRICT,2007,1
0306,01,LAPORTE PUBLIC SCHOOL DISTRICT,2007,1
0308,01,NEVIS PUBLIC SCHOOL DISTRICT,2007,0.99812382739212
