SchYear,DistNumb,DistType,DistName,SchNum,SchCls,SchName,CountyNumber,CountyName,EcoDevRgn,AdminALL,Superintendent,AsstSuper,Principals,AsstPrinc,Director,OtherAdmin,Coord/Supv,SpEdProgCoord,VocFacil/Eval,OtherNonInstruct,Counselors,Media/Librarian,SchNurse,Psychologist,SocWorker,SpeechLangPath,TchrALL,PreK/ECFE,Kindgtn,GenElemEd,SpEdTchr,VocEdTchr,AllOtherTchr
03-04,0001,01,AITKIN,0 ,0,District Totals: ,01,AITKIN,03,4.77,1.00,0.00,2.00,1.00,0.60,0.17,0.50,0.20,0.00,0.44,1.17,2.00,0.00,0.57,1.00,1.00,90.26,1.66,2.83,30.35,11.04,4.80,39.58
03-04,0001,03,MINNEAPOLIS,0 ,0,District Totals: ,27,HENNEPIN,11,150.49,0.00,3.00,75.00,53.99,6.00,12.50,7.55,16.16,0.83,255.54,42.11,70.48,44.43,46.86,140.10,91.86,"2,958.16",34.88,147.84,760.94,526.67,38.82,"1,449.01"
03-04,0002,01,HILL CITY,0 ,0,District Totals: ,01,AITKIN,03,2.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.11,1.00,0.50,0.63,0.03,1.00,1.00,28.80,0.33,1.00,7.00,3.83,0.33,16.31
03-04,0004,01,MCGREGOR,0 ,0,District Totals: ,01,AITKIN,03,2.97,1.00,0.00,1.97,0.00,0.00,0.00,0.00,0.17,0.00,0.00,1.00,0.00,0.00,0.60,0.00,0.50,43.17,0.53,2.00,13.00,5.50,0.00,22.14
03-04,0006,03,SOUTH ST. PAUL,0 ,0,District Totals: ,19,DAKOTA,11,11.10,1.00,0.00,4.00,2.00,1.00,3.10,1.00,0.00,0.00,2.17,0.00,2.00,3.00,2.00,0.00,5.60,180.71,4.00,8.00,49.00,25.54,0.00,94.17
03-04,0011,01,ANOKA-HENNEPIN,0 ,0,District Totals: ,02,ANOKA,11,110.00,1.00,2.00,41.00,54.00,3.00,9.00,9.00,5.00,3.00,34.82,33.90,30.24,13.60,31.67,24.40,86.10,"2,345.37",27.31,72.50,594.50,371.44,75.37,"1,204.25"
03-04,0012,01,CENTENNIAL,0 ,0,District Totals: ,02,ANOKA,11,16.00,1.00,1.00,8.00,4.00,2.00,0.00,3.37,0.00,0.00,4.83,11.00,6.00,1.00,4.99,5.80,12.00,382.53,0.27,13.47,123.00,65.57,2.00,178.22
03-04,0013,01,COLUMBIA HEIGHTS,0 ,0,District Totals: ,02,ANOKA,11,11.50,0.00,1.00,6.50,2.00,1.00,1.00,0.00,1.00,0.00,0.00,3.67,4.66,1.50,1.00,1.00,4.00,183.84,3.60,11.00,52.33,28.13,1.50,87.28
03-04,0014,01,FRIDLEY,0 ,0,District Totals: ,02,ANOKA,11,7.97,1.00,0.00,4.00,1.00,1.97,0.00,0.00,0.00,0.00,1.00,6.00,3.87,1.80,2.41,1.00,3.90,150.53,4.00,4.01,32.87,26.45,3.24,79.96
03-04,0015,01,ST. FRANCIS,0 ,0,District Totals: ,02,ANOKA,11,12.00,1.00,0.00,6.00,3.00,1.00,1.00,2.50,2.00,0.00,11.31,5.83,0.00,3.53,2.00,7.50,6.57,297.12,2.17,10.50,94.00,56.37,4.65,129.43
03-04,0016,01,SPRING LAKE PARK,0 ,0,District Totals: ,02,ANOKA,11,14.00,1.00,0.00,6.00,2.00,2.00,3.00,4.67,1.00,0.00,2.50,7.00,4.00,1.00,3.00,0.00,6.60,234.00,5.00,9.00,66.43,29.64,6.20,117.73
03-04,0022,01,DETROIT LAKES,0 ,0,District Totals: ,03,BECKER,04,9.60,1.00,1.00,4.00,2.00,1.60,0.00,0.67,1.00,0.00,3.23,5.50,2.99,1.00,1.99,2.00,5.60,200.73,3.98,8.50,45.33,34.56,1.50,106.86
03-04,0023,01,FRAZEE-VERGAS,0 ,0,District Totals: ,03,BECKER,04,4.30,1.00,0.00,2.00,0.00,1.30,0.00,0.63,0.00,0.00,0.00,1.83,1.67,0.00,1.00,0.00,2.80,80.26,1.43,2.00,23.20,15.97,1.02,36.64
03-04,0025,01,PINE POINT,0 ,0,District Totals: ,03,BECKER,04,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.99,0.00,1.00,4.99,2.00,0.00,1.00
03-04,0031,01,BEMIDJI,0 ,0,District Totals: ,04,BELTRAMI,02,15.00,1.00,1.00,8.00,4.00,0.00,1.00,0.00,1.00,0.00,3.39,3.00,5.00,1.00,3.00,5.43,10.27,324.83,6.18,16.00,64.34,74.39,5.95,157.97
03-04,0032,01,BLACKDUCK,0 ,0,District Totals: ,04,BELTRAMI,02,2.50,0.80,0.00,1.20,0.00,0.50,0.00,0.00,0.00,0.00,0.51,0.00,1.00,0.00,0.30,0.00,1.40,55.54,0.37,3.00,15.43,10.26,0.67,25.81
03-04,0036,01,KELLIHER,0 ,0,District Totals: ,04,BELTRAMI,02,2.00,0.50,0.00,0.50,0.00,0.00,1.00,0.00,0.00,0.00,1.10,0.00,0.58,0.00,0.03,0.00,0.50,24.86,1.00,1.00,5.00,2.42,0.73,14.71
03-04,0038,01,RED LAKE,0 ,0,District Totals: ,04,BELTRAMI,02,9.00,1.00,0.00,4.00,2.00,2.00,0.00,1.00,1.00,0.00,8.00,2.00,4.00,0.00,1.00,0.00,2.00,160.66,1.00,11.00,45.00,23.96,1.00,78.70
03-04,0047,01,SAUK RAPIDS,0 ,0,District Totals: ,05,BENTON,07W,10.00,1.00,0.00,5.00,3.00,1.00,0.00,3.50,1.50,0.00,1.50,5.00,5.00,0.67,0.00,2.00,6.84,213.38,4.02,9.00,58.50,32.38,3.40,106.08
03-04,0051,01,FOLEY,0 ,0,District Totals: ,05,BENTON,07W,6.00,1.00,0.00,3.00,0.00,1.00,1.00,0.00,0.00,0.00,3.46,2.00,2.00,1.00,1.66,1.00,3.83,96.54,1.77,4.08,31.04,16.01,0.76,42.88
03-04,0062,01,ORTONVILLE,0 ,0,District Totals: ,06,BIG STONE,06W,3.00,1.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,1.88,1.00,0.84,0.20,0.00,0.00,1.00,44.30,0.00,0.80,11.00,6.90,1.34,24.26
03-04,0075,01,ST. CLAIR,0 ,0,District Totals: ,07,BLUE EARTH,09,3.17,1.00,0.00,2.00,0.00,0.17,0.00,0.00,0.03,0.00,2.17,1.00,1.00,0.00,0.20,0.20,1.50,42.20,0.00,3.00,9.00,5.55,0.53,24.12
03-04,0077,01,MANKATO,0 ,0,District Totals: ,07,BLUE EARTH,09,18.27,1.00,0.00,11.27,2.00,1.00,3.00,2.50,0.00,0.00,9.67,15.33,11.81,2.50,6.00,1.00,10.50,432.19,5.97,16.00,135.36,69.32,5.47,200.07
03-04,0081,01,COMFREY,0 ,0,District Totals: ,08,BROWN,09,1.03,0.50,0.00,0.50,0.00,0.03,0.00,0.03,0.00,0.00,0.54,0.33,0.66,0.00,0.33,0.00,0.03,17.71,0.00,0.60,5.14,2.19,0.20,9.58
03-04,0084,01,SLEEPY EYE,0 ,0,District Totals: ,08,BROWN,09,3.94,1.00,0.00,2.00,0.00,0.77,0.17,0.47,0.00,0.00,0.51,1.44,1.03,0.00,0.50,0.80,1.60,47.43,0.77,1.60,11.15,7.14,2.39,24.38
03-04,0085,01,SPRINGFIELD,0 ,0,District Totals: ,08,BROWN,09,3.03,1.00,0.00,1.00,0.00,0.03,1.00,0.00,0.00,0.00,0.04,0.03,1.00,0.00,0.43,0.00,0.90,43.71,0.24,1.00,12.00,6.72,1.07,22.68
03-04,0088,01,NEW ULM,0 ,0,District Totals: ,08,BROWN,09,6.00,1.00,0.00,4.00,1.00,0.00,0.00,1.00,0.00,0.00,1.17,6.00,4.00,1.00,1.60,1.00,4.00,157.19,0.00,7.00,39.00,24.25,3.57,83.37
03-04,0091,01,BARNUM,0 ,0,District Totals: ,09,CARLTON,03,3.67,1.00,0.00,2.00,0.00,0.67,0.00,0.00,0.20,0.00,0.00,1.00,2.02,0.67,0.00,1.00,1.00,41.62,0.00,3.00,13.00,4.37,0.37,20.88
03-04,0093,01,CARLTON,0 ,0,District Totals: ,09,CARLTON,03,3.00,1.00,0.00,2.00,0.00,0.00,0.00,0.53,0.20,0.00,0.33,1.00,1.00,1.00,0.40,0.00,1.17,44.34,1.11,1.50,11.00,5.29,1.04,24.40
03-04,0094,01,CLOQUET,0 ,0,District Totals: ,09,CARLTON,03,8.10,1.00,0.00,4.00,1.10,1.00,1.00,1.83,0.30,0.00,4.71,5.49,2.77,1.00,0.00,2.00,3.54,126.36,1.46,5.71,38.34,17.53,1.37,61.95
03-04,0095,01,CROMWELL-WRIGHT,0 ,0,District Totals: ,09,CARLTON,03,2.00,1.00,0.00,1.00,0.00,0.00,0.00,0.30,0.09,0.00,0.00,0.98,1.00,0.00,0.06,0.00,0.80,24.59,0.44,1.00,8.35,2.62,0.04,12.14
03-04,0097,01,MOOSE LAKE,0 ,0,District Totals: ,09,CARLTON,03,3.00,1.00,0.00,2.00,0.00,0.00,0.00,0.00,0.24,0.00,0.00,2.00,1.00,0.00,1.00,0.00,1.00,52.54,0.34,3.00,18.00,8.37,0.48,22.35
03-04,0099,01,ESKO,0 ,0,District Totals: ,09,CARLTON,03,3.00,1.00,0.00,2.00,0.00,0.00,0.00,0.83,0.24,0.00,0.00,0.83,2.00,0.00,0.67,0.00,2.00,60.73,0.60,3.00,19.00,8.03,1.25,28.85
03-04,0100,01,WRENSHALL,0 ,0,District Totals: ,09,CARLTON,03,2.00,1.00,0.00,1.00,0.00,0.00,0.00,0.20,0.20,0.00,0.17,0.60,0.34,0.00,0.20,0.00,0.03,23.23,0.47,0.60,6.27,2.29,0.65,12.95
03-04,0108,01,NORWOOD,0 ,0,District Totals: ,10,CARVER,11,5.00,1.00,0.00,3.00,0.00,1.00,0.00,0.23,0.00,0.00,0.67,0.00,1.00,1.00,0.00,1.00,2.00,65.55,2.14,3.00,18.67,10.41,1.00,30.33
03-04,0110,01,WACONIA,0 ,0,District Totals: ,10,CARVER,11,8.00,1.00,0.00,4.00,1.00,1.00,1.00,2.67,0.00,0.00,0.17,3.00,1.73,1.00,0.00,0.00,4.97,133.28,1.66,4.50,35.21,14.67,0.00,77.24
03-04,0111,01,WATERTOWN-MAYER,0 ,0,District Totals: ,10,CARVER,11,5.67,1.00,0.00,3.00,0.67,1.00,0.00,1.24,0.00,0.00,0.17,2.00,1.00,1.00,0.00,1.00,2.83,83.44,1.53,3.80,18.00,9.56,0.66,49.89
03-04,0112,01,CHASKA,0 ,0,District Totals: ,10,CARVER,11,21.00,1.00,1.00,11.00,4.00,3.00,1.00,3.00,1.00,0.00,6.20,14.00,9.50,1.00,0.80,4.77,13.33,459.05,0.00,17.77,142.47,56.95,0.66,241.20
03-04,0113,01,WALKER-HACKENSACK-AKELEY,0 ,0,District Totals: ,11,CASS,05,4.67,1.00,0.00,3.00,0.00,0.67,0.00,0.00,0.00,0.00,0.17,1.00,1.00,1.00,0.00,0.00,2.00,69.88,0.83,2.00,17.00,12.85,0.87,36.33
03-04,0115,01,CASS LAKE-BENA SCHOOLS,0 ,0,District Totals: ,11,CASS,05,5.00,1.00,0.00,3.00,0.00,0.00,1.00,0.00,0.00,0.00,3.64,2.00,2.00,0.00,0.50,3.00,3.00,105.34,2.33,5.00,31.99,22.92,0.67,42.43
03-04,0116,01,PILLAGER,0 ,0,District Totals: ,11,CASS,05,4.00,1.00,0.00,2.00,0.00,0.00,1.00,0.00,0.17,0.00,0.17,1.00,1.00,0.00,0.33,0.00,1.00,49.12,0.00,2.00,16.00,6.92,0.66,23.54
03-04,0118,01,NORTHLAND COMMUNITY SCHOOLS,0 ,0,District Totals: ,11,CASS,05,3.50,1.00,0.00,2.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00,1.00,0.50,0.00,0.00,1.00,2.00,51.72,2.36,2.00,14.02,12.47,0.84,20.03
03-04,0129,01,MONTEVIDEO,0 ,0,District Totals: ,12,CHIPPEWA,06W,5.00,1.00,0.00,3.00,0.00,1.00,0.00,0.33,0.00,0.00,1.00,1.00,2.00,1.00,1.00,5.00,2.00,105.60,1.33,4.60,27.06,18.01,3.42,51.18
03-04,0138,01,NORTH BRANCH,0 ,0,District Totals: ,13,CHISAGO,07E,12.00,1.00,1.00,4.00,3.00,1.00,2.00,1.00,1.00,0.00,6.09,3.00,3.00,0.00,4.40,1.00,4.60,197.13,1.00,6.83,60.70,29.91,2.42,96.27
03-04,0139,01,RUSH CITY,0 ,0,District Totals: ,13,CHISAGO,07E,3.27,1.00,0.00,2.00,0.00,0.27,0.00,0.00,0.00,0.00,1.32,1.00,1.83,0.00,1.17,0.00,1.00,56.00,1.17,2.00,20.00,5.01,0.50,27.32
03-04,0146,01,BARNESVILLE,0 ,0,District Totals: ,14,CLAY,04,2.50,1.00,0.00,1.00,0.00,0.50,0.00,0.00,0.00,0.00,1.17,1.00,1.00,0.00,0.27,0.47,1.00,45.77,0.50,2.00,14.83,7.11,0.68,20.65
03-04,0150,01,HAWLEY,0 ,0,District Totals: ,14,CLAY,04,3.17,1.00,0.00,2.00,0.00,0.17,0.00,0.00,0.00,0.00,0.17,1.67,1.67,0.00,0.23,0.37,1.00,58.23,0.00,2.33,19.64,6.90,1.02,28.34
03-04,0152,01,MOORHEAD,0 ,0,District Totals: ,14,CLAY,04,15.00,1.00,1.00,7.00,3.00,2.00,1.00,2.00,0.00,0.00,0.34,10.00,6.00,2.00,4.00,4.00,14.50,347.62,1.00,9.50,96.50,78.58,6.34,155.70
03-04,0160,70,MINNESOTA STATE ACADEMIES,0 ,0,District Totals: ,66,RICE,10,4.00,1.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,2.00,2.00,3.00,40.07,0.00,0.00,0.00,40.07,0.00,0.00
03-04,0162,01,BAGLEY,0 ,0,District Totals: ,15,CLEARWATER,02,6.00,1.00,0.00,2.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,2.00,1.00,0.00,0.50,0.00,2.60,83.30,0.77,4.00,22.00,13.60,3.00,39.93
03-04,0166,01,COOK COUNTY,0 ,0,District Totals: ,16,COOK,03,2.53,0.00,0.00,2.00,0.00,0.03,0.50,0.17,0.03,0.00,2.21,0.67,0.00,0.60,0.03,0.50,1.00,40.96,0.00,2.83,12.32,5.04,0.00,20.77
03-04,0173,01,MOUNTAIN LAKE,0 ,0,District Totals: ,17,COTTONWOOD,08,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.60,0.00,0.00,3.37,0.84,0.83,0.83,0.26,1.00,1.53,39.82,0.13,1.30,14.24,6.43,0.34,17.38
03-04,0177,01,WINDOM,0 ,0,District Totals: ,17,COTTONWOOD,08,3.14,0.57,0.00,2.00,0.00,0.57,0.00,0.47,0.00,0.00,2.32,2.00,1.50,1.00,1.07,2.00,2.00,76.05,0.87,1.50,17.00,14.58,1.20,40.90
03-04,0181,01,BRAINERD,0 ,0,District Totals: ,18,CROW WING,05,22.67,1.00,1.00,11.50,3.00,4.00,2.17,1.80,1.00,1.00,2.17,8.00,11.00,2.33,3.30,1.00,14.20,439.04,4.40,14.00,129.02,75.42,10.60,205.60
03-04,0182,01,CROSBY-IRONTON,0 ,0,District Totals: ,18,CROW WING,05,3.00,1.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,6.03,2.00,1.50,1.00,0.00,1.00,1.80,75.52,1.33,2.00,25.00,12.16,1.00,34.03
