SchYear,DistNumb,DistType,DistName,SchNum,SchClassif,SchName,CountyNum,CountyName,EconDevRgn,TotFTE,Male,Female,IndianMale,IndianFemale,AsianMale,AsianFemale,HispanicMale,HispanicFemale,BlackMale,BlackFemale,WhiteMale,WhiteFemale,NewTch,AvgYrsExp,Exp1-5,Exp6-10,Exp11-15,Exp16-20,Exp21-25,Exp26-30,Exp31+,<BA,BA,MA,PhD,EdUnkn,AvgAge,Age <25,Age25-29,Age30-34,Age35-44,Age45-54,Age55+
07-08,0001,01,AITKIN PUBLIC SCHOOL DISTRICT,001,33,AITKIN SECONDARY SCHOOL,01,AITKIN,03,36.39,17.60,18.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.60,18.79,2.00,14.24,8.99,7.92,9.00,2.08,2.00,5.00,1.40,0.00,22.47,14.16,0.00,0.00,43.86,2.00,1.80,6.00,12.28,7.43,6.88
07-08,0001,01,AITKIN PUBLIC SCHOOL DISTRICT,002,10,RIPPLESIDE ELEMENTARY,01,AITKIN,03,39.53,9.00,30.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.00,30.53,3.00,16.98,8.00,9.80,4.60,1.00,4.83,3.30,8.00,0.00,33.80,6.10,0.00,0.00,42.12,2.00,8.50,3.00,8.07,12.76,5.20
07-08,0001,01,AITKIN PUBLIC SCHOOL DISTRICT,003,10,PALISADE ELEMENTARY,01,AITKIN,03,1.99,0.00,1.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.99,0.00,7.60,0.00,1.99,0.00,0.00,0.00,0.00,0.00,0.00,1.99,0.00,0.00,0.00,49.40,0.00,0.00,0.00,1.00,0.99,0.00
07-08,0001,01,AITKIN PUBLIC SCHOOL DISTRICT,004,90,AITKIN CHILREN'S CENTER/ECFE,01,AITKIN,03,1.50,0.00,1.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.50,0.00,17.00,0.00,0.50,0.17,0.00,0.00,0.83,0.00,0.00,1.50,0.00,0.00,0.00,49.00,0.00,0.00,0.00,0.00,0.67,0.83
07-08,0001,01,AITKIN PUBLIC SCHOOL DISTRICT,006,42,AITKIN ALTERNATIVE LEARNING PROGRAM,01,AITKIN,03,0.77,0.20,0.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.57,0.00,11.00,0.17,0.20,0.20,0.20,0.00,0.00,0.00,0.00,0.77,0.00,0.00,0.00,48.00,0.00,0.20,0.00,0.00,0.17,0.40
07-08,0001,01,AITKIN PUBLIC SCHOOL DISTRICT,000,0,Totals:,01,AITKIN,03,80.18,26.80,53.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.80,53.38,5.00,14.94,17.16,20.41,13.97,3.28,6.83,9.13,9.40,0.00,60.53,20.26,0.00,0.00,43.67,4.00,10.50,9.00,21.35,22.02,13.31
07-08,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,000,00,MINNEAPOLIS PUBLIC SCHOOL DIST.,27,HENNEPIN,11,171.35,25.16,146.19,0.00,1.00,0.00,1.00,0.00,1.60,1.59,10.67,23.57,131.92,18.99,12.15,50.42,28.15,42.79,22.23,11.39,9.60,6.77,2.00,79.75,86.90,1.00,1.70,47.95,2.00,8.73,15.98,33.36,52.08,59.20
07-08,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,103,10,ARMATAGE ELEMENTARY,27,HENNEPIN,11,24.70,2.20,22.50,0.00,0.00,0.00,2.00,0.00,0.00,0.20,2.00,2.00,18.50,1.00,16.55,3.00,2.00,5.50,5.00,2.00,5.20,2.00,0.00,7.80,16.70,0.00,0.20,45.76,1.00,0.00,2.00,8.50,7.20,6.00
07-08,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,104,10,LAKE HARRIET LOWER ELEMENTARY,27,HENNEPIN,11,14.97,1.00,13.97,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,12.97,0.00,24.67,0.00,1.00,2.20,1.00,5.50,2.27,3.00,0.00,1.20,13.77,0.00,0.00,51.70,0.00,0.00,0.00,4.00,6.50,4.47
07-08,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,105,10,BANCROFT ELEMENTARY,27,HENNEPIN,11,26.10,1.50,24.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.50,24.60,0.00,18.19,0.00,3.60,3.00,8.00,8.50,3.00,0.00,0.00,7.60,17.50,0.00,1.00,48.58,0.00,0.00,0.60,9.00,8.50,8.00
