SchYear,DistNumb,DistType,DistName,SchNum,SchCls,SchName,CountyNumber,CountyName,EcoDevRgn,TotFTE,Male,Female,IndianMale,IndianFemale,AsianMale,AsianFemale,HispanicMale,HispanicFemale,BlackMale,BlackFemale,WhiteMale,WhiteFemale,NewTchr,AvgYrsExp,Exp1_5,Exp6_10,Exp11_15,Exp16_20,Exp21_25,Exp26_30,Exp31Plus,LessThanBA,BA,MA,PhD,EdUnkn,AvgAge,AgeLess25,Age25_29,Age30_34,Age35_44,Age45_54,Age55Plus
17-18,1,1,AITKIN PUBLIC SCHOOL DISTRICT                     ,1,33,AITKIN SECONDARY SCHOOL                           ,1,Aitkin                                            ,3,38.13,16.23,21.9,0,0,0,0,0,1,0,0,16.23,20.9,1,17,6.66,7.4,4.16,8,6.91,2,3,0,16.06,20.95,0,1,45,0,5.83,4.87,8.31,13.12,6
17-18,1,1,AITKIN PUBLIC SCHOOL DISTRICT                     ,2,10,RIPPLESIDE ELEMENTARY                             ,1,Aitkin                                            ,3,40.42,7,33.42,0,0,0,0,0,0,0,0,7,33.42,2,14,9,7.1,4.02,12.3,5,0,2,0,16,24.02,0,0,40,2,6.1,4.02,12,13.03,3.27
17-18,1,1,AITKIN PUBLIC SCHOOL DISTRICT                     ,4,90,AITKIN CHILDREN'S CENTER CENSUS                   ,1,Aitkin                                            ,3,3.9,0,3.9,0,0,0,0,0,0,0,0,0,3.9,0,9,1.7,0,1,1.2,0,0,0,0,1.9,2,0,0,38,0,0.9,0,2.8,0,0.2
17-18,1,1,AITKIN PUBLIC SCHOOL DISTRICT                     ,6,42,AITKIN ALTERNATIVE LEARNING PROGRAM               ,1,Aitkin                                            ,3,1.31,0.57,0.74,0,0,0,0,0,0,0,0,0.57,0.74,0,18,0.34,0.4,0.17,0,0,0,0.4,0,0.74,0.57,0,0,46,0,0.17,0.34,0,0,0.8
17-18,1,1,AITKIN PUBLIC SCHOOL DISTRICT                     ,0,0,Totals                                            ,1,Aitkin                                            ,3,83.76,23.8,59.96,0,0,0,0,0,1,0,0,23.8,58.96,3,16,17.7,14.9,9.35,21.5,11.91,2,5.4,0,34.7,47.54,0,1,43,2,13,9.23,23.11,26.15,10.27
17-18,1,3,Minneapolis Public School District                ,0,0,Minneapolis Public School District                ,27,Hennepin                                          ,11,41.2,14.9,26.3,0,0,0,0.48,0,0,3,1,11.9,24.82,2.43,13,9.63,6.73,5.24,4,7.2,5,3,2,12.73,25.47,1,0,44,0.83,0.93,3.57,9.77,14.8,11.3
17-18,1,3,Minneapolis Public School District                ,21,50,SPECIAL EDUCATION                                 ,27,Hennepin                                          ,11,2,0,2,0,0,0,0,0,0,0,0,0,2,0,3,2,0,0,0,0,0,0,0,1,1,0,0,34,0,0,1,1,0,0
17-18,1,3,Minneapolis Public School District                ,103,10,ARMATAGE ELEMENTARY                               ,27,Hennepin                                          ,11,34.05,4.49,29.56,0,0,0,1,0,0,0,1,4.49,27.56,2,17,3.77,5.57,3,6,8.23,5.48,2,0,15.99,18.06,0,0,46,1,1.5,3.27,7,17.28,4
17-18,1,3,Minneapolis Public School District                ,104,10,LAKE HARRIET LOWER ELEMENTARY                     ,27,Hennepin                                          ,11,27.09,4,23.09,0,0,0,0,0,0,0,0,4,23.09,0,24,3,1.1,0,1,8.99,4,6,0,10,16.09,0,1,50,1,1,1,1.1,12.99,10
17-18,1,3,Minneapolis Public School District                ,105,10,BANCROFT ELEMENTARY                               ,27,Hennepin                                          ,11,44.98,3.02,41.96,0,1,0,2,0,1,0,2,3.02,35.96,2,14,8,15.3,1,7.02,7,5.66,0,0,18.32,26.66,0,0,42,2,5,8,7,18.98,4
17-18,1,3,Minneapolis Public School District                ,106,10,BARTON OPEN ELEMENTARY                            ,27,Hennepin                                          ,11,37.55,6.24,31.31,0,0,0,2,0,0,0,0,6.24,29.31,2,17,7.5,5.23,5.03,5,5.26,5,2.5,1,11.24,25.31,0,0,44,0,3,7.5,7.26,13.29,6.5
17-18,1,3,Minneapolis Public School District                ,107,10,BETHUNE ELEMENTARY                                ,27,Hennepin                                          ,11,31.03,6.7,24.33,0,0,0,2,0,0,1,1,5.7,21.33,1,8,13,12.33,1,1,2.7,1,0,2,16.7,12.33,0,0,36,1,6,10,8.33,4,1.7
17-18,1,3,Minneapolis Public School District                ,110,10,BURROUGHS ELEMENTARY                              ,27,Hennepin                                          ,11,39.31,19.5,19.81,1,0,1,0,0,1,0,0,17.5,18.81,0,17,7.49,6,0.8,7,8,6.02,4,0,14.29,23,0,2.02,45,0,3.99,5.5,5.8,14,10.02
17-18,1,3,Minneapolis Public School District                ,119,20,Field Community                                   ,27,Hennepin                                          ,11,24.5,7.57,16.93,0,0,0,0.7,0,0,0,0,7.57,16.23,1.84,11,8.14,4.98,1,4.28,1.24,3.98,0,0,10.96,13.54,0,0,43,1.84,2.87,2.68,4.78,6.69,5.64
17-18,1,3,Minneapolis Public School District                ,121,10,LAKE HARRIET UPPER SCHOOL                         ,27,Hennepin                                          ,11,28.84,8.64,20.2,2,0,0,0,0,0,0,0,6.64,20.2,0.37,14,4.82,4.67,0.93,5.55,6.9,1.97,2,0,9.63,18.21,0,1,45,0,1.97,1.32,7.31,10.83,7.41
17-18,1,3,Minneapolis Public School District                ,123,10,HALE ELEMENTARY                                   ,27,Hennepin                                          ,11,34.39,5,29.39,0,0,1,1,0,0,2,1,2,27.39,0.92,16,4.92,7,1.57,1.99,6,7.91,4,0,9.92,24.47,0,0,44,2,2,3.57,5.91,12,8.91
17-18,1,3,Minneapolis Public School District                ,130,10,HIAWATHA ELEMENTARY                               ,27,Hennepin                                          ,11,16.17,2.27,13.9,0,0,0,0,1.27,0,0,1,1,12.9,1,19,3.6,1,0,2,4.2,1,2.17,1,5.67,9.5,0,0,49,0,3,0,1.6,4,7.57
17-18,1,3,Minneapolis Public School District                ,132,10,HOWE ELEMENTARY                                   ,27,Hennepin                                          ,11,13.63,1.73,11.9,0,0,0,0,0.73,0,0,1,1,10.9,0,21,2.4,2,1,1,0,2.4,3.83,0,4.33,9.3,0,0,51,1,0,2,1.4,2,7.23
