districtNumber,districtType,districtName,year,totalStudents,totalTeachers,studentTeacherRatio
0001,01,AITKIN PUBLIC SCHOOL DISTRICT,2018,2352,167.52,14.040114613180515
0001,03,MINNEAPOLIS PUBLIC SCHOOL DISTRICT,2018,72714,5328.58,13.646037030503436
0002,01,HILL CITY PUBLIC SCHOOL DISTRICT,2018,564,53.26,10.589560645888097
0004,01,MCGREGOR PUBLIC SCHOOL DISTRICT,2018,966,75.68,12.764270613107822
0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST.,2018,7108,441.9,16.085087123783662
0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,2018,77528,4449.62,17.423510322229763
0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT,2018,13414,716.72,18.715816497376938
0013,01,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,2018,6644,424.16,15.663900414937759
0014,01,FRIDLEY PUBLIC SCHOOL DISTRICT,2018,6414,393.66,16.29324798049078
0015,01,ST. FRANCIS PUBLIC SCHOOL DISTRICT,2018,9136,561.22,16.278821139660025
0016,01,SPRING LAKE PARK PUBLIC SCHOOLS,2018,11754,661.34,17.7730063205008
0022,01,DETROIT LAKES PUBLIC SCHOOL DIST.,2018,6162,436.68,14.11101951085463
0023,01,FRAZEE-VERGAS PUBLIC SCHOOL DIST.,2018,1854,135.26,13.70693479225196
0025,01,PINE POINT PUBLIC SCHOOL DISTRICT,2018,128,20,6.4
0031,01,BEMIDJI PUBLIC SCHOOL DISTRICT,2018,10462,682.4,15.331184056271981
0032,01,BLACKDUCK PUBLIC SCHOOL DISTRICT,2018,1284,100.06,12.832300619628223
0036,01,KELLIHER PUBLIC SCHOOL DISTRICT,2018,562,50.36,11.159650516282765
0038,01,RED LAKE PUBLIC SCHOOL DISTRICT,2018,3166,281.92,11.230136208853574
0047,01,SAUK RAPIDS-RICE PUBLIC SCHOOLS,2018,9214,536.14,17.185809676577016
0051,01,FOLEY PUBLIC SCHOOL DISTRICT,2018,3964,230.68,17.18397780475117
0075,01,ST. CLAIR PUBLIC SCHOOL DISTRICT,2018,1354,94.22,14.370621948630864
0077,01,MANKATO PUBLIC SCHOOL DISTRICT,2018,17560,1129.4,15.548078625819018
0081,01,COMFREY PUBLIC SCHOOL DISTRICT,2018,288,32.5,8.861538461538462
0084,01,SLEEPY EYE PUBLIC SCHOOL DISTRICT,2018,1236,91.38,13.525935653315825
0085,01,SPRINGFIELD PUBLIC SCHOOL DISTRICT,2018,1116,84.9,13.144876325088338
0088,01,NEW ULM PUBLIC SCHOOL DISTRICT,2018,4210,292.98,14.369581541402143
0091,01,BARNUM PUBLIC SCHOOL DISTRICT,2018,1504,111.88,13.442974615659637
0093,01,CARLTON PUBLIC SCHOOL DISTRICT,2018,928,81.82,11.34197017844048
0094,01,CLOQUET PUBLIC SCHOOL DISTRICT,2018,5250,344,15.261627906976743
0095,01,CROMWELL-WRIGHT PUBLIC SCHOOLS,2018,642,48.54,13.22620519159456
0097,01,MOOSE LAKE PUBLIC SCHOOL DISTRICT,2018,1340,89.14,15.032533094009423
0099,01,ESKO PUBLIC SCHOOL DISTRICT,2018,2534,144.56,17.529053680132815
0100,01,WRENSHALL PUBLIC SCHOOL DISTRICT,2018,784,62.38,12.568130811157422
0108,01,CENTRAL PUBLIC SCHOOL DISTRICT,2018,2058,138.08,14.904403244495944
0110,01,WACONIA PUBLIC SCHOOL DISTRICT,2018,8168,508.64,16.05850896508336
0111,01,WATERTOWN-MAYER PUBLIC SCHOOL DIST.,2018,3148,190.52,16.52319966407726
0112,01,EASTERN CARVER COUNTY PUBLIC SCHOOL,2018,19694,1186.52,16.598118868624212
0113,01,WALKER-HACKENSACK-AKELEY SCHL. DIST,2018,1608,121.2,13.267326732673267
0115,01,CASS LAKE-BENA PUBLIC SCHOOLS,2018,2414,236.84,10.192535044755953
0116,01,PILLAGER PUBLIC SCHOOL DISTRICT,2018,2224,144.08,15.43586896168795
0118,01,NORTHLAND COMMUNITY SCHOOLS,2018,690,59.7,11.557788944723617
0129,01,MONTEVIDEO PUBLIC SCHOOL DISTRICT,2018,2808,186.12,15.087040618955513
0138,01,NORTH BRANCH PUBLIC SCHOOLS,2018,5916,311.66,18.982224218699862
0139,01,RUSH CITY PUBLIC SCHOOL DISTRICT,2018,1744,104.62,16.669852800611736
0146,01,BARNESVILLE PUBLIC SCHOOL DIST.,2018,1708,110.82,15.412380436744272
0150,01,HAWLEY PUBLIC SCHOOL DISTRICT,2018,1962,123.24,15.920155793573516
0152,01,MOORHEAD PUBLIC SCHOOL DISTRICT,2018,13598,844.62,16.099547725604413
0160,70,MINNESOTA STATE ACADEMIES,2018,318,70,4.542857142857143
0162,01,BAGLEY PUBLIC SCHOOL DISTRICT,2018,2112,143.68,14.699331848552339
0166,01,COOK COUNTY PUBLIC SCHOOLS,2018,1030,76.78,13.414951810367283
0173,01,MOUNTAIN LAKE PUBLIC SCHOOLS,2018,1030,75.04,13.726012793176972
0177,01,WINDOM PUBLIC SCHOOL DISTRICT,2018,2116,158.7,13.333333333333334
0181,01,BRAINERD PUBLIC SCHOOL DISTRICT,2018,13488,834.24,16.16800920598389
0182,01,CROSBY-IRONTON PUBLIC SCHOOL DIST.,2018,2102,136.4,15.410557184750733
0186,01,PEQUOT LAKES PUBLIC SCHOOLS,2018,3412,208.48,16.366078280890253
0191,01,BURNSVILLE PUBLIC SCHOOL DISTRICT,2018,18060,1199.64,15.05451635490647
0192,01,FARMINGTON PUBLIC SCHOOL DISTRICT,2018,14514,878.62,16.519086749675626
0194,01,LAKEVILLE PUBLIC SCHOOL DISTRICT,2018,22200,1191.56,18.631038302729195
0195,01,RANDOLPH PUBLIC SCHOOL DISTRICT,2018,1324,86.34,15.334723187398655
0196,01,ROSEMOUNT-APPLE VALLEY-EAGAN,2018,57604,3454.8,16.67361352321408
0197,01,WEST ST. PAUL-MENDOTA HTS.-EAGAN,2018,10344,657.76,15.726100705424471
0199,01,INVER GROVE HEIGHTS SCHOOLS,2018,7376,357.98,20.60450304486284
0200,01,HASTINGS PUBLIC SCHOOL DISTRICT,2018,8832,493.5,17.896656534954406
0203,01,HAYFIELD PUBLIC SCHOOL DISTRICT,2018,1368,92.2,14.837310195227765
0204,01,KASSON-MANTORVILLE SCHOOL DISTRICT,2018,4356,239.22,18.209179834462002
0206,01,ALEXANDRIA PUBLIC SCHOOL DISTRICT,2018,8460,555.28,15.235556836190751
0213,01,OSAKIS PUBLIC SCHOOL DISTRICT,2018,1632,107.04,15.246636771300448
0227,01,CHATFIELD PUBLIC SCHOOLS,2018,1834,119.14,15.393654524089307
0229,01,LANESBORO PUBLIC SCHOOL DISTRICT,2018,714,54.42,13.120176405733186
0238,01,MABEL-CANTON PUBLIC SCHOOL DIST.,2018,528,47.32,11.158072696534235
0239,01,RUSHFORD-PETERSON PUBLIC SCHOOLS,2018,1312,107.66,12.186513096786179
0241,01,ALBERT LEA PUBLIC SCHOOL DISTRICT,2018,7070,491.24,14.392150476345574
0242,01,ALDEN-CONGER PUBLIC SCHOOL DISTRICT,2018,994,69.82,14.236608421655687
0252,01,CANNON FALLS PUBLIC SCHOOL DISTRICT,2018,2298,158.98,14.454648383444459
0253,01,GOODHUE PUBLIC SCHOOL DISTRICT,2018,1314,87.86,14.955611199635785
0255,01,PINE ISLAND PUBLIC SCHOOL DIST.,2018,2652,173.66,15.271219624553726
0256,01,RED WING PUBLIC SCHOOL DISTRICT,2018,5380,339.94,15.826322292169207
0261,01,ASHBY PUBLIC SCHOOL DISTRICT,2018,520,42.76,12.160898035547241
0264,01,HERMAN-NORCROSS SCHOOL DISTRICT,2018,224,24.56,9.120521172638437
0270,01,HOPKINS PUBLIC SCHOOL DISTRICT,2018,13438,923.14,14.556838616027905
0271,01,BLOOMINGTON PUBLIC SCHOOL DISTRICT,2018,21336,1423.56,14.987777122144484
0272,01,EDEN PRAIRIE PUBLIC SCHOOL DISTRICT,2018,17744,1114.42,15.922183736831714
0273,01,EDINA PUBLIC SCHOOL DISTRICT,2018,17176,988.42,17.377228303757512
0276,01,MINNETONKA PUBLIC SCHOOL DISTRICT,2018,21706,1319.68,16.44792677012609
0277,01,WESTONKA PUBLIC SCHOOL DISTRICT,2018,4784,281,17.02491103202847
0278,01,ORONO PUBLIC SCHOOL DISTRICT,2018,5686,335.36,16.954914122137403
0279,01,OSSEO PUBLIC SCHOOL DISTRICT,2018,42442,2577.82,16.46429929164953
0280,01,RICHFIELD PUBLIC SCHOOL DISTRICT,2018,8822,536.16,16.454043569083858
0281,01,ROBBINSDALE PUBLIC SCHOOL DISTRICT,2018,25106,1523.98,16.473969474665022
0282,01,ST. ANTHONY-NEW BRIGHTON SCHOOLS,2018,3664,209.4,17.49761222540592
0283,01,ST. LOUIS PARK PUBLIC SCHOOL DIST.,2018,9480,610.96,15.516564095849155
0284,01,WAYZATA PUBLIC SCHOOL DISTRICT,2018,23412,1413.5,16.563141139016626
