GISJOIN,YEAR,ANRCA,RES_ONLYA,TRUSTA,AIANHHA,RES_TRSTA,BLCK_GRPA,TRACTA,CDA,C_CITYA,COUNTY,COUNTYA,CTY_SUBA,DIVISIONA,MSA_CMSAA,PLACEA,PMSAA,REGIONA,STATE,STATEA,URBRURALA,URB_AREAA,ZIPA,CD103A,ANPSADPI,EX8001
G2700010,1990,,,,,,,,,,Aitkin,1,,4,9999,,9999,2,Minnesota,27,,,,,Aitkin County,1970
G2700030,1990,,,,,,,,,,Anoka,3,,4,5120,,9999,2,Minnesota,27,,,,,Anoka County,1973
G2700050,1990,,,,,,,,,,Becker,5,,4,9999,,9999,2,Minnesota,27,,,,,Becker County,1967
G2700070,1990,,,,,,,,,,Beltrami,7,,4,9999,,9999,2,Minnesota,27,,,,,Beltrami County,1971
G2700090,1990,,,,,,,,,,Benton,9,,4,6980,,9999,2,Minnesota,27,,,,,Benton County,1973
G2700110,1990,,,,,,,,,,Big Stone,11,,4,9999,,9999,2,Minnesota,27,,,,,Big Stone County,1945
G2700130,1990,,,,,,,,,,Blue Earth,13,,4,9999,,9999,2,Minnesota,27,,,,,Blue Earth County,1959
G2700150,1990,,,,,,,,,,Brown,15,,4,9999,,9999,2,Minnesota,27,,,,,Brown County,1951
G2700170,1990,,,,,,,,,,Carlton,17,,4,9999,,9999,2,Minnesota,27,,,,,Carlton County,1960
G2700190,1990,,,,,,,,,,Carver,19,,4,5120,,9999,2,Minnesota,27,,,,,Carver County,1973
G2700210,1990,,,,,,,,,,Cass,21,,4,9999,,9999,2,Minnesota,27,,,,,Cass County,1972
G2700230,1990,,,,,,,,,,Chippewa,23,,4,9999,,9999,2,Minnesota,27,,,,,Chippewa County,1950
G2700250,1990,,,,,,,,,,Chisago,25,,4,5120,,9999,2,Minnesota,27,,,,,Chisago County,1972
G2700270,1990,,,,,,,,,,Clay,27,,4,2520,,9999,2,Minnesota,27,,,,,Clay County,1965
G2700290,1990,,,,,,,,,,Clearwater,29,,4,9999,,9999,2,Minnesota,27,,,,,Clearwater County,1965
G2700310,1990,,,,,,,,,,Cook,31,,4,9999,,9999,2,Minnesota,27,,,,,Cook County,1967
G2700330,1990,,,,,,,,,,Cottonwood,33,,4,9999,,9999,2,Minnesota,27,,,,,Cottonwood County,1950
